# Created by WEAP: 9/4/2020 10:29:35 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: WA_W_Coloumbia (791,453 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (754,578 ha),  1000 - 2000 m (36,384 ha),  2000 - 3000 m (491 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 2000 to 3000 m

1970, 1, 455.5, 745.1, 930.5, 3.273, -1.812, -4.373, 3.12, 3.108, 3.11
1970, 2, 186.2, 295.8, 374.7, 6.969, 2.466, -0.00626, 2.684, 2.616, 2.614
1970, 3, 126.1, 221.9, 291.7, 7.123, 2.389, 0.03141, 2.488, 2.445, 2.445
1970, 4, 177.1, 302.4, 387.9, 7.402, 2.231, -0.2665, 3.025, 2.987, 2.989
1970, 5, 73.14, 98.72, 122.1, 12.44, 8.046, 5.814, 2.473, 2.388, 2.387
1970, 6, 27.54, 44.24, 55.67, 17.06, 13.05, 11.14, 2.744, 2.659, 2.658
1970, 7, 11.28, 19.8, 27.24, 18.43, 14.34, 12.48, 2.78, 2.613, 2.607
1970, 8, 2.342, 2.607, 3.113, 18.39, 14.07, 11.97, 2.602, 2.464, 2.46
1970, 9, 97.38, 158.8, 173.6, 14.01, 9.339, 7.049, 2.253, 2.229, 2.23
1970, 10, 149.4, 221.2, 269.4, 9.995, 5.413, 3.17, 2.567, 2.548, 2.55
1970, 11, 255.7, 425.5, 557.5, 6.62, 2.042, -0.4056, 3.257, 3.285, 3.29
1970, 12, 391.3, 572.1, 728.4, 2.676, -2.462, -4.956, 3.497, 3.544, 3.55
1971, 1, 418.8, 664.5, 790.8, 2.781, -2.617, -5.212, 3.315, 3.383, 3.392
1971, 2, 212.3, 354.1, 426.3, 4.606, -0.3705, -2.943, 2.981, 2.994, 2.999
1971, 3, 285.2, 477.6, 644.1, 4.629, -0.7008, -3.217, 3.135, 3.056, 3.055
1971, 4, 119.5, 166.5, 215.6, 8.464, 3.675, 1.218, 2.487, 2.417, 2.415
1971, 5, 63.15, 112.5, 150.8, 12.66, 8.154, 5.865, 2.994, 2.983, 2.987
1971, 6, 96.7, 168.9, 234.9, 13.04, 8.305, 6.02, 2.055, 2.017, 2.017
1971, 7, 24.01, 37.27, 48.15, 18.34, 14.09, 11.9, 2.515, 2.311, 2.303
1971, 8, 36.02, 62.32, 94.22, 19.66, 15.46, 13.3, 2.548, 2.401, 2.397
1971, 9, 149.3, 196.2, 222.9, 14.21, 9.589, 7.442, 2.274, 2.218, 2.217
1971, 10, 148.5, 277.7, 359.5, 9.518, 4.674, 2.373, 2.068, 2.08, 2.082
1971, 11, 254.4, 364, 442.4, 5.924, 0.7918, -1.727, 2.687, 2.686, 2.688
1971, 12, 407, 629.5, 736.3, 2.267, -2.935, -5.457, 3.226, 3.282, 3.288
1972, 1, 341.6, 654.3, 863.2, 1.69, -3.69, -6.192, 3.378, 3.448, 3.454
1972, 2, 287.1, 608.5, 752.8, 4.293, -0.8292, -3.462, 3.379, 3.29, 3.288
1972, 3, 271.3, 477.9, 617, 7.643, 2.402, -0.1312, 2.566, 2.486, 2.483
1972, 4, 201.7, 310.9, 386.3, 7.149, 2.122, -0.4181, 2.732, 2.699, 2.7
1972, 5, 61.51, 90.21, 112.7, 13.98, 9.387, 7.135, 2.118, 2.089, 2.09
1972, 6, 47.43, 85.75, 105.8, 15.25, 10.78, 8.699, 2.632, 2.535, 2.534
1972, 7, 27.98, 52.67, 66.4, 19, 14.41, 12.42, 2.606, 2.42, 2.412
1972, 8, 24.31, 39.15, 47.1, 19.38, 14.88, 12.87, 2.532, 2.434, 2.432
1972, 9, 133.6, 259.8, 327.3, 13.86, 8.743, 6.485, 2.184, 2.089, 2.085
1972, 10, 42.79, 60.91, 65.88, 10.07, 5.438, 3.335, 1.738, 1.707, 1.708
1972, 11, 189.3, 321.5, 414.2, 6.687, 1.787, -0.6004, 2.716, 2.666, 2.664
1972, 12, 369.5, 631.5, 773.7, 1.094, -3.921, -6.388, 3.592, 3.58, 3.584
1973, 1, 160.6, 291.8, 373.7, 2.168, -2.914, -5.569, 3.724, 3.658, 3.656
1973, 2, 83.12, 147, 182.6, 5.487, 0.5985, -1.975, 2.573, 2.567, 2.569
1973, 3, 136.9, 228.5, 291.8, 6.803, 1.709, -0.8269, 2.432, 2.401, 2.402
1973, 4, 77.86, 118.5, 148, 9.618, 4.948, 2.66, 2.004, 1.977, 1.978
1973, 5, 83.57, 156.9, 227.6, 13.4, 9.125, 6.907, 2.316, 2.278, 2.277
1973, 6, 102.4, 171.4, 225.4, 15.17, 10.76, 8.569, 2.47, 2.41, 2.41
