# Created by WEAP: 9/4/2020 10:28:16 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: OR_WA_BPA_Deschutes (770,256 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (547,244 ha),  1000 - 2000 m (222,407 ha),  2000 - 3000 m (575 ha),  3000 - 4000 m (30 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 3000 to 4000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 3000 to 4000 m

1970, 1, 123.2, 219.3, 720.7, 803.3, 0.952, -0.976, -5.446, -5.699, 3.323, 3.339, 3.282, 3.27
1970, 2, 29.17, 68.11, 276.4, 310.2, 4.273, 2.004, -2.097, -2.185, 2.331, 2.314, 2.398, 2.414
1970, 3, 21.26, 67.92, 273.5, 306.2, 5.912, 2.83, -3.009, -3.11, 2.293, 2.288, 2.324, 2.332
1970, 4, 12.2, 63.78, 370.8, 419.5, 6.601, 3.22, -2.791, -2.816, 2.922, 2.909, 2.967, 2.975
1970, 5, 6.442, 18.73, 84.99, 100.7, 13.91, 10.35, 3.472, 3.295, 2.249, 2.262, 2.354, 2.356
1970, 6, 13.48, 31.42, 106, 117.9, 19.76, 16.25, 9.543, 9.239, 2.269, 2.267, 2.427, 2.445
1970, 7, 2.111, 2.056, 4.126, 6.606, 22.2, 18.57, 11.25, 10.89, 2.32, 2.336, 2.519, 2.524
1970, 8, 0.1133, 0.714, 0.8025, 0.4063, 21.62, 18.18, 11.43, 11.13, 2.275, 2.282, 2.422, 2.426
1970, 9, 6.374, 36.06, 213.5, 238.9, 14.3, 11.07, 5.104, 4.992, 2.121, 2.12, 2.173, 2.179
1970, 10, 20.91, 64.62, 205.8, 229.5, 9.528, 6.87, 1.839, 1.712, 2.369, 2.361, 2.411, 2.422
1970, 11, 70.2, 157.6, 587.5, 646.4, 4.522, 2.208, -2.247, -2.408, 3.137, 3.119, 3.184, 3.197
1970, 12, 36.54, 107.8, 422.8, 484.5, 1.176, -1.64, -6.37, -6.412, 3.454, 3.447, 3.535, 3.543
1971, 1, 62.09, 168.8, 767.5, 857.5, 3.077, -0.2624, -5.732, -5.698, 3.338, 3.296, 3.352, 3.368
1971, 2, 26.54, 111.8, 564.2, 613.7, 3.676, 0.7322, -4.045, -4.032, 2.892, 2.869, 2.931, 2.943
1971, 3, 37.65, 116.3, 475.2, 525.4, 4.043, 0.8576, -5.274, -5.321, 2.982, 2.994, 3.054, 3.055
1971, 4, 13.58, 39.48, 164.7, 195.3, 8.126, 4.858, -1.542, -1.581, 2.412, 2.424, 2.399, 2.397
1971, 5, 27.37, 47.88, 131.4, 147.9, 13.65, 9.947, 3.217, 3.163, 2.86, 2.855, 2.909, 2.918
1971, 6, 11.63, 29.39, 105.7, 126.5, 15.11, 11.7, 4.465, 4.253, 1.808, 1.815, 1.919, 1.925
1971, 7, 4.42, 8.737, 24.72, 29.1, 22.19, 18.75, 12.41, 12.08, 2.184, 2.201, 2.282, 2.281
1971, 8, 8.97, 16.59, 43.66, 49.99, 23.37, 19.92, 13.22, 12.88, 2.195, 2.209, 2.378, 2.38
1971, 9, 22.26, 52.71, 194.1, 209.2, 14.32, 11.34, 5.77, 5.635, 2.25, 2.269, 2.311, 2.303
1971, 10, 18.61, 60.02, 204.8, 237.6, 9.477, 6.534, 1.349, 1.24, 2.08, 2.074, 2.075, 2.078
1971, 11, 44.78, 126, 450, 497.1, 5.053, 2.328, -2.875, -2.95, 2.749, 2.752, 2.769, 2.766
1971, 12, 42.14, 144, 642.6, 737.3, 1.463, -1.572, -6.466, -6.511, 3.654, 3.649, 3.593, 3.579
1972, 1, 74.07, 171.6, 702.6, 773.7, 0.6364, -2.129, -7.309, -7.33, 3.699, 3.665, 3.64, 3.639
1972, 2, 26.12, 108.1, 532.3, 592.1, 3.333, 0.9625, -3.789, -3.908, 3.22, 3.226, 3.276, 3.277
1972, 3, 49.93, 133.6, 500.4, 557.1, 7.742, 4.639, -1.466, -1.497, 2.373, 2.383, 2.446, 2.449
1972, 4, 16.6, 70.2, 357.7, 414.7, 7.181, 4.046, -2.473, -2.603, 2.587, 2.591, 2.631, 2.635
1972, 5, 17.5, 39.3, 128, 146.8, 14.63, 11.25, 4.873, 4.726, 2.034, 2.032, 2.086, 2.09
1972, 6, 28.25, 39.39, 80.69, 90.02, 18.04, 14.55, 7.498, 7.224, 2.183, 2.196, 2.395, 2.405
1972, 7, 2.404, 3.072, 15.52, 20.93, 21.77, 18.54, 12.68, 12.35, 2.211, 2.23, 2.362, 2.364
1972, 8, 15.05, 13.49, 29.8, 28.01, 21.96, 18.66, 12.65, 12.38, 2.26, 2.266, 2.375, 2.381
1972, 9, 14.26, 47.15, 222.1, 248.4, 14.65, 11.56, 5.56, 5.391, 1.989, 2.003, 2.078, 2.078
1972, 10, 11.49, 26.01, 72.04, 80.87, 10.03, 7.393, 3.023, 2.805, 1.704, 1.71, 1.699, 1.698
1972, 11, 20.26, 58.84, 268.5, 310, 5.471, 2.839, -1.958, -2.059, 2.383, 2.375, 2.503, 2.515
1972, 12, 64.42, 140.8, 518.1, 597.2, -2.459, -4.325, -7.731, -7.916, 3.355, 3.339, 3.459, 3.474
1973, 1, 29.46, 71.97, 285.9, 323.5, -0.6476, -2.79, -7.087, -7.238, 3.232, 3.222, 3.391, 3.411
1973, 2, 17.28, 32.63, 102.2, 122.6, 3.359, 1.286, -2.911, -3.117, 2.27, 2.258, 2.343, 2.36
1973, 3, 9.253, 46.77, 218.6, 256.6, 5.979, 2.797, -3.053, -3.158, 2.382, 2.376, 2.392, 2.394
1973, 4, 9.803, 35.28, 170.7, 192, 9.511, 6.263, 0.3004, 0.1612, 2.062, 2.061, 1.994, 1.993
1973, 5, 11.44, 30.71, 100.2, 115.3, 14.49, 11.46, 5.24, 4.983, 2.184, 2.183, 2.226, 2.231
1973, 6, 3.482, 26.17, 150.4, 176.4, 17.38, 14.08, 7.1, 6.801, 2.217, 2.206, 2.262, 2.273
1973, 7, 0.6199, 1.578, 4.975, 5.148, 22.09, 18.57, 11.76, 11.38, 2.254, 2.277, 2.338, 2.334
1973, 8, 3.682, 10.07, 59.88, 67.21, 20.03, 16.69, 9.721, 9.321, 2.371, 2.382, 2.434, 2.432
1973, 9, 31.8, 66.23, 216.4, 241.4, 16.52, 13.53, 8.084, 7.886, 2.03, 2.045, 2.063, 2.06
1973, 10, 31.86, 65.28, 192.9, 222.3, 10.55, 7.727, 2.593, 2.422, 1.738, 1.736, 1.77, 1.78
1973, 11, 109.4, 237, 767.7, 837.1, 3.383, 0.6954, -4.478, -4.597, 3.38, 3.412, 3.378, 3.358
1973, 12, 86.89, 168.2, 590.7, 689.9, 3.668, 1.117, -3.48, -3.586, 3.211, 3.233, 3.295, 3.29
1974, 1, 49.54, 143, 630.4, 710.3, -2.133, -4.015, -7.873, -7.988, 3.389, 3.377, 3.464, 3.472
1974, 2, 38.8, 112.8, 469.9, 524.8, 4.402, 1.281, -4.337, -4.433, 2.925, 2.917, 3.014, 3.026
1974, 3, 51.35, 116, 402, 454.2, 5.976, 2.795, -3.24, -3.324, 2.684, 2.699, 2.786, 2.796
1974, 4, 25.82, 65.68, 289.9, 329.9, 8.486, 5.187, -1.248, -1.348, 2.558, 2.551, 2.604, 2.616
1974, 5, 6.839, 34.69, 187.7, 222, 11.49, 8.165, 1.247, 1.096, 2.083, 2.086, 2.114, 2.12
1974, 6, 2.233, 18.71, 109, 121, 19.56, 16.09, 8.291, 7.866, 2.665, 2.673, 2.763, 2.765
1974, 7, 9.217, 12.67, 37.2, 50.03, 20.29, 16.9, 9.993, 9.616, 2.252, 2.271, 2.314, 2.313
1974, 8, 1.383, 6.058, 52.66, 53.71, 21.41, 18.06, 12.07, 11.68, 2.391, 2.397, 2.446, 2.445
1974, 9, 0.08033, 1.228, 8.054, 10.06, 18.5, 15.7, 11.1, 10.8, 1.71, 1.706, 1.804, 1.815
1974, 10, 11.39, 20.99, 51.4, 63.16, 11.4, 9.029, 5.008, 4.787, 1.575, 1.582, 1.579, 1.581
1974, 11, 23.98, 76.56, 313.2, 366.8, 5.666, 3.278, -1.226, -1.366, 2.825, 2.818, 2.882, 2.88
1974, 12, 52.62, 145.9, 620.4, 708.3, 2.902, 0.325, -4.075, -4.166, 2.938, 2.926, 3.015, 3.027
1975, 1, 67.68, 150.6, 748.8, 850.5, 2.318, -0.1704, -4.72, -4.898, 3.044, 3.034, 3.029, 3.022
1975, 2, 63.85, 120.5, 427.7, 463.7, 1.38, -0.8316, -5.303, -5.484, 2.908, 2.923, 3.011, 3.012
1975, 3, 50.08, 104.5, 364.2, 403.9, 4.042, 1.119, -4.127, -4.243, 2.608, 2.61, 2.636, 2.645
1975, 4, 16.71, 38.93, 217.4, 245.6, 6.131, 2.863, -3.066, -3.139, 2.681, 2.672, 2.651, 2.655
1975, 5, 6.292, 27.08, 142.7, 160.6, 12.61, 9.28, 3.126, 3.019, 2.181, 2.169, 2.181, 2.192
1975, 6, 23.65, 41.11, 140.3, 156.1, 15.88, 12.45, 5.844, 5.634, 2.668, 2.649, 2.74, 2.755
1975, 7, 6.901, 13.43, 29.7, 30.19, 22.36, 18.71, 11.54, 11.11, 2.612, 2.622, 2.792, 2.802
1975, 8, 26.31, 43.35, 141.6, 156.4, 18.73, 15.22, 8.273, 7.923, 2.253, 2.272, 2.359, 2.355
1975, 9, 0.08769, 0.9023, 8.248, 8.488, 17.66, 14.85, 10.21, 9.954, 2.054, 2.056, 2.095, 2.101
1975, 10, 35.69, 99.49, 326.3, 377.1, 10.41, 7.542, 1.67, 1.481, 2.706, 2.708, 2.806, 2.812
1975, 11, 42.13, 107.3, 474.2, 534.9, 4.57, 1.865, -3.085, -3.148, 2.943, 2.942, 3.14, 3.155
1975, 12, 46.87, 137.4, 602.7, 696.7, 3.213, 0.7606, -3.368, -3.476, 3.159, 3.139, 3.224, 3.23
1976, 1, 41.11, 119.6, 536.6, 604.5, 2.968, 0.5318, -3.392, -3.416, 2.867, 2.859, 2.932, 2.933
1976, 2, 44.24, 111, 452.7, 515.1, 2.717, 0.114, -4.376, -4.492, 3.239, 3.245, 3.292, 3.29
1976, 3, 21.76, 69.66, 346.9, 386, 4.614, 1.618, -4.129, -4.235, 2.507, 2.494, 2.574, 2.584
1976, 4, 34.16, 71.08, 272.8, 308.6, 7.843, 4.836, -1.229, -1.313, 2.289, 2.266, 2.234, 2.244
1976, 5, 9.113, 28.7, 134.6, 158.6, 13.33, 10.06, 3.783, 3.601, 2.229, 2.244, 2.226, 2.224
1976, 6, 6.898, 20.89, 86.71, 100.4, 15.19, 11.73, 5.055, 4.81, 2.575, 2.574, 2.58, 2.581
1976, 7, 8.946, 10.24, 27.59, 32.66, 20.86, 17.42, 10.63, 10.26, 2.314, 2.322, 2.364, 2.36
1976, 8, 50.1, 79.06, 156.8, 165.7, 19.01, 15.58, 9.202, 8.87, 1.75, 1.753, 1.892, 1.904
1976, 9, 5.554, 12.57, 41.16, 47.27, 18.21, 14.92, 9.039, 8.725, 1.81, 1.806, 1.892, 1.9
1976, 10, 10.54, 28.21, 98.96, 112.1, 11.56, 8.956, 4.677, 4.436, 1.667, 1.656, 1.69, 1.701
1976, 11, 13.82, 27.38, 97.67, 108.5, 6.119, 4.225, 0.8489, 0.651, 1.918, 1.898, 1.934, 1.946
1976, 12, 6.069, 26.95, 131.9, 155, 2.067, 0.1595, -2.262, -2.375, 2.587, 2.552, 2.638, 2.652
1977, 1, 8.637, 21.77, 107.1, 127, -1.344, -2.541, -4.479, -4.831, 2.151, 2.147, 2.177, 2.177
1977, 2, 16.78, 52.12, 229.4, 257.7, 4.444, 2.443, -1.352, -1.648, 2.521, 2.52, 2.64, 2.65
1977, 3, 17.61, 96.69, 527.1, 582.4, 5.411, 2.054, -4.326, -4.377, 3.086, 3.072, 3.144, 3.152
1977, 4, 3.559, 20.22, 124.5, 138.9, 11.83, 8.443, 1.999, 1.867, 1.677, 1.668, 1.715, 1.729
1977, 5, 38.65, 90.53, 290.7, 329.5, 10.69, 7.188, 0.4562, 0.3807, 2.105, 2.109, 2.214, 2.226
1977, 6, 5.251, 12.2, 44.13, 52.29, 19.36, 15.91, 8.798, 8.488, 2.462, 2.471, 2.581, 2.586
1977, 7, 2.128, 5.485, 32.64, 35.8, 20.42, 16.88, 9.649, 9.402, 2.323, 2.33, 2.412, 2.412
1977, 8, 17.09, 36.64, 150.8, 158.7, 23.22, 19.78, 13.62, 13.37, 2.211, 2.219, 2.29, 2.291
1977, 9, 22.57, 58.41, 212, 235.9, 14.7, 11.67, 5.936, 5.742, 1.995, 2.022, 2.09, 2.085
1977, 10, 12.81, 45.95, 156.7, 177.7, 10.75, 8.205, 3.497, 3.312, 1.948, 1.952, 2.043, 2.054
1977, 11, 79.7, 168, 617.5, 664.9, 3.506, 1.101, -3.662, -3.782, 2.873, 2.861, 2.943, 2.956
1977, 12, 89.89, 197.1, 753.6, 820.6, 1.94, 0.05736, -3.927, -4.12, 3.744, 3.749, 3.727, 3.716
1978, 1, 75.87, 101.5, 292.9, 318.6, 0.7358, -0.9164, -4.328, -4.673, 2.792, 2.792, 2.787, 2.791
1978, 2, 38.09, 65.96, 235.2, 261.5, 4.058, 1.798, -2.835, -3.096, 2.761, 2.77, 2.792, 2.788
1978, 3, 18.52, 34.61, 97.67, 109.5, 7.867, 5.31, 0.2475, 0.0128, 1.664, 1.667, 1.715, 1.722
1978, 4, 46.07, 88.27, 244, 277.4, 8.615, 5.468, -0.3766, -0.4824, 2.541, 2.555, 2.562, 2.557
1978, 5, 15.55, 43.45, 178.8, 206.2, 11.52, 8.182, 1.854, 1.778, 2.526, 2.532, 2.55, 2.551
1978, 6, 19.54, 38.07, 104.3, 118.2, 17.91, 14.65, 8.846, 8.696, 2.105, 2.135, 2.233, 2.235
1978, 7, 15.76, 24.11, 70.51, 76.19, 21.06, 17.62, 11.04, 10.78, 2.351, 2.361, 2.483, 2.492
1978, 8, 30.08, 48.65, 154.2, 168, 19.84, 16.37, 10.07, 9.853, 2.166, 2.178, 2.314, 2.32
1978, 9, 11.08, 36.3, 130.8, 140, 14.76, 11.47, 5.503, 5.354, 1.808, 1.813, 1.86, 1.863
1978, 10, 1.495, 12.02, 56.67, 62.44, 11.66, 9.236, 4.737, 4.518, 1.549, 1.538, 1.464, 1.462
1978, 11, 30.11, 71.75, 253.6, 284.8, 1.073, -1.222, -4.298, -4.406, 2.31, 2.295, 2.368, 2.377
1978, 12, 24.38, 89.97, 397.6, 437.2, -0.8423, -3.5, -7.643, -7.682, 2.597, 2.562, 2.552, 2.565
