# Created by WEAP: 9/4/2020 10:28:21 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: OR_WA_BPA_Tieton (53,183 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (3,855 ha),  1000 - 2000 m (47,907 ha),  2000 - 3000 m (1,421 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 2000 to 3000 m

1970, 1, 143.8, 203.5, 312.8, -5.345, -6.79, -7.373, 3.17, 3.159, 3.151
1970, 2, 30.62, 60.28, 108.5, 0.3672, -1.175, -2.019, 2.69, 2.671, 2.647
1970, 3, 21.89, 42.47, 77.5, 1.152, -0.6054, -1.742, 2.539, 2.52, 2.498
1970, 4, 30.51, 62.53, 114.8, 2.448, 0.4857, -0.9445, 3.048, 3.033, 3.016
1970, 5, 5.526, 12.77, 26.16, 9.146, 7.117, 5.581, 2.276, 2.28, 2.289
1970, 6, 3.876, 8.072, 14.53, 15.46, 13.12, 11.14, 2.569, 2.569, 2.571
1970, 7, 0.604, 1.98, 4.052, 17.33, 14.97, 12.94, 2.345, 2.36, 2.382
1970, 8, 0.5806, 0.7376, 1.103, 17.53, 15.17, 13.24, 2.256, 2.267, 2.284
1970, 9, 8.892, 21.72, 47.59, 10.18, 8.177, 6.737, 2.238, 2.231, 2.225
1970, 10, 19.11, 33.83, 64.6, 5.03, 3.233, 2.037, 2.606, 2.594, 2.578
1970, 11, 60.11, 99.4, 167.6, 0.227, -1.67, -2.893, 3.45, 3.428, 3.402
1970, 12, 96.98, 147.6, 240.1, -4.747, -6.652, -7.762, 3.634, 3.624, 3.612
1971, 1, 140.8, 213.6, 349, -2.34, -4.31, -5.752, 3.634, 3.606, 3.573
1971, 2, 43.38, 79.18, 138.7, -0.3525, -2.306, -3.691, 3.13, 3.112, 3.091
1971, 3, 62.15, 108.2, 188.4, -1.569, -3.432, -4.756, 3.05, 3.04, 3.03
1971, 4, 23.37, 36.99, 57.43, 3.479, 1.609, 0.2638, 2.432, 2.421, 2.41
1971, 5, 11.86, 24.8, 48.37, 9.661, 7.624, 6.038, 2.99, 2.987, 2.986
1971, 6, 13.27, 27.51, 51.23, 10.26, 8.081, 6.285, 1.967, 1.967, 1.968
