# Created by WEAP: 9/4/2020 10:29:30 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: NM_N_Middle Rio Grande (5,809,106 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (2,442,802 ha),  2000 - 3000 m (3,127,648 ha),  3000 - 4000 m (238,657 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Tavg[C]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 3000 to 4000 m, wind[m/s]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 3000 to 4000 m

1970, 1, 0.7354, 3.103, 8.836, 1.866, -2.429, -8.072, 1.98, 2.042, 2.491
1970, 2, 8.229, 9.173, 23.06, 6.088, 2.198, -3.29, 1.941, 1.958, 2.143
1970, 3, 21.6, 41.67, 106.3, 6.699, 1.946, -3.945, 2.561, 2.575, 2.706
1970, 4, 3.609, 12.41, 52.78, 10.99, 5.94, 0.1938, 2.835, 2.899, 3.172
1970, 5, 7.04, 11.84, 19.14, 18.18, 13.59, 7.851, 2.254, 2.258, 2.309
1970, 6, 11.35, 22.32, 42.28, 21.69, 17.03, 10.72, 2.335, 2.378, 2.646
1970, 7, 54.35, 65.6, 78.91, 25.1, 20.82, 14.9, 1.559, 1.502, 1.649
1970, 8, 47.53, 67.16, 90.54, 24.31, 20.24, 14.57, 1.749, 1.628, 1.717
1970, 9, 18.58, 32.21, 70.47, 19.47, 15.07, 9.07, 2.047, 2.172, 2.446
1970, 10, 22.23, 29.32, 49.46, 11.51, 7.334, 1.81, 2.456, 2.518, 2.748
1970, 11, 4.629, 12.49, 39.61, 7.616, 3.969, -1.672, 2.455, 2.585, 2.972
1970, 12, 3.362, 9.495, 42.56, 3.319, -0.4844, -5.486, 2.075, 2.194, 2.631
1971, 1, 6.757, 10.88, 30.73, 1.881, -1.915, -7.317, 1.965, 2.075, 2.6
1971, 2, 11.52, 19.43, 52.85, 4.56, -0.04781, -6.067, 2.506, 2.59, 2.988
1971, 3, 3.258, 6.035, 17.46, 9.167, 4.424, -1.467, 2.805, 2.866, 3.223
1971, 4, 15.07, 20.71, 55.73, 11.86, 7.639, 2.019, 2.511, 2.447, 2.459
1971, 5, 4.897, 10.64, 38.43, 16.5, 11.97, 5.926, 2.638, 2.574, 2.672
1971, 6, 1.533, 4.221, 15.09, 22.89, 18.58, 12.41, 1.91, 1.991, 2.127
1971, 7, 43.35, 62.74, 105, 25.2, 20.96, 14.55, 2.095, 1.932, 2.051
1971, 8, 42.7, 72.88, 96.52, 22.63, 18.8, 12.73, 1.671, 1.586, 1.752
1971, 9, 47.29, 64.97, 90.04, 19.06, 15.07, 8.947, 2.021, 2.195, 2.466
1971, 10, 36.54, 47.25, 96.35, 12.57, 8.595, 3.096, 2.254, 2.303, 2.475
1971, 11, 16.42, 23.03, 64.6, 7.057, 2.985, -2.653, 1.883, 1.949, 2.253
1971, 12, 28.88, 37.35, 93.4, 0.5149, -3.25, -8.536, 2.063, 2.13, 2.418
1972, 1, 3.773, 5.644, 16.45, 2.968, -1.585, -7.599, 2.246, 2.385, 2.976
1972, 2, 3.372, 4.589, 16.21, 6.187, 1.908, -4.14, 2.141, 2.273, 2.768
1972, 3, 1.877, 3.623, 16.97, 12.21, 7.591, 1.441, 2.429, 2.493, 2.736
1972, 4, 0.148, 2.054, 12.24, 14.05, 9.454, 3.642, 2.599, 2.748, 3.026
1972, 5, 13.11, 15.88, 36.86, 17.63, 13.26, 7.184, 1.916, 1.954, 2.142
1972, 6, 19.49, 25.62, 36.21, 22.45, 18.14, 12.18, 2.029, 2, 2.048
1972, 7, 27.97, 41.64, 71.62, 25.13, 21.21, 14.93, 1.83, 1.827, 1.933
1972, 8, 79.85, 78.15, 84.06, 22.89, 19.02, 13.11, 1.788, 1.693, 1.866
1972, 9, 63.66, 63.09, 61.58, 19.58, 15.65, 10.09, 1.708, 1.884, 2.275
1972, 10, 108.2, 105.3, 141.3, 14.5, 10.53, 5.144, 2.069, 2.104, 2.349
1972, 11, 15.67, 29.47, 88.22, 4.615, 0.09025, -5.998, 2.344, 2.406, 2.606
1972, 12, 11.63, 24.61, 74.76, 2.425, -2.218, -7.83, 2.36, 2.438, 2.822
1973, 1, 14.03, 20, 51.36, 0.5692, -4.124, -9.113, 2.131, 2.192, 2.576
1973, 2, 21.09, 24.58, 41.5, 3.29, -1.027, -6.386, 1.724, 1.761, 2.065
1973, 3, 35.9, 62.72, 174.4, 6.658, 1.985, -3.384, 2.453, 2.441, 2.712
1973, 4, 14.31, 17.85, 57.96, 9.541, 4.993, -1.075, 2.345, 2.42, 2.675
1973, 5, 24.66, 32.78, 54.33, 16.61, 12.16, 6.293, 2.432, 2.404, 2.625
1973, 6, 13.52, 14.51, 23.37, 21.76, 17.3, 11.37, 2.453, 2.494, 2.575
1973, 7, 49.89, 56.82, 67.01, 24.02, 19.83, 13.99, 1.749, 1.824, 2.002
1973, 8, 37.99, 36.76, 53.69, 23.65, 19.57, 13.79, 2.029, 2.002, 2.273
1973, 9, 29.76, 32.73, 52.71, 19.42, 15.21, 9.293, 2.413, 2.614, 2.904
1973, 10, 6.704, 12.39, 30.4, 14.38, 10.73, 5.299, 2.422, 2.521, 2.843
1973, 11, 4.231, 10.32, 31.16, 8.708, 4.733, -0.5165, 3.637, 3.82, 4.326
1973, 12, 2.152, 10.89, 47.79, 3.349, -0.5589, -6.302, 3.566, 3.608, 4.195
1974, 1, 19.35, 41.92, 136, 1.732, -2.874, -8.531, 3.119, 3.257, 3.917
1974, 2, 6.82, 10.64, 24.12, 3.521, -1.313, -7.643, 2.999, 3.028, 3.571
1974, 3, 10.31, 19.08, 63.14, 11.59, 6.635, 0.454, 3.18, 3.409, 3.945
1974, 4, 5.577, 10.37, 31.08, 12.81, 7.968, 1.947, 3.243, 3.294, 3.602
1974, 5, 3.685, 2.982, 8.974, 19.78, 15.12, 9.033, 2.842, 2.925, 3.166
1974, 6, 2.152, 10.01, 34.82, 24.67, 19.96, 13.12, 2.29, 2.225, 2.31
1974, 7, 51.15, 56.91, 78.04, 24.25, 20.12, 14.2, 2.045, 2.021, 2.319
1974, 8, 54.3, 62.59, 84.34, 22.34, 18.19, 11.91, 1.978, 2.109, 2.329
1974, 9, 43.13, 31.97, 29.08, 18.81, 14.98, 9.315, 2.083, 2.149, 2.23
1974, 10, 80.07, 82.23, 104.1, 13.91, 10.31, 5.16, 1.866, 1.967, 2.296
1974, 11, 5.828, 13.45, 38.71, 7.135, 3.26, -2.369, 2.375, 2.39, 2.767
1974, 12, 15.03, 21.13, 57.68, 0.6353, -3.477, -9.118, 2.884, 2.814, 3.191
1975, 1, 12.55, 23.41, 84.63, 0.6998, -3.822, -9.352, 3.158, 3.277, 3.843
1975, 2, 20.42, 41.62, 115.9, 3.917, -1.108, -7.211, 3.088, 3.089, 3.508
1975, 3, 17.59, 42.33, 146.1, 7.864, 3.093, -2.996, 2.781, 2.871, 3.129
1975, 4, 8.194, 24.71, 67.17, 10.5, 6.017, 0.0187, 3.291, 3.378, 3.632
1975, 5, 8.118, 9.606, 13.68, 16.01, 11.53, 5.58, 2.562, 2.62, 2.847
1975, 6, 2.256, 6.951, 21.57, 22.08, 17.45, 11.21, 2.518, 2.555, 2.665
1975, 7, 57.38, 72.5, 108.1, 23.81, 19.81, 13.69, 2.064, 1.97, 2.043
1975, 8, 36.69, 46.3, 64.4, 23.38, 19.21, 13.32, 1.604, 1.65, 1.896
1975, 9, 92.08, 85.6, 89.03, 18.34, 14.58, 9.041, 2.005, 2.046, 2.189
1975, 10, 1.407, 3.51, 9.899, 14.09, 10.51, 5.033, 2.308, 2.303, 2.512
1975, 11, 10.31, 28.73, 109.2, 7.095, 3.038, -2.754, 2.559, 2.624, 3.099
1975, 12, 6.459, 10.97, 23.64, 2.879, -1.127, -6.703, 2.093, 2.136, 2.564
1976, 1, 0.6472, 3.577, 21.3, 1.932, -2.668, -8.334, 2.003, 2.158, 2.739
1976, 2, 12.1, 23.6, 92.04, 7.423, 3.115, -2.886, 2.563, 2.668, 3.172
1976, 3, 5.429, 16.9, 69.68, 8.152, 3.508, -2.245, 2.984, 2.982, 3.294
1976, 4, 12.18, 18.29, 61.62, 12.89, 8.555, 2.677, 2.586, 2.504, 2.601
1976, 5, 26.18, 26.28, 42.74, 17.44, 13.19, 6.895, 2.217, 2.107, 2.144
1976, 6, 8.178, 9.42, 19.23, 22.47, 18.11, 11.68, 2.458, 2.401, 2.61
1976, 7, 43.07, 51.97, 68.25, 24.2, 20.44, 14.46, 1.807, 1.707, 1.88
1976, 8, 43.09, 63.08, 82.66, 23.15, 18.86, 12.74, 1.683, 1.765, 2.022
1976, 9, 33.65, 38.27, 64.35, 19.35, 15.44, 9.745, 1.639, 1.672, 1.906
1976, 10, 8.153, 9.93, 18.72, 12.01, 8.283, 2.786, 1.883, 1.947, 2.217
1976, 11, 12.17, 16.83, 39.12, 5.527, 2.577, -2.497, 1.788, 1.912, 2.309
1976, 12, 1.953, 3.532, 12.93, 1.073, -3.017, -8.346, 1.631, 1.797, 2.411
1977, 1, 14.35, 24.8, 72.18, 0.2357, -4.431, -9.907, 1.712, 1.92, 2.496
1977, 2, 12.32, 13.41, 31.23, 5.056, 0.163, -5.894, 2.169, 2.298, 2.833
1977, 3, 15.85, 13.49, 28.22, 6.426, 1.941, -3.74, 2.602, 2.68, 3.062
1977, 4, 27.74, 31.44, 84.3, 13.26, 9.095, 3.217, 1.857, 1.798, 1.887
1977, 5, 9.239, 19.43, 39.01, 17.43, 12.97, 7.048, 2.228, 2.231, 2.285
1977, 6, 7.081, 16.1, 40.69, 23.67, 19.53, 13.44, 1.953, 1.89, 1.832
1977, 7, 52.37, 74.47, 107.1, 24.96, 20.75, 14.57, 1.623, 1.795, 2.013
1977, 8, 62.4, 78.2, 98.92, 24.7, 20.42, 14.53, 1.665, 1.817, 2.016
1977, 9, 35.72, 48.7, 67.87, 20.9, 16.66, 10.74, 2.013, 2.187, 2.541
1977, 10, 10.63, 10.3, 20.06, 15.24, 11.29, 5.692, 1.832, 1.974, 2.358
1977, 11, 12.78, 31.28, 99.87, 8.815, 4.597, -1.1, 2.418, 2.612, 3.095
1977, 12, 4.904, 7.284, 20.03, 5.731, 1.577, -4.311, 2.89, 3.101, 3.817
