# Created by WEAP: 5/10/2021 8:29:58 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_bcc-csm1-1-m_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_SCE_CEN_Castaic Creek (41,472 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (21,514 ha),  1000 - 2000 m (19,958 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m

2006, 1, 8.295, 6.533, 43.83, 43.01
2006, 2, 10.26, 8.425, 80.58, 82.97
2006, 3, 13.23, 11.52, 16.46, 15.22
2006, 4, 13.92, 12.43, 40.86, 40
2006, 5, 17.41, 15.82, 5.218, 5.573
2006, 6, 20.69, 19.58, 1.832, 2.247
2006, 7, 27.02, 26.03, 0, 0
2006, 8, 29.04, 28.17, 0.4938, 0.6404
2006, 9, 27.34, 26.06, 5.839, 5.003
2006, 10, 19.33, 17.75, 25.26, 22.72
2006, 11, 11.85, 10.05, 47.79, 47.26
2006, 12, 8.139, 6.16, 63.62, 69.85
2007, 1, 7.429, 5.369, 17.05, 23.03
2007, 2, 11.97, 10.3, 114.5, 104.1
2007, 3, 10.4, 8.906, 45.97, 51.07
2007, 4, 15.57, 14.07, 64.53, 60.74
2007, 5, 20.88, 19.4, 16.94, 19.33
2007, 6, 22.82, 22.06, 11.82, 15.69
2007, 7, 27.09, 26.12, 0.2219, 0.509
2007, 8, 28.21, 27.27, 0.0003626, 0.007498
2007, 9, 25.3, 23.96, 0.1673, 0.2856
2007, 10, 18.08, 16.48, 0.1833, 0.3261
2007, 11, 11.77, 10.03, 132.6, 142.8
2007, 12, 7.251, 5.224, 24.26, 20.03
2008, 1, 5.75, 3.857, 116.5, 133.9
2008, 2, 11.6, 9.968, 91.06, 100.9
2008, 3, 14.29, 12.54, 30.66, 34.58
2008, 4, 14.32, 12.72, 84.5, 75.24
2008, 5, 18.9, 17.4, 5.866E-5, 0.000289
2008, 6, 22.4, 21.41, 0.2838, 0.4647
2008, 7, 28.57, 27.6, 0, 0
2008, 8, 29.61, 28.71, 0.07731, 0.1143
2008, 9, 27.26, 25.86, 15.63, 18.98
2008, 10, 17.05, 15.49, 10.93, 12.56
2008, 11, 14.36, 12.58, 179.6, 194.9
2008, 12, 10.3, 8.559, 81.43, 95.23
2009, 1, 13.36, 11.23, 1.399, 1.896
2009, 2, 11.25, 9.571, 223.7, 225.5
2009, 3, 17.55, 15.87, 3.18, 3.287
2009, 4, 15.02, 13.5, 31.09, 29.1
2009, 5, 19.85, 18.53, 6.601, 7.385
2009, 6, 23.8, 22.93, 0.3779, 0.2997
2009, 7, 28.89, 28.2, 0, 0
2009, 8, 26.31, 25.4, 0.2308, 0.19
2009, 9, 27.36, 26.07, 1.237, 1.89
2009, 10, 17.33, 15.78, 28.31, 29.67
2009, 11, 12.36, 10.59, 79.7, 75.76
2009, 12, 6.289, 4.397, 167.4, 171.3
2010, 1, 10.56, 8.538, 8.996, 8.537
2010, 2, 11.71, 10.06, 59.14, 64.37
2010, 3, 14.08, 12.26, 1.156, 1.228
2010, 4, 12.79, 11.19, 120.8, 115.4
2010, 5, 21.29, 19.8, 25.65, 27.85
2010, 6, 21.89, 21.01, 1.926, 1.743
2010, 7, 28.61, 27.81, 0.05448, 0.1582
2010, 8, 24.84, 23.67, 0.2263, 0.1758
2010, 9, 25.62, 24.22, 4.736, 6.815
2010, 10, 20.11, 18.68, 28.16, 25.36
2010, 11, 17.08, 15.49, 1.78, 1.417
2010, 12, 9.932, 8.029, 69.66, 67.24
2011, 1, 10.08, 8.215, 13.22, 14.16
2011, 2, 11.48, 9.571, 185, 174.8
2011, 3, 14.97, 13.28, 67.33, 64.39
2011, 4, 13.03, 11.42, 121.2, 117
2011, 5, 20.14, 18.84, 1.102, 1.372
2011, 6, 22.77, 21.73, 0.6235, 1.139
2011, 7, 28.66, 27.64, 0.006071, 0.02645
2011, 8, 29.55, 28.85, 0.004497, 0.03106
2011, 9, 25.89, 24.5, 16.7, 18.37
2011, 10, 14.49, 12.81, 34.78, 35.69
2011, 11, 15.95, 14.2, 7.892, 10.43
2011, 12, 11.1, 9.077, 84.28, 82.82
2012, 1, 10.15, 8.02, 11.82, 9.678
2012, 2, 10.28, 8.575, 40.98, 45.57
2012, 3, 12.25, 10.43, 29.9, 26.08
2012, 4, 14.89, 13.18, 41.33, 38.92
2012, 5, 20.24, 18.94, 8.263, 8.912
2012, 6, 22.52, 21.49, 5.198, 8.054
2012, 7, 28.24, 27.54, 0.3142, 0.4152
2012, 8, 26.87, 25.81, 7.517, 10.54
2012, 9, 26.19, 25.05, 1.713, 2.178
2012, 10, 19.71, 18.07, 6.745, 8
2012, 11, 11.79, 10.08, 9.971, 9.537
2012, 12, 10.56, 8.752, 49.09, 52.59
2013, 1, 9.567, 7.759, 80.07, 78.95
2013, 2, 12.06, 10.47, 75.2, 82.37
2013, 3, 15.68, 13.99, 41.19, 44.75
2013, 4, 16.45, 14.64, 27.84, 28.87
2013, 5, 16.87, 15.31, 23.48, 22.57
2013, 6, 22.05, 21.17, 3.721, 6.068
2013, 7, 28.82, 27.95, 0.01432, 0.05003
2013, 8, 29.35, 28.48, 0.07771, 0.107
2013, 9, 25, 23.52, 0.01844, 0.02994
2013, 10, 20.32, 18.8, 8.816, 12.25
2013, 11, 13.42, 11.83, 34.98, 32.68
2013, 12, 9.507, 7.704, 49.84, 50.87
2014, 1, 7.309, 5.506, 172.9, 183.2
2014, 2, 8.628, 6.992, 173.7, 175.3
2014, 3, 14.41, 12.56, 318.1, 334.8
2014, 4, 13.46, 11.89, 103.9, 91.57
2014, 5, 18.2, 16.83, 34.84, 37.92
2014, 6, 22.39, 21.37, 0.1482, 0.1253
2014, 7, 27.93, 27.13, 0, 0
2014, 8, 29.19, 28.41, 3.463, 4.726
2014, 9, 25.43, 24.01, 17.35, 16.88
2014, 10, 21.3, 19.83, 0.02969, 0.0253
2014, 11, 11.42, 9.661, 32.26, 34.75
2014, 12, 14.06, 12.07, 9.866, 9.508
2015, 1, 12.18, 10.01, 10.06, 9.58
2015, 2, 14.6, 12.72, 0.05072, 0.09665
2015, 3, 12.99, 11.08, 125.8, 127.7
2015, 4, 14.56, 13.01, 70.39, 66.82
2015, 5, 17.66, 16.09, 13.82, 15.32
2015, 6, 24, 23.01, 0.126, 0.4068
2015, 7, 28.91, 27.66, 0.002377, 0.01168
2015, 8, 29.35, 28.29, 12.2, 17.21
2015, 9, 24.14, 22.84, 0.06293, 0.06247
2015, 10, 20.23, 18.87, 5.732, 5.981
2015, 11, 12.4, 10.83, 216.7, 246.2
2015, 12, 11.59, 9.753, 129, 126.9
