# Created by WEAP: 5/10/2021 8:29:14 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_bcc-csm1-1-m_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: ID_S_OR_E_Middle Frk Snake (803,800 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (720,976 ha),  2000 - 3000 m (82,713 ha),  3000 - 4000 m (112 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

2006, 1, -2.009, -4.411, -5.917, 21, 40.75, 68.6
2006, 2, -0.9958, -3.525, -5.239, 19.67, 42.16, 71.01
2006, 3, 3.484, 0.8863, -0.7875, 13.78, 25.38, 50.29
2006, 4, 11.09, 7.413, 5.439, 26.41, 46.82, 65.68
2006, 5, 11.8, 8.484, 6.339, 28.19, 31.74, 44.34
2006, 6, 18.02, 14.81, 12.73, 36.7, 55.67, 70.13
2006, 7, 23.28, 20.39, 18, 29.36, 32.12, 25.13
2006, 8, 24.53, 21.46, 19.35, 19.18, 32.02, 38.09
2006, 9, 18.36, 15.5, 13.34, 7.694, 8.105, 8.783
2006, 10, 10.84, 7.667, 5.539, 34.29, 58.01, 76.29
2006, 11, 0.8244, -1.893, -3.836, 28.38, 47.4, 72.79
2006, 12, -6.067, -8.252, -10.11, 32.6, 62.54, 121.9
2007, 1, -6.13, -8.567, -10.21, 23, 64.79, 117
2007, 2, 0.9041, -1.732, -3.474, 39.78, 73.71, 112
2007, 3, 1.467, -1.06, -2.711, 17.17, 28.28, 35.07
2007, 4, 7.8, 4.635, 2.732, 50.72, 83.03, 118.6
2007, 5, 13.76, 10.66, 8.551, 34.67, 47.61, 69.17
2007, 6, 20.09, 16.76, 14.71, 52.83, 94.66, 116.7
2007, 7, 23.78, 20.73, 18.56, 19.53, 37.3, 43.8
2007, 8, 23.2, 20.09, 17.9, 4.714, 15.72, 13.48
2007, 9, 16.92, 14.09, 12.12, 2.818, 4.534, 4.8
2007, 10, 7.453, 4.301, 2.427, 9.488, 13.41, 19.8
2007, 11, 2.281, -0.9099, -2.976, 16.55, 38.16, 63.02
2007, 12, -5.826, -8.288, -9.94, 28.3, 54.94, 92.84
2008, 1, -8.969, -11.36, -13.06, 17.07, 36.2, 55.62
2008, 2, 2.542, -0.6671, -2.148, 19.72, 37.76, 56.64
2008, 3, 8.46, 5.195, 3.446, 12.06, 31.14, 44.45
2008, 4, 10.4, 6.635, 4.452, 35.62, 59.95, 89.48
2008, 5, 14.22, 10.76, 8.722, 18.36, 28.55, 38.46
2008, 6, 18.93, 15.71, 13.64, 23.94, 39.21, 58.99
2008, 7, 23.16, 20.13, 17.76, 3.066, 4.817, 6.469
2008, 8, 24.69, 21.62, 19.51, 15.07, 22.73, 22.33
2008, 9, 19.8, 16.72, 14.66, 2.503, 5.299, 5.781
2008, 10, 8.685, 5.526, 3.387, 43.42, 63.57, 85.72
2008, 11, 7.987, 4.784, 2.79, 33.04, 83.09, 139.8
2008, 12, 1.02, -1.932, -3.812, 75.22, 150.8, 297.9
2009, 1, -0.4777, -2.887, -4.555, 3.806, 6.218, 11.86
2009, 2, 5.508, 2.48, 0.8338, 10.79, 25.4, 42.13
2009, 3, 11.36, 7.645, 5.762, 12.96, 17.93, 31.41
2009, 4, 10.13, 6.192, 4.241, 39.79, 75.19, 112.1
2009, 5, 15.12, 11.62, 9.538, 16.46, 32.07, 47.21
2009, 6, 20.61, 17.53, 15.53, 14.84, 26.82, 30.19
2009, 7, 24.62, 21.43, 19.16, 17.15, 24.12, 27.65
2009, 8, 21.64, 18.44, 16.09, 53.75, 109, 144.8
2009, 9, 18.75, 15.67, 13.46, 6.754, 15.56, 18.88
2009, 10, 9.401, 6.1, 4.031, 21.23, 37.7, 41
2009, 11, 1.705, -0.8413, -2.729, 5.562, 13.65, 27.54
2009, 12, -5.52, -8.35, -10.12, 17.75, 49.53, 84.73
2010, 1, -3.09, -5.668, -7.198, 24.51, 48.56, 90.03
2010, 2, 3.413, 0.7206, -0.9875, 39.34, 70.91, 116.1
2010, 3, 5.087, 2.296, 0.7426, 22.58, 38.82, 64.03
2010, 4, 10.15, 6.428, 4.401, 42.51, 78.91, 119.5
2010, 5, 15.6, 12.37, 10.44, 11.48, 21.21, 30.81
2010, 6, 20.7, 17.2, 15.11, 25.93, 45.75, 50.61
2010, 7, 22.78, 19.82, 17.46, 7.496, 9.77, 9.128
2010, 8, 20.35, 17.03, 14.86, 39.07, 69.52, 89.25
2010, 9, 17.12, 13.91, 11.71, 65.89, 84.7, 110.8
2010, 10, 9.667, 6.81, 4.935, 14.6, 24.78, 30.6
2010, 11, 5.859, 2.77, 0.6563, 10.89, 23.21, 29.67
2010, 12, -3.155, -5.838, -7.446, 17.09, 42.61, 71.95
2011, 1, -2.559, -5.233, -6.898, 27.5, 65.51, 117.7
2011, 2, 1.525, -1.029, -2.576, 31.31, 63.59, 88.68
2011, 3, 8.402, 5.583, 4.002, 11.17, 20.72, 28.54
2011, 4, 7.811, 4.162, 2.098, 28.71, 43.71, 59.74
2011, 5, 11.25, 8.041, 6.068, 29.67, 48.66, 71.11
2011, 6, 19.4, 16.34, 14.27, 44.02, 56.03, 72.91
2011, 7, 24.53, 21.47, 19.22, 2.658, 4.98, 4.768
2011, 8, 23.83, 20.92, 18.76, 8.643, 11.97, 15.33
2011, 9, 19.44, 16.35, 14.19, 3.866, 8.078, 14
2011, 10, 6.997, 3.81, 1.635, 34.63, 62.97, 98.15
2011, 11, 6.953, 4.051, 2.175, 22.63, 46.61, 78.83
2011, 12, -2.012, -5.005, -6.761, 36.37, 61.32, 94.34
2012, 1, -2.928, -5.461, -6.985, 8.062, 21.13, 42.83
2012, 2, -0.8668, -3.449, -4.886, 15.94, 38.66, 65.25
2012, 3, 6.448, 3.577, 1.95, 23.25, 40.83, 64.23
2012, 4, 9.741, 6.113, 4.064, 35.82, 75.19, 104.9
2012, 5, 15.33, 12.03, 10.06, 38.11, 68.9, 94.88
2012, 6, 18.64, 15.3, 13.16, 47.94, 76.81, 88.35
2012, 7, 24.06, 21, 18.8, 13.07, 21.49, 20.08
2012, 8, 22.54, 19.27, 17.12, 36.08, 45.15, 44.07
2012, 9, 17.25, 14.29, 11.97, 2.677, 2.775, 3.037
2012, 10, 9.463, 6.862, 4.853, 24.97, 37.54, 48.93
2012, 11, -3.283, -6.148, -8.056, 37.47, 67.9, 115.3
2012, 12, -4.158, -6.636, -8.325, 26.77, 64.65, 105.2
2013, 1, -2.512, -5.128, -6.646, 46.52, 103.2, 178.2
2013, 2, -2.073, -4.294, -5.811, 16.16, 27.92, 38.95
2013, 3, 5.327, 2.94, 1.323, 29.16, 49.97, 67.01
2013, 4, 10.89, 7.402, 5.493, 16.01, 39.06, 50.1
2013, 5, 13.33, 9.969, 7.94, 57.53, 82.65, 118.3
2013, 6, 19.35, 16.03, 14.07, 40.76, 67.55, 89.88
2013, 7, 23.81, 20.95, 18.63, 8.266, 15.85, 18.7
2013, 8, 22.9, 19.88, 17.81, 21.23, 42.17, 58.75
2013, 9, 16.71, 13.77, 11.62, 9.952, 8.483, 9.872
2013, 10, 10.85, 7.83, 5.661, 59.26, 111.5, 177.8
2013, 11, 2.687, 0.0004263, -1.88, 26.65, 51.28, 77.43
2013, 12, -2.208, -4.871, -6.499, 28.58, 66.04, 127.9
2014, 1, -4.916, -7.498, -9.272, 32.23, 78.75, 132.5
2014, 2, -2.886, -5.73, -7.462, 36.25, 83.75, 139.1
2014, 3, 7.865, 4.57, 2.827, 50.72, 108.6, 162.9
2014, 4, 10.25, 6.299, 4.37, 50.68, 87.79, 120.9
2014, 5, 14.36, 11.07, 9.134, 58.38, 99.72, 143.6
2014, 6, 17.37, 13.91, 12.03, 28.93, 51.92, 62.14
2014, 7, 22.78, 19.97, 17.69, 10.54, 16.02, 20.88
2014, 8, 24.01, 21.22, 19.09, 7.737, 16.26, 18.41
2014, 9, 16.59, 13.7, 11.58, 18.17, 26.39, 31.21
2014, 10, 9.408, 6.429, 4.421, 8.485, 11.8, 17.45
2014, 11, -2.05, -4.894, -6.794, 64.75, 128.9, 197.6
2014, 12, -0.2843, -2.361, -3.915, 7.513, 15.21, 20.2
2015, 1, -1.397, -3.704, -5.159, 32.91, 81.02, 152.8
