# Created by WEAP: 6/23/2021 6:24:38 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\Users\David\Documents\Hyperfacet\monthly_bcc-csm1-1_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_SF Feather (31,747 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (15,544 ha),  1000 - 2000 m (16,203 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m

2006, 1, 7.514, 4.314, 13.68, 22.86
2006, 2, 9.388, 5.879, 143.5, 188.8
2006, 3, 12.57, 9.029, 597.8, 815
2006, 4, 12.77, 8.983, 80.52, 108.5
2006, 5, 17.71, 14.04, 8.121, 21.99
2006, 6, 21.88, 17.93, 0.1081, 0.2498
2006, 7, 25.8, 21.98, 0, 0
2006, 8, 24.59, 21.03, 2.023, 5.602
2006, 9, 26.09, 22.52, 0, 0
2006, 10, 20.42, 17.21, 18.65, 26.78
2006, 11, 9.953, 6.66, 268.1, 381.5
2006, 12, 8.787, 5.179, 172.5, 207.3
2007, 1, 6.916, 3.584, 217.3, 273.2
2007, 2, 8.8, 4.683, 387.1, 531.1
2007, 3, 14.6, 11.15, 146.9, 193.3
2007, 4, 10.83, 7.057, 285.9, 353
2007, 5, 17.03, 13.27, 72.49, 132.8
2007, 6, 20.39, 16.67, 1.257, 1.83
2007, 7, 26.05, 22.11, 0.04412, 0.4621
2007, 8, 24.69, 21.38, 2.908, 7.322
2007, 9, 23.18, 19.61, 8.674, 14.45
2007, 10, 15.99, 12.85, 30.77, 46.91
2007, 11, 13.3, 10.17, 144.2, 183.1
2007, 12, 8.288, 5.122, 122.5, 154.9
2008, 1, 6.593, 3.231, 61.7, 87.37
2008, 2, 8.058, 4.34, 141.4, 188.1
2008, 3, 12.18, 8.748, 94.05, 136.5
