# Created by WEAP: 6/23/2021 6:24:06 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\Users\David\Documents\Hyperfacet\monthly_bcc-csm1-1_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_Mid American (15,009 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (284 ha),  1000 - 2000 m (13,240 ha),  2000 - 3000 m (1,485 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, 5.919, 3.006, 0.7241, 16.89, 16.21, 14.59
2006, 2, 7.342, 4.491, 2.489, 146.6, 172, 171
2006, 3, 9.49, 7.06, 5.389, 463.3, 583.4, 639.3
2006, 4, 9.356, 7.086, 5.703, 143.7, 139.6, 127.2
2006, 5, 14.76, 12.38, 10.74, 24.86, 32.2, 34.34
2006, 6, 18.79, 16.4, 14.81, 0.1868, 0.9401, 1.957
2006, 7, 24.1, 21.44, 19.58, 3.208, 0.7412, 0.08263
2006, 8, 22.4, 19.84, 18.11, 1.015, 5.018, 9.995
2006, 9, 24.24, 20.91, 18.54, 0, 0, 0
2006, 10, 17.7, 15.07, 13.12, 29.43, 29.56, 36.01
2006, 11, 6.986, 4.761, 2.976, 304.7, 317.7, 352.9
2006, 12, 6.152, 3.882, 2.263, 137.8, 156.5, 163.1
2007, 1, 4.643, 2.101, 0.1859, 210.5, 189.8, 171.3
2007, 2, 6.094, 3.211, 1.147, 449.1, 553.2, 605.1
2007, 3, 11.57, 8.789, 6.935, 157.8, 163.9, 176.6
2007, 4, 7.398, 5.192, 3.909, 268, 326.8, 345.6
2007, 5, 13.22, 11.18, 9.848, 98.59, 148.7, 181.8
2007, 6, 17.63, 15.35, 13.76, 1.107, 1.817, 2.674
2007, 7, 23.61, 21.04, 19.28, 2.552, 1.236, 1.408
2007, 8, 22.28, 19.91, 18.36, 2.706, 3.883, 4.83
2007, 9, 20.73, 18.07, 16.26, 8.569, 6.973, 8.316
2007, 10, 12.79, 10.49, 8.759, 29.73, 40.03, 42.96
2007, 11, 10.29, 8.009, 6.389, 167.3, 190.6, 197.9
2007, 12, 6.196, 3.546, 1.506, 93.92, 95.35, 97.43
2008, 1, 4.579, 1.867, -0.1398, 74.62, 77.56, 78.77
2008, 2, 5.187, 2.615, 0.941, 157, 171.7, 176.6
