# Created by WEAP: 6/23/2021 6:24:18 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\Users\David\Documents\Hyperfacet\monthly_bcc-csm1-1_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_CEN_Cherry (27,831 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (1,897 ha),  2000 - 3000 m (24,818 ha),  3000 - 4000 m (1,116 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

2006, 1, 0.9092, -2.919, -5.54, 4.882, 5.334, 4.688
2006, 2, 3.145, -0.2943, -2.659, 85.85, 97.13, 106.8
2006, 3, 5.305, 2.134, 0.2024, 276.3, 335.1, 358.3
2006, 4, 5.201, 2.02, 0.253, 127.8, 156.8, 173.5
2006, 5, 10.99, 7.624, 5.674, 16.82, 17.21, 19.98
2006, 6, 14.98, 11.65, 9.859, 2.288, 4.572, 8.203
2006, 7, 19.65, 16.21, 14.25, 5.225, 4.937, 4.196
2006, 8, 18.44, 14.86, 12.8, 2.512, 5.848, 12.83
2006, 9, 19.04, 15.49, 13.2, 0, 0, 0
2006, 10, 13.56, 10, 7.705, 14.46, 16.8, 16.72
2006, 11, 3.015, -0.3472, -2.395, 285.1, 321.2, 342
2006, 12, 2.459, -1.498, -3.987, 87.97, 90.67, 92.78
2007, 1, 0.1524, -3.572, -5.881, 111.6, 127.5, 127.2
2007, 2, 1.703, -1.781, -4.014, 433.8, 532, 578.1
2007, 3, 8.174, 4.753, 2.624, 101.9, 115.2, 117.4
2007, 4, 3.847, 0.6757, -0.9875, 250.2, 306.1, 329.3
2007, 5, 9.274, 6.048, 4.302, 121.4, 150.4, 167.8
2007, 6, 13.99, 10.54, 8.65, 17.54, 20.83, 23.89
2007, 7, 20.17, 16.65, 14.72, 2.207, 2.656, 3.568
2007, 8, 18.95, 15.49, 13.53, 5.127, 4.988, 4.948
2007, 9, 16.82, 13.24, 11.15, 15.41, 19.42, 26.09
2007, 10, 8.487, 5.186, 3.176, 30.09, 34.09, 37.95
2007, 11, 5.83, 2.301, 0.09647, 150.2, 172.8, 180.1
2007, 12, 1.576, -2.37, -5.018, 120, 146.1, 163.6
2008, 1, -0.1103, -3.732, -6.193, 101.6, 121.8, 133.5
2008, 2, 1.442, -1.647, -3.687, 79.7, 96.11, 101.4
2008, 3, 5.198, 1.85, -0.292, 78.29, 94.78, 100.9
2008, 4, 4.048, 0.8496, -0.7864, 104.7, 132.4, 145.5
2008, 5, 9.179, 6.072, 4.486, 125.3, 150.3, 161.1
2008, 6, 14.16, 10.79, 8.921, 24.17, 28.69, 31.53
2008, 7, 18.98, 15.44, 13.52, 0.9891, 1.941, 3.526
2008, 8, 18.1, 14.76, 12.89, 4.696, 5.092, 6.802
2008, 9, 17.27, 13.85, 11.76, 14.3, 20.14, 22.99
2008, 10, 8.607, 5.473, 3.666, 63.64, 70.27, 71.64
2008, 11, 4.324, 0.7179, -1.551, 34.94, 40.08, 44.22
2008, 12, 0.4341, -3.483, -5.917, 82.23, 93.62, 99.07
2009, 1, 0.1634, -3.377, -5.697, 26.45, 29.98, 32.69
2009, 2, 2.07, -1.246, -3.429, 128.2, 159.5, 169.5
2009, 3, 8.651, 5.34, 3.195, 68.11, 81.96, 85.09
2009, 4, 5.354, 2.052, 0.3739, 104.3, 118.2, 121.3
2009, 5, 13.98, 10.58, 8.559, 1.962, 1.967, 2.181
2009, 6, 14.92, 11.51, 9.604, 7.763, 10.88, 16.14
2009, 7, 21.09, 17.5, 15.41, 0, 0, 0
2009, 8, 19.27, 15.71, 13.71, 1.106, 3.566, 9.234
2009, 9, 17.6, 14.24, 12.22, 0.09574, 0.3539, 0.6268
2009, 10, 11.56, 8.28, 6.181, 38.45, 38.81, 37.95
2009, 11, 0.9568, -2.616, -4.776, 191.3, 235, 257.9
2009, 12, 5.648, 1.709, -0.9762, 49.1, 51.78, 53.74
2010, 1, 0.9934, -2.704, -5.049, 355.1, 406.7, 429.5
2010, 2, 2.891, -0.3991, -2.546, 660.4, 775.9, 840.9
2010, 3, 5.802, 2.598, 0.5799, 188.1, 229.1, 244.2
2010, 4, 6.717, 3.351, 1.389, 122.8, 143.1, 148.3
2010, 5, 9.754, 6.45, 4.65, 30.11, 31.14, 28.15
2010, 6, 16.48, 12.97, 10.99, 14.92, 19.66, 23.97
2010, 7, 19.24, 15.76, 13.91, 5.057, 5.212, 5.429
2010, 8, 19.39, 15.87, 13.84, 0.02112, 0.5642, 1.925
2010, 9, 18.81, 15.25, 12.98, 0, 0.0226, 0.002322
2010, 10, 8.202, 4.96, 3.093, 200, 242, 268.5
2010, 11, 4.438, 1.112, -0.933, 69.87, 81.24, 89.52
2010, 12, -0.9559, -4.699, -7.223, 224.4, 233.5, 230.4
2011, 1, 3.708, -0.08599, -2.295, 182.1, 229.6, 255.7
2011, 2, 0.7201, -2.76, -4.974, 476.4, 552.4, 620.5
2011, 3, 5.182, 1.838, -0.3249, 16.81, 18.31, 19.09
2011, 4, 7.865, 4.443, 2.568, 161.1, 188.3, 198.1
2011, 5, 12.64, 9.282, 7.391, 30.28, 41.06, 48.98
2011, 6, 16.96, 13.43, 11.3, 13.05, 18.53, 26.34
2011, 7, 20.57, 17.03, 15.01, 0.2866, 0.9938, 2.208
2011, 8, 18.54, 14.98, 12.91, 0.259, 0.8722, 1.539
2011, 9, 16.86, 13.34, 11.29, 0, 0.8979, 1.592
2011, 10, 11.27, 7.871, 5.602, 8.514, 10.06, 11.22
2011, 11, 6.996, 3.552, 1.301, 68.73, 88.63, 107.8
2011, 12, 2.867, -0.9649, -3.563, 62.63, 69.74, 74.13
2012, 1, 1.839, -1.87, -4.208, 114.5, 144.9, 162.4
2012, 2, 6.359, 2.753, 0.3697, 35.66, 38.27, 41.08
2012, 3, 6.108, 2.814, 0.8463, 248.9, 288.1, 289.3
2012, 4, 7.872, 4.5, 2.55, 39.64, 44.37, 46.66
2012, 5, 12.5, 9.102, 7.226, 0.2743, 0.4538, 0.5605
2012, 6, 16.49, 12.91, 10.95, 2.906, 4.329, 5.265
2012, 7, 19.23, 15.84, 13.85, 0.2365, 0.807, 2.015
2012, 8, 20.61, 17.06, 14.89, 0.8823, 0.9881, 1.488
2012, 9, 16.57, 13.15, 11.11, 13.55, 16.78, 20.01
2012, 10, 10.83, 7.457, 5.425, 47.01, 52.45, 58.79
2012, 11, 1.99, -1.409, -3.326, 151.4, 174.4, 182.1
2012, 12, 0.9885, -2.786, -5.351, 74.79, 86.43, 93.69
2013, 1, -0.3828, -4.05, -6.56, 148.8, 167.1, 166.7
2013, 2, -1.842, -5.364, -7.78, 134.8, 173.5, 180.9
2013, 3, 4.181, 1.066, -1.049, 48.51, 63.22, 71.63
2013, 4, 7.691, 4.204, 2.177, 52.3, 61.49, 63.74
2013, 5, 3.525, 0.4888, -1.064, 247, 286.7, 291.7
2013, 6, 13.4, 10, 8.231, 15.69, 23.66, 34.36
2013, 7, 17.17, 13.84, 11.98, 82.96, 101.5, 97.58
2013, 8, 22, 18.33, 15.94, 4.305, 6.213, 8.486
2013, 9, 15.54, 12.13, 10.09, 6.123, 9.195, 15.55
2013, 10, 12.96, 9.498, 7.326, 189.5, 220.5, 238
2013, 11, 3.282, -0.05179, -1.991, 121.6, 140.4, 147.1
2013, 12, 2.014, -2.003, -4.484, 19.55, 26.01, 30.82
2014, 1, 4.167, 0.4864, -1.95, 102.4, 126.2, 140.5
2014, 2, 6.592, 3.14, 0.6743, 16.67, 22.57, 24.39
2014, 3, 3.219, 0.01775, -1.913, 200.3, 247.2, 267.4
2014, 4, 6.816, 3.507, 1.712, 1.866, 3.525, 4.075
2014, 5, 12.54, 9.258, 7.39, 4.888, 5.701, 5.813
2014, 6, 15.61, 12.28, 10.49, 0.4612, 0.8061, 1.412
2014, 7, 20.2, 16.74, 14.78, 147.1, 180.1, 157.9
2014, 8, 18.06, 14.7, 12.85, 0.02519, 0.5632, 1.711
2014, 9, 16.06, 12.62, 10.59, 1.161, 1.597, 1.824
2014, 10, 11.28, 7.81, 5.576, 107.5, 131.8, 136
2014, 11, 6.566, 3.17, 1.128, 38.65, 45.94, 52.83
2014, 12, 3.121, -0.799, -3.462, 160.8, 210.7, 230.9
2015, 1, -0.1015, -3.587, -5.636, 174.3, 194.7, 201.7
2015, 2, 1.176, -2.139, -4.075, 381.7, 461.1, 514.5
2015, 3, -0.2368, -3.444, -5.339, 228, 272.4, 289.4
2015, 4, 4.085, 0.8327, -0.879, 188.1, 226.2, 237.7
2015, 5, 6.393, 3.302, 1.65, 204.3, 240.1, 264.7
2015, 6, 13.5, 10.19, 8.319, 90.52, 107.3, 111.1
2015, 7, 19.9, 16.37, 14.33, 41.07, 51.56, 49.09
2015, 8, 18.61, 15.06, 12.96, 3.822, 4.002, 4.755
2015, 9, 14.48, 11.15, 9.217, 0, 0, 0
2015, 10, 11.16, 7.862, 5.811, 17.66, 17.84, 17.43
2015, 11, 8.814, 5.269, 2.963, 81.42, 94, 100
2015, 12, 2.74, -1.064, -3.419, 457.7, 521.2, 558.8
2016, 1, 1.893, -1.788, -4.106, 150.8, 169.3, 178.8
2016, 2, 3.566, -0.03643, -2.491, 328.2, 385, 410
2016, 3, 7.863, 4.587, 2.294, 2.644, 2.035, 1.264
2016, 4, 5.187, 1.863, 0.1063, 123.4, 139.9, 140.4
2016, 5, 14.84, 11.65, 9.723, 7.654, 8.798, 10.14
2016, 6, 18.36, 14.78, 12.66, 1.434, 1.227, 0.8954
2016, 7, 19.84, 16.37, 14.46, 2.966, 4.58, 7.31
2016, 8, 19.23, 15.61, 13.61, 0.788, 2.624, 5.825
2016, 9, 14.38, 11.04, 9.188, 357.9, 380.2, 361.3
2016, 10, 11.87, 8.417, 6.254, 5.691, 6.42, 7.634
2016, 11, 4.668, 0.9904, -1.548, 17.04, 17.13, 16.04
2016, 12, 2.296, -1.723, -4.286, 71.84, 79.11, 80.23
2017, 1, 2.006, -1.436, -3.432, 123, 138.1, 141.7
2017, 2, 2.958, -0.5054, -2.814, 140.8, 169.9, 181.2
2017, 3, 7.401, 4.108, 2.094, 172.4, 205.4, 218.9
2017, 4, 7.361, 3.954, 2.049, 112.1, 138.4, 153.1
2017, 5, 13.35, 9.894, 7.975, 3.2, 4.93, 5.353
2017, 6, 18.66, 15.18, 13.19, 10.14, 12.53, 14.15
2017, 7, 20.15, 16.56, 14.51, 0.6807, 0.5378, 0.4585
2017, 8, 18.51, 14.89, 12.84, 4.11, 7.358, 7.936
2017, 9, 12, 8.688, 6.89, 43.03, 46.77, 51.7
2017, 10, 10.63, 7.256, 5.218, 106.8, 128.1, 141.1
2017, 11, 8.494, 4.778, 2.578, 22.18, 31.43, 46.46
2017, 12, 1.9, -1.818, -4.116, 235.4, 282.3, 302.7
