# Created by WEAP: 6/23/2021 6:23:51 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\Users\David\Documents\Hyperfacet\monthly_bcc-csm1-1_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: MT_SE_Lwr Yellowstone (7,147,106 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (3,276,385 ha),  1000 - 2000 m (3,474,437 ha),  2000 - 3000 m (367,805 ha),  3000 - 4000 m (28,479 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

2006, 1, -7.621, -5.443, -10.5, -15.45, 8.556, 16.07, 38.08, 78.83
2006, 2, -1.579, 0.5177, -5.196, -10.22, 9.315, 7.266, 14.28, 26.55
2006, 3, 3.191, 6.552, 0.569, -4.587, 17.38, 20.97, 51.5, 79.84
2006, 4, 11.55, 9.939, 3.193, -1.184, 29.44, 104.5, 169.9, 224.6
2006, 5, 12.37, 11.63, 5.336, 0.518, 83.69, 74.39, 92.22, 114.5
2006, 6, 18.99, 17.22, 10.72, 5.636, 145.8, 87.34, 101.5, 150.8
2006, 7, 25.86, 25.06, 18.48, 13.71, 25.33, 17.26, 16.08, 11.07
2006, 8, 23.41, 22.98, 16.49, 11.83, 26.46, 27.56, 41.76, 53.16
2006, 9, 16.08, 16.22, 10.17, 5.376, 84.87, 58.36, 64.86, 78.1
2006, 10, 9.202, 9.859, 3.786, -0.8853, 1.949, 4.912, 13.48, 27.47
2006, 11, 1.692, 0.4102, -5.638, -10.33, 9.95, 25, 52.01, 86.83
2006, 12, -3.832, -2.389, -7.46, -12.28, 16.64, 13.99, 34.11, 58.41
