# Created by WEAP: 6/23/2021 6:24:08 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\Users\David\Documents\Hyperfacet\monthly_bcc-csm1-1_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_American (131,622 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (103,816 ha),  1000 - 2000 m (27,523 ha),  2000 - 3000 m (284 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, 9.108, 5.708, 2.039, 7.293, 15.25, 16.1
2006, 2, 11.26, 7.168, 3.542, 90.04, 158, 186.8
2006, 3, 13.94, 9.194, 5.608, 293.8, 503.9, 614.5
2006, 4, 14.17, 9.193, 5.533, 87.72, 137.4, 149.9
2006, 5, 19.14, 14.58, 11.27, 8.544, 28.71, 41.4
2006, 6, 23.52, 18.69, 15.23, 0.1817, 0.4335, 0.9073
2006, 7, 28.18, 23.9, 20.29, 1.355, 0.9443, 0.0868
2006, 8, 26.81, 22.15, 18.5, 0.6522, 1.512, 2.222
2006, 9, 28.34, 23.92, 19.83, 0, 0, 0
2006, 10, 21.83, 17.64, 14.36, 11.76, 24.43, 26.91
2006, 11, 11.29, 6.934, 3.843, 208.4, 302.7, 319.6
2006, 12, 10.37, 6.154, 2.879, 88.32, 143.7, 167.6
2007, 1, 8.954, 4.524, 1.002, 129.8, 196.4, 198.6
2007, 2, 10.32, 5.915, 2.198, 308, 476, 555.9
2007, 3, 16.21, 11.36, 7.573, 108.4, 151.3, 163.2
2007, 4, 12.32, 7.156, 3.486, 190.7, 284, 329.5
2007, 5, 17.88, 13.25, 10.1, 57.8, 117.6, 160.4
2007, 6, 21.95, 17.46, 14.17, 0.3537, 1.409, 2.371
2007, 7, 28.08, 23.38, 19.63, 1.123, 1.007, 1.206
2007, 8, 27, 21.99, 18.4, 0.9609, 4.235, 6.638
2007, 9, 25.18, 20.57, 16.99, 3.802, 7.163, 5.212
2007, 10, 17.17, 12.75, 9.535, 18.13, 37.23, 48.9
2007, 11, 14.02, 10.26, 7.336, 96.87, 181.8, 226.3
2007, 12, 9.285, 6.065, 2.759, 69.99, 98.18, 104.8
2008, 1, 8.499, 4.367, 0.6541, 52.01, 77.39, 83.37
2008, 2, 9.979, 4.932, 1.255, 92.59, 152.2, 168.8
2008, 3, 13.56, 9.169, 5.457, 56.5, 78.86, 92.22
2008, 4, 12.81, 7.712, 4.129, 78.58, 130.9, 153.3
2008, 5, 17.73, 13.16, 9.94, 61.11, 145.7, 197.5
2008, 6, 22.28, 17.34, 13.94, 19.45, 37.36, 50.95
2008, 7, 27.23, 22.71, 19.22, 0.7957, 1.188, 1.485
2008, 8, 26.69, 22.08, 18.2, 0.06973, 1.093, 1.966
2008, 9, 26.39, 21.91, 17.84, 9.534, 13.85, 18.78
2008, 10, 17.19, 12.42, 9.097, 103.7, 170.4, 179.2
2008, 11, 12.27, 8.343, 5.398, 30.13, 56.44, 70.16
2008, 12, 8.487, 4.497, 1.138, 55.94, 100, 117.4
2009, 1, 7.484, 4.589, 1.169, 40.56, 76.73, 82.04
2009, 2, 10.52, 5.81, 2.14, 85.94, 135.6, 149.6
2009, 3, 16.49, 12.57, 8.961, 78.02, 147.7, 179.8
2009, 4, 13.61, 8.423, 4.65, 63.51, 122.5, 145.3
2009, 5, 22.27, 17.96, 14.53, 0.8782, 2.167, 1.911
2009, 6, 23.14, 18.4, 15.06, 4.506, 10.16, 16.72
2009, 7, 29.18, 24.58, 20.83, 0, 0, 0
2009, 8, 27.62, 22.99, 19.26, 0.8617, 3.109, 4.599
2009, 9, 25.74, 21.31, 17.64, 0.01856, 0.08786, 0.1375
2009, 10, 19.85, 15.58, 12.33, 32.08, 68.25, 75.68
2009, 11, 9.235, 4.657, 1.241, 203.7, 344.3, 385.4
2009, 12, 12.43, 9.351, 6.154, 20.45, 32.55, 39.85
2010, 1, 9.19, 5.218, 1.693, 289, 485.4, 561.6
2010, 2, 11.01, 6.451, 2.843, 311.8, 504.3, 589.2
2010, 3, 13.48, 8.36, 4.715, 154.6, 280.9, 354.7
2010, 4, 15.59, 11.34, 7.631, 77.24, 115.7, 122.6
