# Created by WEAP: 6/23/2021 6:22:11 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\Users\David\Documents\Hyperfacet\monthly_bcc-csm1-1_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_W_Snoqualmie (157,887 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (114,475 ha),  1000 - 2000 m (43,339 ha),  2000 - 3000 m (73 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, 3.651, -1.069, -5.64, 277.3, 465.6, 517.6
2006, 2, 5.509, 1.112, -2.842, 301.8, 473.1, 536.5
2006, 3, 6.967, 2.246, -1.8, 355.7, 575.4, 624.7
2006, 4, 9.281, 5.196, 1.897, 84, 110.4, 90.05
2006, 5, 12.42, 8.217, 4.833, 210.4, 277.8, 230.1
2006, 6, 14.36, 10.57, 7.729, 64.5, 81.24, 50.25
2006, 7, 17.32, 13.99, 11.85, 24.93, 38.08, 35.58
2006, 8, 18.4, 15.15, 12.76, 19.84, 22.55, 10.4
2006, 9, 16.56, 13.48, 11.18, 18, 25.86, 17.57
2006, 10, 12.64, 9.527, 6.516, 52.25, 72.03, 62.67
2006, 11, 5.887, 1.546, -2.413, 258, 375.3, 354
2006, 12, 5.648, 1.181, -3.076, 328.9, 479.6, 454.5
2007, 1, 3.954, -0.6015, -4.892, 234.2, 375.7, 429.5
2007, 2, 2.815, -1.611, -5.585, 164.6, 270.9, 316.2
2007, 3, 8.226, 3.784, -0.1146, 235.4, 344.5, 350.5
2007, 4, 8.716, 4.431, 0.8879, 132.3, 191.1, 146.7
2007, 5, 14.16, 10.15, 6.747, 32.71, 41.83, 27.29
2007, 6, 14.18, 10.36, 7.598, 151.9, 215.6, 185.1
2007, 7, 17.98, 14.61, 12.13, 33.61, 38.8, 25.9
2007, 8, 19.85, 16.58, 14.3, 60.71, 80.54, 63.49
2007, 9, 15.18, 11.79, 9.449, 163.3, 249.2, 236.2
2007, 10, 9.635, 5.976, 2.983, 120.5, 197.2, 198.5
2007, 11, 8.229, 3.926, 0.003223, 356, 531.8, 531.3
2007, 12, 3.916, -0.537, -4.625, 180.2, 272, 303.2
2008, 1, 2.361, -2.365, -6.888, 171, 278.5, 319.1
2008, 2, 4.768, 0.2397, -3.706, 299.8, 450.6, 472
2008, 3, 7.924, 3.579, 0.02752, 185.9, 285, 290.9
2008, 4, 9.876, 5.581, 2.014, 100.3, 145.3, 110.2
2008, 5, 12.17, 7.782, 4.109, 171.8, 228.6, 167.5
2008, 6, 13.24, 8.982, 5.706, 297.8, 410.7, 334.6
2008, 7, 17.69, 14.13, 11.57, 81.52, 96.18, 63.05
2008, 8, 18.83, 15.69, 13.4, 21.75, 27.76, 23.91
2008, 9, 15.57, 12.04, 9.44, 60.8, 84.02, 67.4
2008, 10, 9.452, 5.45, 2.08, 243.9, 328, 281.4
2008, 11, 5.799, 1.368, -2.767, 173.5, 263.9, 262.4
2008, 12, 2.81, -1.775, -5.836, 334.1, 518.9, 553.7
2009, 1, 2.595, -2.119, -6.554, 463.4, 760.7, 868.6
2009, 2, 5.049, 0.5135, -3.397, 338, 542.3, 633.3
2009, 3, 9.2, 4.682, 1.024, 480.5, 760.2, 843.6
2009, 4, 8.968, 4.714, 1.363, 157.7, 204.9, 171.4
2009, 5, 14.65, 10.86, 7.796, 29.84, 38.01, 32.03
2009, 6, 15.68, 12.04, 9.374, 99.36, 132.9, 105.9
2009, 7, 18.99, 15.77, 13.57, 18.56, 25.78, 17.99
2009, 8, 17.57, 13.99, 11.45, 111.2, 168.3, 129.4
2009, 9, 15.19, 11.69, 9.13, 116.4, 164, 114.3
2009, 10, 10.94, 7.137, 4.024, 180, 270.2, 259.9
2009, 11, 2.492, -1.983, -6.27, 244.4, 364, 369.8
2009, 12, 4.645, 0.2122, -3.879, 181.1, 262.6, 245.1
2010, 1, 3.111, -1.41, -5.716, 284.6, 433.8, 485
2010, 2, 3.897, -0.7656, -4.986, 264.8, 421, 469
2010, 3, 7.412, 2.978, -0.8234, 211.2, 306.5, 291.4
2010, 4, 10.84, 7.081, 3.985, 61.35, 81.41, 65.6
2010, 5, 12.63, 8.589, 5.465, 68.85, 88.66, 61.89
2010, 6, 15.04, 11.49, 9.134, 51.87, 61.45, 33.17
2010, 7, 17.45, 13.84, 11.26, 56.04, 85.55, 79.95
2010, 8, 17.8, 14.8, 12.63, 14.33, 20.14, 11.48
2010, 9, 17.65, 14.68, 12.47, 66.9, 86.1, 62.67
2010, 10, 9.861, 6.081, 3.042, 172.1, 240.7, 213.1
2010, 11, 6.458, 2.112, -1.925, 425.6, 655.6, 710.7
2010, 12, 2.275, -2, -5.88, 162.1, 254.4, 256.6
2011, 1, 6.882, 2.427, -1.874, 245.3, 375.7, 399.4
2011, 2, 2.366, -2.346, -6.587, 159.5, 236.9, 265
2011, 3, 6.287, 1.86, -1.814, 112.3, 154, 146.3
2011, 4, 10.04, 5.939, 2.678, 116.7, 159.6, 137.6
2011, 5, 13.67, 9.758, 6.45, 97.53, 121.8, 91.24
2011, 6, 15.88, 12.29, 9.721, 22.56, 29.65, 16.65
2011, 7, 17.63, 13.86, 10.99, 75.99, 107.6, 91.66
2011, 8, 18.72, 15.43, 13.28, 52.1, 65.1, 41.02
