# Created by WEAP: 6/23/2021 6:22:58 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\Users\David\Documents\Hyperfacet\monthly_bcc-csm1-1_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_N_CEN_Chelan (241,626 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (70,344 ha),  1000 - 2000 m (141,145 ha),  2000 - 3000 m (30,137 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, -3.681, -7.272, -8.975, 89.71, 159.8, 179.4
2006, 2, -0.2945, -4.244, -6.093, 125.2, 234.6, 270.5
2006, 3, 3.021, -1.242, -3.187, 138.2, 291.3, 361.2
2006, 4, 8.979, 4.422, 2.385, 12.94, 24.6, 32.24
2006, 5, 12.15, 7.812, 5.867, 92.83, 161, 204.3
2006, 6, 16.39, 11.73, 9.701, 8.526, 17.25, 20.8
2006, 7, 19.93, 15.03, 12.92, 5.222, 9.137, 11.46
2006, 8, 20.06, 15.48, 13.43, 3.085, 6.466, 7.951
2006, 9, 16.34, 11.77, 9.703, 1.664, 2.782, 2.46
2006, 10, 10.09, 5.726, 3.843, 12.55, 23.52, 27.65
2006, 11, 1.272, -2.833, -4.741, 87.17, 158.3, 180.8
2006, 12, -1.148, -5.027, -6.851, 133.3, 224.7, 249.7
2007, 1, -3.079, -6.722, -8.43, 89.53, 151.5, 166.2
2007, 2, -2.897, -6.802, -8.639, 80.7, 155.6, 185
2007, 3, 5.216, 0.8139, -1.188, 73.02, 140.2, 173
2007, 4, 8.365, 3.768, 1.746, 24.96, 35.82, 38.27
2007, 5, 14.1, 9.714, 7.71, 3.591, 7.251, 9.261
2007, 6, 16.1, 11.52, 9.588, 30.86, 56.61, 70.96
2007, 7, 20.5, 15.85, 13.76, 21.85, 41.91, 50.42
2007, 8, 21.98, 17.41, 15.35, 10.25, 22.14, 28.86
2007, 9, 15.06, 10.55, 8.497, 36.25, 80.08, 95.84
2007, 10, 7.179, 2.877, 0.9854, 38.65, 84.14, 105.7
2007, 11, 4.459, 0.2334, -1.641, 120.4, 230.5, 266
2007, 12, -2.92, -6.677, -8.486, 55.27, 98.38, 109.8
2008, 1, -4.789, -8.416, -10.13, 51.76, 98.98, 108.7
2008, 2, -0.6033, -4.725, -6.692, 103.4, 186.2, 212.6
2008, 3, 5.312, 0.8818, -1.149, 46.85, 107.6, 130
2008, 4, 9.499, 4.911, 2.854, 19.14, 39.12, 48.5
2008, 5, 12.24, 7.878, 5.933, 43.16, 77.73, 96.6
2008, 6, 14.94, 10.15, 8.139, 114.2, 178.1, 215.3
2008, 7, 19.65, 15.02, 12.97, 24.01, 43.86, 55.32
2008, 8, 20.47, 15.77, 13.72, 4.778, 5.893, 7.22
2008, 9, 15.58, 11.06, 9.028, 14.44, 33.86, 42.73
2008, 10, 6.618, 2.159, 0.192, 93.42, 170.4, 203.7
2008, 11, 1.17, -2.846, -4.714, 50.32, 102.9, 125.4
2008, 12, -3.74, -7.461, -9.241, 139.2, 248.7, 284.5
2009, 1, -5.15, -8.711, -10.39, 183.7, 352.3, 402.8
2009, 2, -0.7976, -4.71, -6.565, 148.8, 292.9, 353.8
2009, 3, 6.018, 1.412, -0.6333, 181.8, 372.2, 457.9
2009, 4, 8.576, 3.893, 1.875, 32.89, 65.49, 81.32
2009, 5, 15.06, 10.46, 8.376, 4.283, 10.17, 12.49
2009, 6, 17.32, 12.68, 10.65, 36.04, 45.8, 53.4
2009, 7, 21.63, 16.77, 14.63, 5.957, 11.5, 14.95
2009, 8, 19.88, 15.05, 12.9, 23.6, 40.62, 47.76
2009, 9, 15.95, 11.24, 9.192, 21.08, 46.26, 58.21
2009, 10, 9.232, 4.816, 2.916, 60.01, 105, 124
2009, 11, -2.976, -7.035, -8.93, 88.23, 148.5, 167.7
