# Created by WEAP: 6/23/2021 6:23:15 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\Users\David\Documents\Hyperfacet\monthly_bcc-csm1-1_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_CEN_N Frk San Joaquin (99,478 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (3,715 ha),  1000 - 2000 m (17,340 ha),  2000 - 3000 m (65,316 ha),  3000 - 4000 m (13,107 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

2006, 1, 6.156, 2.713, -0.9941, -4.518, 1.023, 1.547, 2.332, 3.862
2006, 2, 9.668, 5.442, 0.808, -2.752, 71.59, 85.03, 89.15, 87.22
2006, 3, 12.47, 7.911, 2.785, -0.6974, 156.3, 192.7, 209.9, 222.8
2006, 4, 11.4, 6.847, 1.661, -1.847, 116.1, 144.1, 142.6, 137.4
2006, 5, 17.35, 12.65, 7.325, 4.027, 23.6, 29.58, 41.61, 74.74
2006, 6, 20.88, 16.4, 11.28, 7.984, 0.7066, 0.4882, 1.7, 8.455
2006, 7, 26.53, 21.95, 16.66, 13.23, 0.02273, 0.3952, 1.216, 2.918
2006, 8, 25.02, 20.26, 14.91, 11.39, 0.4497, 0.8814, 2.579, 6.698
2006, 9, 26.09, 21.59, 16.4, 12.64, 0, 0.004788, 0.03376, 0.09082
2006, 10, 19.21, 14.86, 9.927, 6.201, 2.064, 4.05, 6.477, 7.696
2006, 11, 8.727, 4.777, 0.4098, -3.144, 184.3, 224.1, 228.1, 216.7
2006, 12, 7.068, 3.32, -0.8523, -4.614, 28.22, 34.62, 39.46, 44.96
2007, 1, 6.033, 2.249, -1.809, -5.434, 47.38, 56.9, 62.95, 66.74
2007, 2, 8.558, 4.24, -0.7169, -4.567, 385.5, 481.6, 555.8, 660.3
2007, 3, 14.96, 10.59, 5.668, 2.217, 65.75, 79.7, 80.35, 72.23
2007, 4, 9.903, 5.317, 0.2155, -3.102, 171.9, 207.5, 215.8, 239
2007, 5, 15.57, 10.87, 5.532, 2.158, 75.92, 94.96, 101.1, 105
2007, 6, 19.85, 15.21, 10.08, 6.831, 5.545, 8.759, 14.76, 23.2
2007, 7, 26.79, 22.24, 17.1, 13.78, 0.02258, 0.06452, 0.4036, 1.055
2007, 8, 26.06, 21.36, 15.99, 12.35, 0.2575, 0.4711, 1.203, 2.91
2007, 9, 23.53, 18.8, 13.39, 9.722, 25.44, 37.9, 43.21, 52.31
2007, 10, 14.68, 10.23, 5.207, 1.678, 6.38, 10.79, 13.76, 14.47
2007, 11, 10.87, 6.778, 2.175, -1.484, 76.92, 111.6, 132.1, 136.6
2007, 12, 6.304, 2.574, -1.6, -5.196, 103.2, 129.6, 153.3, 187.1
2008, 1, 5.609, 1.841, -2.31, -5.941, 90.25, 114.8, 142.2, 187.1
2008, 2, 8.174, 3.946, -0.6398, -4.098, 64.91, 74.04, 72.09, 70.92
2008, 3, 11.62, 7.293, 2.419, -1.029, 40.8, 47.83, 46.01, 40.08
