# Created by WEAP: 6/23/2021 6:23:33 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\Users\David\Documents\Hyperfacet\monthly_bcc-csm1-1_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CAN_BC_Colubmia Headwaters (3,644,093 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (567,225 ha),  1000 - 2000 m (1,983,013 ha),  2000 - 3000 m (1,088,616 ha),  3000 - 4000 m (5,239 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

2006, 1, -6.675, -10.81, -13.73, -16.28, 106.8, 117.2, 125.9, 141.3
2006, 2, -3.123, -7.023, -9.781, -12.36, 80.17, 85.82, 91.21, 104.7
2006, 3, 0.1284, -3.857, -6.662, -9.066, 107.8, 118, 126.1, 139.8
2006, 4, 8.262, 4.349, 1.566, -0.872, 28.26, 30.87, 33.35, 38.18
2006, 5, 10.6, 6.701, 3.909, 1.31, 115.6, 110.2, 102.2, 105.9
2006, 6, 14.68, 10.72, 7.899, 5.375, 99.36, 108.1, 119.3, 145.5
2006, 7, 17.7, 13.67, 10.84, 8.442, 46.34, 48.98, 50.57, 51.82
2006, 8, 17.46, 13.52, 10.71, 8.112, 21.65, 22.47, 23.33, 28.52
2006, 9, 13.08, 9.245, 6.539, 4.106, 5.02, 5.41, 6.013, 8.318
2006, 10, 7.148, 3.478, 0.9529, -1.315, 22.88, 25.2, 26.69, 27.77
2006, 11, 0.302, -3.674, -6.474, -8.865, 79.26, 84.58, 88.65, 92.59
2006, 12, -2.496, -6.517, -9.371, -11.8, 109.1, 115.1, 117.3, 120.3
