# Created by WEAP: 4/20/2021 7:22:32 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_inmcm4_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2007 - December 2099 (1,116 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_CEN_Bear River (10,662 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (3,617 ha),  2000 - 3000 m (7,045 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2007, 1, -0.2263, -2.647, 248.5, 296.8
2007, 2, 1.413, -0.9358, 239.6, 264.8
2007, 3, 5.09, 2.579, 373.5, 408.3
2007, 4, 5.756, 3.538, 149.9, 183.8
2007, 5, 10.19, 7.787, 49.53, 56.99
2007, 6, 13.42, 11.1, 28.95, 33.38
2007, 7, 19.8, 17.51, 5.715, 9.555
2007, 8, 22.55, 20.1, 0, 0.1017
2007, 9, 16.45, 13.91, 9.549, 12.37
2007, 10, 13.26, 10.5, 35.87, 42.88
2007, 11, 3.63, 1.336, 30.82, 36.02
2007, 12, 0.6641, -1.342, 305.6, 361.5
2008, 1, 0.5705, -1.756, 237.8, 264.3
2008, 2, 2.105, -0.329, 121.7, 135.2
2008, 3, 2.094, -0.4224, 163.9, 180
2008, 4, 5.731, 3.246, 184.4, 191.3
2008, 5, 9.933, 7.472, 16.8, 16.28
2008, 6, 14.19, 11.93, 23.9, 35.86
2008, 7, 19.66, 17.42, 0.5879, 1.432
2008, 8, 18.73, 16.36, 0.679, 0.6931
2008, 9, 18.09, 15.57, 19.93, 30.47
2008, 10, 15.06, 12.48, 8.518, 9.141
2008, 11, 8.231, 5.831, 302, 343
2008, 12, -1.171, -3.843, 98.35, 104.8
2009, 1, 1.049, -1.357, 493.7, 550.8
2009, 2, 1.277, -1.114, 292.9, 310.6
2009, 3, 3.325, 0.9159, 223.5, 235.4
2009, 4, 7.482, 4.888, 80.24, 90.49
2009, 5, 13.7, 11.1, 173.9, 194.8
2009, 6, 14.77, 12.43, 29.25, 32.58
2009, 7, 18.72, 16.69, 6.928, 9.764
2009, 8, 20.33, 17.99, 0.1889, 0.2593
2009, 9, 19, 16.7, 11.75, 19.44
2009, 10, 15.96, 13.4, 13.43, 14.84
2009, 11, 0.8356, -1.716, 149.5, 159.8
2009, 12, 1.56, -0.7115, 581.8, 677.2
2010, 1, -0.2627, -2.569, 341.6, 409.5
2010, 2, 1.035, -1.138, 429.2, 488
2010, 3, 3.178, 0.579, 97.9, 105.3
2010, 4, 7.658, 5.261, 48.86, 54.05
2010, 5, 9.021, 6.783, 21.79, 27.92
2010, 6, 14, 11.65, 2.195, 3.877
2010, 7, 18.45, 16.17, 3.62, 9.201
2010, 8, 19.53, 17.33, 1.688, 3.605
2010, 9, 17.17, 14.7, 4.383, 7.583
2010, 10, 13.94, 11.3, 21.18, 35.89
2010, 11, 7.816, 5.557, 90.41, 106.8
2010, 12, 4.591, 2.562, 339.7, 399.5
2011, 1, 1.788, -0.5533, 13.64, 15.11
2011, 2, 1.155, -1.742, 216.2, 226.7
2011, 3, 4.228, 1.731, 234.7, 249.3
2011, 4, 7.875, 5.36, 153.8, 159.7
2011, 5, 11.7, 9.117, 55.54, 59.76
2011, 6, 15.62, 13.13, 7.799, 9.024
2011, 7, 20.46, 18.05, 64.46, 102.1
2011, 8, 20.54, 18.19, 47.17, 52.94
2011, 9, 18.6, 16.15, 4.236, 4.847
2011, 10, 12.1, 9.595, 54.71, 72.04
2011, 11, 6.291, 4.038, 190.9, 213.2
2011, 12, 0.8449, -1.43, 241.2, 269.2
2012, 1, 5.445, 2.972, 22.75, 24.14
2012, 2, 1.304, -1.2, 307.7, 340.4
2012, 3, 5.909, 3.315, 15.93, 17.93
2012, 4, 6.758, 4.463, 138.4, 143.7
2012, 5, 9.773, 7.344, 14.91, 15.47
2012, 6, 15.38, 13.06, 62.84, 74.51
2012, 7, 19.81, 17.38, 4.124, 6.942
2012, 8, 18.52, 16.19, 3.669, 6.428
2012, 9, 18.08, 15.58, 40.26, 48.93
2012, 10, 11.21, 8.92, 9.94, 16.65
2012, 11, 5.456, 3.382, 293.3, 319.9
2012, 12, 3.135, 0.8435, 61.49, 76.35
2013, 1, 5.771, 3.684, 390.7, 445.8
2013, 2, 4.768, 2.2, 169.3, 188.6
2013, 3, 6, 3.403, 30.16, 31.49
2013, 4, 6.962, 4.469, 25, 31.97
2013, 5, 10.25, 7.628, 47.29, 56.81
2013, 6, 16.2, 13.79, 1.798, 2.313
2013, 7, 22, 19.67, 19.29, 23.2
2013, 8, 19.82, 17.44, 15.82, 23.06
2013, 9, 15.49, 13.22, 32.97, 41.61
2013, 10, 11.41, 8.739, 11.41, 18.2
2013, 11, 4.277, 2.128, 392.1, 425.2
2013, 12, 2.928, 0.8459, 303.1, 350.2
2014, 1, -0.5046, -2.833, 51.85, 51.43
2014, 2, 2.424, -0.2919, 254.2, 277.1
2014, 3, 7.717, 5.055, 262, 281
2014, 4, 11.37, 8.695, 63.42, 61.41
2014, 5, 10.18, 7.699, 63.01, 67.55
2014, 6, 18.85, 16.5, 21.27, 27.19
2014, 7, 16.95, 14.99, 6.595, 7.696
2014, 8, 19.01, 16.64, 0, 0.01091
2014, 9, 16.97, 14.6, 9.48, 14.89
2014, 10, 13.45, 10.91, 74.23, 78.78
2014, 11, 3.512, 1.398, 261.9, 307.2
2014, 12, 1.368, -0.6178, 25.46, 36.65
2015, 1, 4.495, 1.866, 382.4, 406.2
2015, 2, 4.378, 1.875, 349.5, 388.9
2015, 3, 3.644, 1.221, 55.7, 55.88
2015, 4, 9.947, 7.471, 76.78, 86.19
2015, 5, 11.74, 9.276, 73.53, 71.26
2015, 6, 14.77, 12.42, 5.168, 5.159
2015, 7, 21, 18.75, 4.721, 7.615
2015, 8, 19.88, 17.67, 16.65, 23.4
2015, 9, 16.8, 14.39, 5.499, 8.932
2015, 10, 11.22, 8.829, 16.58, 18.83
2015, 11, 2.255, -0.06144, 139.8, 151.6
2015, 12, 2.271, 0.183, 34.72, 47.38
2016, 1, 1.296, -0.8319, 731.2, 832.5
2016, 2, 2.18, -0.3061, 283.2, 298.3
2016, 3, 5.176, 2.515, 142.1, 161
2016, 4, 7.137, 4.794, 57.28, 66.19
2016, 5, 10.47, 7.848, 72.75, 84.43
2016, 6, 20.12, 17.64, 42.92, 59.84
2016, 7, 20.85, 18.42, 2.723, 3.922
2016, 8, 18.95, 16.71, 1.207, 1.187
2016, 9, 17.36, 14.91, 3.362, 9.659
2016, 10, 10.47, 8.158, 88.98, 100.7
2016, 11, 3.647, 1.228, 375.5, 410.2
2016, 12, 3.129, 1.098, 474.3, 560.4
2017, 1, -1.109, -3.407, 456.1, 503.6
2017, 2, 3.758, 1.203, 255.8, 289.4
2017, 3, 2.766, 0.1512, 174.4, 199.4
2017, 4, 10.45, 7.835, 136.2, 154.5
2017, 5, 13.23, 10.66, 33.77, 37.36
2017, 6, 15.2, 12.57, 3.196, 3.643
2017, 7, 21.55, 19.19, 3.45, 6.495
2017, 8, 20.94, 18.67, 2.347, 5.235
2017, 9, 18.18, 15.81, 47.19, 49.21
2017, 10, 13.24, 10.82, 11.66, 12.2
2017, 11, 0.6847, -1.591, 261.2, 294
2017, 12, 4.352, 2.339, 251.2, 300.2
2018, 1, 1.82, -0.3649, 79.75, 89.03
2018, 2, 4.712, 2.268, 392.7, 408.8
2018, 3, 4.635, 2.2, 137.2, 153.5
2018, 4, 5.479, 3.387, 80.77, 86.65
2018, 5, 9.209, 7.005, 23.49, 21.82
2018, 6, 18.73, 16.48, 7.508, 11.62
2018, 7, 19.17, 16.8, 0.0252, 0.0434
2018, 8, 20.92, 18.53, 0.3199, 1.008
2018, 9, 17.77, 15.4, 3.931, 11.51
2018, 10, 14.24, 11.78, 0.208, 0.683
2018, 11, 7.046, 4.966, 195.6, 226.2
2018, 12, -1.099, -3.122, 61.76, 75.2
2019, 1, 0.9131, -1.549, 117.1, 134.6
2019, 2, 3.139, 0.5923, 165.8, 181
2019, 3, 6.364, 3.71, 30.64, 32.57
2019, 4, 4.163, 2.062, 184.4, 200
2019, 5, 12.6, 9.955, 41.51, 43.82
2019, 6, 17.05, 14.62, 3.661, 4.105
2019, 7, 22.9, 20.44, 59.81, 88.73
2019, 8, 19.72, 17.58, 0.6074, 0.6398
2019, 9, 17.56, 15.29, 30.5, 41.19
2019, 10, 14.97, 12.47, 183.6, 209.2
2019, 11, 9.309, 6.991, 298, 337.2
2019, 12, 0.5193, -1.827, 230, 281.2
2020, 1, 2.441, 0.1694, 224.2, 262.3
2020, 2, 3.753, 1.115, 72.27, 82.38
2020, 3, 7.356, 4.738, 86.19, 92.01
2020, 4, 5.376, 2.96, 196.5, 197.7
2020, 5, 12.04, 9.608, 58.67, 61.6
2020, 6, 15.08, 12.71, 2.456, 6.565
2020, 7, 21.98, 19.53, 20.37, 28.09
2020, 8, 18.01, 15.89, 2.697, 2.739
2020, 9, 17.61, 15.17, 0, 0
