# Created by WEAP: 4/20/2021 7:23:11 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_inmcm4_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2007 - December 2099 (1,116 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_E_Arkansas (5,256,214 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (4,487,915 ha),  2000 - 3000 m (690,944 ha),  3000 - 4000 m (76,675 ha),  4000 - 5000 m (680 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

2007, 1, 1.53, -0.7801, -6.82, -9.67, 1.533, 8.21, 19.06, 17.5
2007, 2, 4.096, 0.852, -4.787, -7.444, 16.67, 27.32, 62.95, 66.41
2007, 3, 7.299, 3.219, -1.965, -4.448, 11.67, 31.68, 94.97, 100.4
2007, 4, 7.846, 4.163, -0.7758, -3.232, 38.4, 67.99, 128.2, 128
2007, 5, 17.86, 12.96, 7.676, 5.089, 70.75, 27.1, 27.51, 24.04
2007, 6, 23.89, 19.17, 13.86, 11.18, 12.9, 26.89, 36.56, 37.93
2007, 7, 26.67, 21.16, 15.56, 12.82, 37.82, 64.02, 103.8, 91.25
2007, 8, 25.95, 20.51, 15.03, 12.43, 28.37, 52.88, 73.87, 74.03
2007, 9, 19.21, 14.49, 8.825, 6.075, 2.864, 6.472, 11.2, 10.23
2007, 10, 14.1, 9.541, 3.785, 1.137, 17.79, 26.71, 38.8, 44.89
2007, 11, 6.499, 3.459, -2.368, -4.945, 53.45, 89.32, 161.9, 171.6
2007, 12, 1.269, -1.597, -7.421, -9.908, 11.72, 24.17, 43.55, 45.26
2008, 1, 0.8695, -0.8721, -6.695, -9.853, 1.143, 6.125, 14.23, 18.45
2008, 2, 0.2264, -2.437, -7.85, -10.27, 14.79, 17.96, 38.08, 43.45
2008, 3, 6.541, 2.809, -2.468, -4.949, 26.43, 29.19, 70.21, 62.61
2008, 4, 12.09, 7.682, 2.201, -0.4644, 13.56, 20.68, 32.57, 34.38
2008, 5, 18.82, 14.81, 9.33, 6.591, 51.69, 54.59, 63.77, 68.64
2008, 6, 25.02, 19.84, 14.31, 11.44, 35.38, 41.85, 46.64, 59.83
2008, 7, 27.8, 21.79, 16.09, 13.31, 40.32, 48.16, 56.87, 61.88
2008, 8, 25.99, 20.22, 14.7, 12.16, 54.54, 76.7, 102.3, 103
2008, 9, 22.45, 17.4, 11.82, 9.124, 3.297, 7.661, 13.73, 14.11
2008, 10, 13.09, 9.798, 4.639, 2.098, 2.355, 5.444, 11.18, 18.73
2008, 11, 4.024, 0.7493, -4.479, -6.779, 9.8, 23.45, 52.78, 59.23
2008, 12, -2.723, -5.294, -10.89, -13.57, 5.965, 10.36, 31.42, 42.41
2009, 1, 1.643, -1.106, -7.01, -10.07, 13.34, 36.86, 97.9, 111.6
