# Created by WEAP: 4/20/2021 7:23:22 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_inmcm4_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2007 - December 2099 (1,116 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: OR_WA_BPA_Lwr Columbia (1,123,552 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (789,036 ha),  1000 - 2000 m (311,983 ha),  2000 - 3000 m (22,533 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2007, 1, -1.357, -5.909, -8.562, 87.27, 361.3, 432.1
2007, 2, -3.677, -8.418, -11.22, 55.25, 207.6, 256.1
2007, 3, 5.623, -0.5148, -3.543, 34.74, 125.1, 150.5
2007, 4, 11.01, 4.941, 1.893, 55.63, 176.3, 254.4
2007, 5, 13.81, 7.065, 4.082, 29.2, 69.64, 90
2007, 6, 18.63, 12.23, 9.402, 26.08, 64.65, 79.32
2007, 7, 21.44, 14.8, 11.67, 32.54, 60.95, 82.01
2007, 8, 23.41, 16.78, 13.64, 5.039, 17.77, 23.82
2007, 9, 16.94, 10.86, 7.865, 43.29, 138.5, 161.6
2007, 10, 10.52, 4.763, 1.896, 23.61, 119.9, 164.7
2007, 11, 4.286, -1.009, -3.849, 48.39, 184, 216.7
2007, 12, -1.301, -5.666, -8.334, 62.84, 229.9, 300.2
2008, 1, -4.041, -8.425, -11.19, 94.07, 398.6, 498.3
2008, 2, 1.404, -3.648, -6.572, 94.6, 363.9, 457
2008, 3, 3.988, -2.183, -5.307, 67.68, 318.7, 446
2008, 4, 8.002, 1.469, -1.574, 12.12, 51.18, 72.37
2008, 5, 15.92, 9.613, 6.721, 28.52, 61.69, 90.59
2008, 6, 15.71, 9.06, 6.243, 8.918, 23.23, 30.18
2008, 7, 19.97, 13.16, 9.994, 16.83, 48.14, 76.4
2008, 8, 21.99, 15.49, 12.55, 9.798, 35.8, 53.13
2008, 9, 15.86, 9.753, 6.687, 14.75, 31.41, 45.3
2008, 10, 10.93, 5.61, 2.835, 25.37, 145.1, 196.8
2008, 11, 4.498, -0.8536, -3.774, 79.66, 286.4, 366.9
2008, 12, -4.551, -8.759, -11.44, 29.84, 127.4, 168.7
2009, 1, -3.796, -8.268, -10.95, 46.58, 172.2, 209.8
2009, 2, -0.809, -5.383, -8.138, 90.34, 290.7, 350
2009, 3, 5.209, -1.281, -4.446, 4.157, 20.43, 26.68
2009, 4, 9.861, 3.519, 0.2529, 20.65, 52.82, 62.82
2009, 5, 11.91, 6.015, 3.244, 14.78, 43.39, 50.18
2009, 6, 17.95, 11.56, 8.773, 21.72, 48.89, 62.72
2009, 7, 22.31, 15.63, 12.53, 3.007, 17.3, 27.66
2009, 8, 22.2, 15.77, 12.78, 19.21, 35.41, 45.61
2009, 9, 19.4, 13.17, 10.02, 5.699, 26.58, 31.23
2009, 10, 10.28, 4.89, 1.969, 22.31, 88.99, 112.1
2009, 11, -4.283, -8.381, -11.1, 39.12, 158.1, 197.2
2009, 12, -3.053, -7.462, -10.22, 72.31, 245.9, 297.4
2010, 1, -4.555, -8.242, -10.72, 75.94, 281.5, 332.3
2010, 2, 1.525, -3.254, -5.936, 76.49, 241.5, 301.7
2010, 3, 5.65, 0.01279, -2.964, 19.67, 78.24, 105.3
2010, 4, 10.89, 4.679, 1.591, 25.91, 159.8, 234.2
2010, 5, 15.11, 8.852, 6.015, 30.63, 83.44, 112.9
2010, 6, 17.87, 11.54, 8.539, 33.28, 44.51, 62.68
2010, 7, 22.98, 15.98, 12.78, 8.082, 27.97, 38.86
2010, 8, 22.78, 16.22, 13.19, 0.4442, 1.635, 1.952
2010, 9, 20.1, 14.45, 11.76, 5.076, 36.16, 44.36
2010, 10, 10.85, 5.216, 2.271, 3.759, 25.2, 35.4
2010, 11, 5.453, 0.2348, -2.644, 58.73, 232.8, 296.6
2010, 12, 3.245, -2.325, -5.3, 41.08, 159.8, 195.7
2011, 1, -0.6507, -5.62, -8.426, 32.96, 131.5, 158.9
2011, 2, -3.825, -8.069, -10.85, 52.29, 205.7, 262.1
2011, 3, 5.367, -0.5469, -3.69, 53.48, 196.6, 276.9
2011, 4, 9.882, 3.437, 0.5365, 15.79, 71.83, 93.22
2011, 5, 15.59, 8.947, 6.066, 14.24, 41.98, 58.28
2011, 6, 18.32, 11.99, 9.139, 41.61, 65.84, 82.71
2011, 7, 22.65, 16.06, 13.14, 21.55, 53.95, 77.21
2011, 8, 23.57, 16.94, 13.76, 6.53, 12, 15.04
2011, 9, 16.86, 10.53, 7.444, 11.33, 46.41, 52.25
2011, 10, 12.77, 7.098, 4.151, 43.43, 152.4, 212.3
2011, 11, 1.494, -3.353, -6.304, 50.39, 162.1, 187
2011, 12, -6.799, -10.81, -13.32, 67.69, 291, 384
2012, 1, 1.336, -3.628, -6.479, 13.34, 57.05, 61.22
2012, 2, -1.333, -5.831, -8.505, 19.19, 88.38, 122.8
2012, 3, 6.025, -0.2024, -3.312, 23.76, 120.1, 152.2
2012, 4, 11.39, 5.093, 2.027, 15.36, 53.08, 67.89
2012, 5, 15.44, 8.715, 5.622, 12.51, 48.74, 61.92
2012, 6, 19.15, 12.7, 9.736, 19.24, 38.3, 51.13
2012, 7, 22.04, 15.27, 12.27, 0.4639, 3.064, 4.554
2012, 8, 20.4, 13.97, 11.28, 1.028, 3.253, 5.515
2012, 9, 15.78, 9.45, 6.321, 4.829, 17.72, 21.5
2012, 10, 10.15, 4.329, 1.383, 10.93, 64.58, 83.03
2012, 11, 3.587, -1.799, -4.711, 40.33, 146.8, 179.7
2012, 12, -1.472, -6.054, -8.8, 93.87, 309.3, 388.1
2013, 1, -0.4269, -5.061, -7.733, 105.1, 380, 455.4
2013, 2, 1.608, -3.573, -6.49, 8.198, 41.09, 58
2013, 3, 4.839, -1.203, -4.319, 1.741, 13.38, 16.99
2013, 4, 10.16, 3.534, 0.4481, 13.86, 35.02, 39.91
2013, 5, 10.82, 4.399, 1.537, 32.57, 57.1, 60.91
2013, 6, 18.16, 11.64, 8.819, 13.13, 41.92, 54.15
2013, 7, 24.89, 17.77, 14.57, 15.15, 49.58, 74.36
2013, 8, 23.86, 17.49, 14.41, 4.026, 8.776, 12.68
2013, 9, 17.78, 11.85, 8.798, 2.637, 14.69, 23.98
2013, 10, 8.742, 3.375, 0.5334, 1.736, 12.48, 16.72
2013, 11, 4.511, -0.6616, -3.598, 39.1, 196.3, 243.5
2013, 12, 0.7414, -4.311, -7.235, 80.4, 263.8, 304.7
2014, 1, -3.546, -7.781, -10.48, 7.915, 42.49, 55.67
2014, 2, -1.243, -6.077, -8.913, 44.22, 157.3, 207.8
2014, 3, 4.254, -0.9758, -3.964, 49.7, 172.7, 228.5
2014, 4, 11.75, 5.55, 2.401, 17.8, 97.03, 134.7
2014, 5, 12.49, 5.934, 2.973, 27.08, 98.05, 127.6
2014, 6, 17.95, 11.16, 8.23, 28.62, 51.88, 66.66
2014, 7, 18.66, 11.98, 8.975, 1.624, 5.456, 6.625
2014, 8, 21.88, 15.07, 11.98, 0.01283, 0.05934, 0.06571
2014, 9, 18.15, 12, 8.855, 15.51, 72.2, 85.22
2014, 10, 10.79, 4.991, 1.934, 40.93, 161.7, 198.9
2014, 11, 2.641, -2.245, -5.132, 62.92, 184.6, 241.3
2014, 12, -0.003556, -5.179, -8.06, 32.4, 152.4, 185.6
2015, 1, -1.184, -5.656, -8.457, 81.43, 309.3, 395
2015, 2, 0.2014, -4.725, -7.716, 46.41, 154.5, 196.8
2015, 3, 6.507, 0.1414, -3.004, 5.624, 15.31, 17.07
2015, 4, 11.07, 4.66, 1.489, 4.182, 11.42, 13.46
2015, 5, 15.1, 8.869, 6.007, 20.69, 67.56, 103.7
2015, 6, 19.59, 13.3, 10.57, 5.323, 18.34, 26.94
2015, 7, 22.8, 15.93, 12.79, 2.112, 8.018, 15.97
2015, 8, 24.63, 18.02, 14.81, 0.7358, 1.21, 1.778
2015, 9, 17.67, 11.47, 8.347, 26.26, 123.2, 181
2015, 10, 9.373, 3.495, 0.6407, 35.57, 191.2, 245.3
2015, 11, 2.671, -2.393, -5.217, 86.37, 300, 381.9
2015, 12, -1.575, -5.914, -8.569, 50.38, 164.5, 195.4
2016, 1, -3.344, -8.187, -11, 69.27, 262.9, 330.1
2016, 2, 0.6881, -4.237, -7.25, 37.99, 145.8, 176.7
2016, 3, 4.972, 0.01368, -2.881, 22.5, 87.48, 113.2
2016, 4, 10.91, 5.378, 2.415, 5.218, 27.02, 36.81
2016, 5, 14.02, 7.519, 4.669, 4.346, 11.57, 14.15
2016, 6, 17.86, 11.49, 8.554, 5.48, 16.44, 19.48
2016, 7, 24.44, 17.29, 14.04, 0.822, 1.588, 1.873
2016, 8, 22.85, 16.28, 13.25, 2.658, 8.797, 11.85
2016, 9, 17.93, 11.69, 8.528, 8.508, 41.41, 53.73
2016, 10, 9.763, 3.914, 1.004, 56.74, 243.2, 307.5
2016, 11, 0.9176, -3.869, -6.64, 95.63, 268, 341.7
2016, 12, -0.04596, -4.962, -7.821, 86.32, 280.8, 361.2
2017, 1, -7.004, -11.3, -13.98, 39.97, 166.3, 210.1
2017, 2, 1.282, -3.592, -6.444, 98.34, 391.8, 512.5
2017, 3, 5.548, -0.1134, -3.157, 40.91, 173.7, 219.3
2017, 4, 10.36, 4.566, 1.497, 24.23, 102, 133.9
2017, 5, 18.94, 12.39, 9.343, 14.85, 48.27, 68.39
2017, 6, 23.74, 16.92, 13.89, 7.769, 24.06, 35.34
2017, 7, 26.26, 19.89, 16.7, 7.625, 25.98, 34.73
2017, 8, 23.33, 16.97, 13.82, 30.88, 66.55, 78.12
2017, 9, 17.37, 11.18, 7.944, 26.28, 100.7, 129.3
2017, 10, 11.81, 6.066, 3.184, 19.07, 100.9, 147
2017, 11, -1.27, -5.858, -8.493, 119.8, 513.8, 667.2
2017, 12, 0.8949, -3.936, -6.83, 108.9, 306.1, 363.3
2018, 1, 1.905, -3.144, -5.941, 73.94, 264.9, 295
2018, 2, 4.498, -1.236, -4.334, 92.71, 298.3, 387.3
2018, 3, 5.753, -0.394, -3.476, 46.83, 133.4, 182.1
2018, 4, 10.42, 4.409, 1.37, 3.542, 13.3, 14.48
2018, 5, 13.72, 7.29, 4.36, 18.4, 49.16, 64.46
2018, 6, 17.39, 10.56, 7.484, 13.51, 32.58, 42.3
2018, 7, 22.11, 15.07, 11.98, 0.602, 1.746, 2.507
2018, 8, 22.08, 15.37, 12.26, 5.532, 17.79, 30.1
2018, 9, 17.49, 11.32, 8.203, 1.87, 11.69, 13.99
2018, 10, 10.68, 5.354, 2.601, 17.68, 79.5, 100.9
2018, 11, 5.607, 0.08086, -2.851, 48.28, 216, 307.9
2018, 12, -5.223, -9.345, -12.09, 68.9, 251.2, 299.8
2019, 1, -1.149, -5.157, -7.725, 102.1, 458.7, 584.8
2019, 2, 2.052, -2.902, -5.729, 11.9, 66.97, 86.99
2019, 3, 5.664, -0.3685, -3.445, 25.04, 158.9, 226.1
2019, 4, 9.765, 3.904, 0.8085, 16.48, 72.04, 104
2019, 5, 14, 7.442, 4.493, 27.92, 56.57, 72.31
2019, 6, 19.95, 13.15, 10.17, 44.37, 85.48, 100.8
2019, 7, 26.94, 20.18, 16.96, 0.4307, 6.349, 7.567
2019, 8, 22.03, 15.75, 12.77, 6.044, 19.18, 25.56
2019, 9, 18.33, 11.95, 8.802, 9.611, 54.04, 69.97
2019, 10, 11.85, 6.327, 3.495, 30.99, 107.7, 139
2019, 11, 5.625, 0.2258, -2.71, 81.34, 271.1, 318.7
2019, 12, -2.996, -7.324, -10.19, 86.51, 255.3, 316.8
2020, 1, -0.8018, -5.092, -7.693, 67.48, 287.6, 347.8
2020, 2, 2.225, -3.015, -5.97, 6.932, 44.46, 57.53
2020, 3, 5.144, -1.399, -4.6, 35.26, 137.7, 179.2
2020, 4, 10.08, 4.066, 1.008, 8.736, 42.8, 55.21
2020, 5, 16.13, 9.523, 6.604, 17.51, 43.93, 52.76
2020, 6, 16.34, 9.756, 6.902, 26.26, 44.48, 56.1
2020, 7, 22.2, 15.29, 12.01, 0.8315, 4.963, 5.593
2020, 8, 21.89, 15.03, 11.77, 3.559, 17.53, 23.41
2020, 9, 20.43, 14.24, 11.13, 5.055, 16, 20.67
2020, 10, 10.64, 4.974, 2.006, 15.68, 91.66, 117.4
2020, 11, 0.8798, -4.249, -7.246, 48.3, 165.7, 206
2020, 12, -0.6728, -5.435, -8.219, 54.57, 218.1, 267.7
2021, 1, -2.19, -6.417, -9.044, 80.38, 317, 389.4
2021, 2, 0.9866, -3.8, -6.724, 35.98, 163.2, 203.7
2021, 3, 5.809, -0.4936, -3.679, 36.26, 167.9, 227.1
2021, 4, 8.125, 2.084, -1.036, 20.56, 98.57, 136.3
2021, 5, 14.97, 8.281, 5.362, 15.13, 43.91, 58.64
2021, 6, 20.45, 13.6, 10.57, 4.869, 15.49, 19.82
2021, 7, 24.87, 17.67, 14.34, 9.891, 13.06, 17.87
2021, 8, 21.39, 15.18, 12.13, 0.9093, 0.6431, 0.5498
2021, 9, 17.65, 11.52, 8.378, 5.811, 20.33, 26.37
2021, 10, 11.38, 5.794, 2.784, 3.917, 29.1, 42.28
2021, 11, 5.426, -0.02468, -3.061, 76.17, 219.9, 277.3
2021, 12, 1.731, -3.612, -6.558, 65.96, 204.7, 265.3
2022, 1, -4.61, -8.422, -11, 58.56, 248.9, 299.1
2022, 2, 4.079, -1.476, -4.677, 66.36, 273.5, 327
2022, 3, 6.604, 0.5101, -2.543, 28.88, 114.6, 152.2
2022, 4, 10.01, 3.873, 0.9497, 50.87, 136.3, 174.2
2022, 5, 13.89, 7.431, 4.422, 11.9, 34.59, 44.45
2022, 6, 19.19, 12.84, 9.811, 29.08, 71.82, 100
2022, 7, 24.01, 17.16, 13.88, 1.303, 7.864, 9.872
2022, 8, 23.1, 16.74, 13.69, 1.612, 3.437, 4.849
2022, 9, 20.16, 14.24, 11.21, 12.3, 22.94, 27.66
2022, 10, 12.72, 7.169, 4.157, 23.94, 78.24, 97.25
2022, 11, 4.524, -0.5843, -3.358, 49.99, 162.3, 200.7
2022, 12, -2.626, -6.91, -9.486, 64.11, 192.8, 215.7
2023, 1, -1.034, -5.513, -8.147, 56.73, 194, 238.2
2023, 2, -2.713, -7.453, -10.28, 25.71, 123.9, 165.5
2023, 3, 7.056, 0.7331, -2.319, 63.46, 219.2, 302.8
2023, 4, 7.696, 1.27, -1.805, 12.69, 76.73, 107.9
2023, 5, 13.71, 7.21, 4.209, 30.27, 96.57, 128.7
2023, 6, 17.31, 10.68, 7.826, 10.35, 20.28, 19.46
2023, 7, 22.38, 15.7, 12.52, 0.5139, 3.111, 4.758
2023, 8, 22.33, 15.79, 12.82, 0.1579, 0.8604, 1.084
2023, 9, 17.86, 11.58, 8.433, 11.95, 56.38, 72.05
2023, 10, 8.701, 2.999, 0.1457, 24.79, 101.5, 128.1
2023, 11, -1.145, -5.677, -8.52, 56.54, 215.1, 265.5
2023, 12, 0.2829, -4.882, -7.813, 75.64, 236.4, 280.3
2024, 1, 0.7268, -4.016, -6.855, 11.76, 69.01, 84.86
2024, 2, 1.975, -2.943, -5.781, 72.05, 238.9, 289.9
2024, 3, 7.537, 1.065, -2.03, 20.05, 86.36, 111.1
2024, 4, 10.96, 4.843, 1.79, 12.65, 63.36, 101.9
2024, 5, 15.9, 9.585, 6.765, 9.175, 31.97, 40.48
2024, 6, 18.49, 11.86, 8.82, 7.893, 17.47, 20.7
2024, 7, 22.57, 15.58, 12.4, 0.05236, 0.4399, 0.4277
2024, 8, 23.36, 16.76, 13.55, 12.26, 42.44, 61.86
2024, 9, 16.36, 10.06, 6.926, 1.551, 12.16, 23.04
