# Created by WEAP: 4/20/2021 7:23:24 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_inmcm4_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2007 - December 2099 (1,116 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: MT_SE_LwrMid Yellowstone (2,178,252 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (1,175,882 ha),  1000 - 2000 m (945,122 ha),  2000 - 3000 m (57,232 ha),  3000 - 4000 m (15 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

2007, 1, -2.928, -2.536, -7.966, -11.3, 10.65, 13.24, 13.39, 17.81
2007, 2, -7.419, -6.144, -9.462, -11.62, 9.517, 16.73, 30.28, 39.26
2007, 3, 5.027, 4.104, -2.917, -5.13, 22.19, 28.9, 35.86, 33.1
2007, 4, 8.19, 7.84, 0.6741, -1.727, 51.99, 98.16, 158.6, 162.3
2007, 5, 14.23, 13.2, 5.967, 3.68, 39.39, 59.62, 118.3, 145.2
2007, 6, 19.87, 18.92, 11.95, 9.902, 39.56, 49.86, 60.3, 56.8
2007, 7, 24.28, 23.69, 16.8, 14.75, 19, 28.7, 43.14, 50.97
2007, 8, 24.03, 22.84, 15.66, 13.33, 9.81, 12.38, 12.06, 16.21
2007, 9, 14.61, 13.58, 6.338, 3.877, 48.53, 49.98, 53.9, 59.41
2007, 10, 10.83, 9.748, 2.394, -0.3403, 16.96, 13.25, 14.22, 16.72
2007, 11, 2.715, 2.186, -3.857, -6.754, 6.47, 13.65, 30.05, 37.8
2007, 12, -2.003, -2.526, -8.632, -11.91, 13.57, 20.39, 48.4, 86.01
2008, 1, -7.201, -6.728, -11.25, -14.41, 21.68, 21.63, 38.18, 52.29
2008, 2, -1.7, -1.421, -6.657, -9.445, 10.5, 18.51, 49.77, 75.64
2008, 3, 0.8305, 1.068, -5.036, -7.24, 11.97, 19.22, 20.21, 18.33
2008, 4, 9.185, 7.407, -0.2786, -2.585, 46.02, 61.04, 91.37, 82.18
2008, 5, 15, 12.89, 5.224, 2.747, 25.2, 35.98, 45.69, 42.24
2008, 6, 20.22, 18.61, 11.11, 8.936, 67.44, 50.62, 34.86, 30.76
2008, 7, 24.9, 23.35, 15.97, 13.79, 31.51, 34.19, 52.34, 58.65
2008, 8, 23.8, 22.59, 15.4, 12.89, 10.59, 12.53, 21.2, 27.07
2008, 9, 16.67, 16.28, 9.695, 7.404, 11.58, 11.11, 8.791, 8.7
2008, 10, 10.64, 9.941, 3.177, 0.7622, 15.97, 23.11, 43.1, 60.8
2008, 11, 4.903, 3.797, -3.325, -6.361, 60.13, 72.94, 95.35, 104.8
2008, 12, -7.921, -8.696, -14.03, -16.98, 2.626, 5.092, 12.43, 22.27
2009, 1, -4.559, -4.504, -10.41, -13.53, 10.64, 16.43, 26.11, 35.31
2009, 2, -3.475, -5.266, -12.94, -15.48, 14.26, 26.76, 55.78, 75.97
2009, 3, 6.115, 4.95, -3.128, -5.612, 7.082, 12.22, 26.17, 27.19
2009, 4, 9.708, 8.862, 1.583, -0.4358, 27.53, 33.74, 84.18, 93.2
2009, 5, 13.66, 12.42, 4.887, 2.609, 66.96, 131.8, 208.4, 219.6
2009, 6, 20.02, 19.11, 12.49, 10.54, 58.74, 106.4, 152.9, 168.7
2009, 7, 25.43, 25.12, 18.66, 16.63, 11.66, 18.55, 33.78, 53.97
2009, 8, 22.74, 21.72, 14.67, 12.17, 25.26, 26.18, 44.67, 65.79
2009, 9, 20.86, 20.62, 13.8, 11.23, 43.41, 35.24, 43, 44.62
2009, 10, 12.18, 11.39, 4.325, 1.655, 10.27, 20.98, 44.93, 51.04
2009, 11, -7.672, -7.093, -11.47, -13.76, 13.61, 15.61, 32.58, 50.94
2009, 12, -2.793, -3.075, -8.469, -11.63, 13.85, 23.82, 42.88, 62.65
2010, 1, -7.832, -7.013, -10.95, -14.09, 18.52, 20.41, 40.56, 61.76
2010, 2, -3.396, -3.521, -8.986, -11.47, 27.03, 28.17, 56.49, 80.35
2010, 3, -6.363, -6.158, -11.38, -13.26, 6.538, 15.77, 48.74, 56.32
2010, 4, 8.442, 7.574, 0.1555, -2.121, 65.64, 64.54, 70.39, 72.93
2010, 5, 12.16, 10.98, 3.385, 1.014, 51.43, 45.24, 61.22, 70.25
2010, 6, 17.34, 15.2, 7.432, 5.39, 68.19, 63.78, 57.48, 48.06
2010, 7, 26.48, 24.68, 17.03, 14.88, 47.53, 58.51, 80.04, 88.14
2010, 8, 23.14, 21.84, 14.34, 11.94, 11.76, 11.52, 16.47, 20.26
