# Created by WEAP: 4/20/2021 7:23:56 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_inmcm4_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2007 - December 2099 (1,116 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: MT_NE_West Mont (1,832,260 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (37,750 ha),  1000 - 2000 m (1,592,157 ha),  2000 - 3000 m (202,354 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2007, 1, -1.925, -2.895, -6.623, 14.12, 29.45, 108.3
2007, 2, -5.294, -5.075, -8.114, 18.4, 23.19, 71.25
2007, 3, 5.66, 3.546, -0.8149, 42, 47.72, 103.1
2007, 4, 8.614, 6.154, 2.157, 32.14, 40.99, 84.45
2007, 5, 12.29, 9.683, 5.605, 42.87, 67.99, 95.26
2007, 6, 18.72, 16.01, 11.85, 69.74, 76.41, 94.34
2007, 7, 22.51, 19.95, 15.63, 20.97, 22.11, 31.85
2007, 8, 23.52, 20.11, 15.78, 32.02, 35.78, 54.81
2007, 9, 13.85, 11.34, 7.313, 71.16, 64.09, 88.3
2007, 10, 10.07, 7.69, 3.688, 28.42, 33.16, 61.18
2007, 11, 4.029, 2.138, -1.814, 3.819, 12.12, 46.66
2007, 12, -1.939, -3.61, -7.431, 14.48, 21.55, 70.34
2008, 1, -6.191, -7.47, -11.1, 32.61, 49.01, 154.6
2008, 2, 0.2339, -0.6687, -4.563, 11.68, 20.96, 81.85
2008, 3, -1.37, -2.834, -6.17, 18.5, 28.22, 65.91
2008, 4, 8.411, 5.523, 1.313, 53.92, 52.27, 98.11
2008, 5, 14.8, 11.37, 6.801, 39.09, 34.6, 46.69
2008, 6, 17.24, 14.06, 9.85, 74.9, 77.9, 98.47
2008, 7, 22.36, 19.17, 14.78, 39.27, 45.93, 63.37
2008, 8, 23.1, 20.15, 15.94, 41.75, 43.97, 50.23
2008, 9, 13.54, 11.99, 8.366, 15.74, 18.64, 31.26
2008, 10, 10.25, 8.175, 4.149, 25.87, 21.09, 37.81
2008, 11, 6.223, 4.02, -0.1545, 20.58, 32.09, 99.62
2008, 12, -5.252, -6.865, -10.67, 9.242, 16.51, 50.42
2009, 1, -4.506, -5.728, -9.119, 8.22, 18.82, 74.42
2009, 2, -2.686, -4.652, -8.638, 20, 32.55, 112.6
2009, 3, 5.828, 2.168, -2.45, 5.486, 8.522, 23.95
2009, 4, 8.566, 6.337, 2.439, 20.27, 33.69, 71.61
2009, 5, 12.46, 9.101, 4.848, 21.94, 24.26, 39.99
2009, 6, 17.44, 15.02, 10.76, 99.43, 119.8, 141.7
