# Created by WEAP: 4/20/2021 7:21:56 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_inmcm4_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2007 - December 2099 (1,116 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_Trinity (185,534 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (44,576 ha),  1000 - 2000 m (119,967 ha),  2000 - 3000 m (20,991 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2007, 1, 2.373, -1.078, -3.455, 244.7, 316, 349.1
2007, 2, 4.157, 0.4998, -1.835, 267.8, 314.3, 310.6
2007, 3, 7.035, 3.418, 1.035, 427.4, 486.7, 509.2
2007, 4, 9.857, 5.991, 3.483, 149.3, 202.5, 208
2007, 5, 12.25, 8.587, 6.218, 57.5, 92.91, 106.9
2007, 6, 17.57, 14, 11.79, 21.69, 29.1, 29.46
2007, 7, 22.36, 18.47, 16.02, 15.39, 13.94, 10.2
2007, 8, 24.85, 20.91, 18.47, 0.3723, 0.5669, 0.5589
2007, 9, 19.38, 15.23, 12.72, 23.96, 35.51, 39.82
2007, 10, 14.41, 10.29, 7.722, 36.37, 52.69, 63.62
2007, 11, 6.891, 3.284, 0.8935, 37.67, 48.41, 50.99
2007, 12, 2.774, -0.5507, -2.923, 341.9, 447.5, 497.9
2008, 1, 2.343, -1.349, -3.792, 308, 370, 385.5
2008, 2, 6.049, 2.32, 0.04078, 181.1, 239.5, 271.6
2008, 3, 5.818, 2.054, -0.2094, 228.1, 287, 306.9
2008, 4, 8.573, 4.918, 2.537, 97.12, 102.1, 112.3
2008, 5, 13.62, 9.914, 7.49, 45.89, 83.16, 99.87
2008, 6, 16.75, 12.81, 10.38, 20.33, 31.73, 36.4
2008, 7, 22.3, 18.53, 16.19, 2.505, 5.932, 5.054
2008, 8, 22.05, 18.38, 15.9, 1.618, 2.307, 3.99
2008, 9, 19.27, 15.17, 12.8, 44.74, 56.97, 64.06
2008, 10, 15.31, 11.35, 8.808, 16.4, 21.43, 26.36
2008, 11, 7.294, 3.218, 0.5687, 233.5, 271.6, 290.7
2008, 12, 1.547, -2.296, -4.696, 86.22, 115.2, 117
2009, 1, 2.608, -0.6457, -3.029, 369.1, 457.1, 477.1
2009, 2, 3.932, 0.01396, -2.248, 447.8, 541.2, 532.4
2009, 3, 5.332, 1.812, -0.5818, 194, 201.1, 206.2
2009, 4, 11.45, 7.714, 5.26, 55.09, 58.76, 55.4
2009, 5, 15.3, 11.18, 8.685, 64.22, 67.58, 62.71
2009, 6, 18.14, 14.22, 11.81, 13.69, 14.99, 14.99
2009, 7, 22.69, 18.98, 16.55, 5.818, 10.15, 10.86
2009, 8, 23.23, 19.14, 16.73, 0.7236, 1.09, 1.633
2009, 9, 21.04, 17.26, 14.77, 27.49, 33.5, 42.61
2009, 10, 14.82, 10.64, 7.999, 13.72, 27.5, 34.78
2009, 11, 1.085, -2.959, -5.497, 156.1, 171.1, 175.6
2009, 12, 2.824, -1.054, -3.653, 469.6, 541, 559.5
2010, 1, 2.937, -0.3875, -2.791, 564.1, 658.7, 670.8
2010, 2, 4.42, 1.083, -1.133, 296.8, 397.1, 431.6
2010, 3, 7.095, 3.443, 1.096, 82.34, 104.2, 111
2010, 4, 12.16, 8.444, 6.081, 37.72, 50.1, 58.38
2010, 5, 15.17, 11.46, 9.092, 44.15, 77.26, 98.47
2010, 6, 19.34, 15.24, 12.78, 24.95, 43.39, 46.93
2010, 7, 22.24, 18.55, 16.06, 2.587, 8.925, 11.13
2010, 8, 22.42, 18.57, 16.23, 5.885, 11.94, 12.37
2010, 9, 19.35, 15.48, 13.01, 0.01362, 0.2909, 0.57
2010, 10, 13.67, 9.661, 7.114, 35.3, 32.89, 36.15
2010, 11, 8.652, 4.688, 2.185, 72.86, 77.65, 75.51
2010, 12, 5.799, 2.581, 0.07803, 301.7, 361.8, 388
2011, 1, 4.798, 1.309, -1.042, 35.85, 50.94, 60.12
2011, 2, 2.304, -1.652, -4.027, 236.6, 299.4, 324.1
2011, 3, 6.377, 2.799, 0.4158, 214.4, 243.5, 250.6
2011, 4, 10.58, 6.917, 4.495, 131.4, 153.4, 166.3
2011, 5, 12.67, 8.945, 6.517, 17.06, 29.93, 37.99
2011, 6, 18.62, 14.78, 12.41, 92.12, 88.51, 75.5
2011, 7, 23.31, 19.46, 17.03, 3.442, 8.748, 7.958
2011, 8, 23.81, 19.87, 17.5, 11.5, 17.93, 20.79
2011, 9, 20.9, 16.7, 14.21, 13.76, 17.31, 18.97
2011, 10, 14.6, 10.76, 8.202, 166.8, 206.1, 240.7
2011, 11, 5.789, 1.738, -0.8408, 105.7, 142.5, 156.8
2011, 12, 2.348, -1.371, -3.776, 245.9, 289.4, 277.4
2012, 1, 5.553, 1.593, -1.05, 23.66, 36.1, 43.84
2012, 2, 3.655, -0.09924, -2.381, 232.1, 244.2, 234.3
2012, 3, 7.675, 4.009, 1.616, 16.5, 24.13, 29.33
2012, 4, 11.05, 7.487, 5.156, 100.3, 120.7, 136.1
2012, 5, 15.32, 11.61, 9.307, 64.02, 95.88, 106.1
2012, 6, 18.32, 14.32, 11.82, 113.8, 104.7, 95.25
2012, 7, 22.61, 18.8, 16.27, 0.2586, 0.3361, 0.4902
2012, 8, 22.08, 18.22, 15.9, 0.1712, 0.217, 0.1211
2012, 9, 20, 15.79, 13.38, 47.81, 56.29, 60.64
2012, 10, 11.83, 8.111, 5.675, 12.62, 24.87, 30.07
2012, 11, 6.014, 1.928, -0.6998, 604.8, 713.5, 741.9
2012, 12, 3.571, -0.3725, -2.89, 61.52, 89.43, 105.2
2013, 1, 4.837, 0.9205, -1.694, 419, 550.8, 598.8
2013, 2, 6.073, 2.258, -0.128, 108.3, 100.3, 91.63
2013, 3, 6.892, 3.032, 0.5659, 112.5, 136.6, 111.8
2013, 4, 9.683, 6.03, 3.687, 102.3, 130.1, 133.9
2013, 5, 11.47, 7.708, 5.353, 151.2, 191.9, 203.9
2013, 6, 19.95, 15.9, 13.48, 6.511, 14.31, 17.59
2013, 7, 24.89, 20.96, 18.4, 0.854, 1.196, 0.7171
2013, 8, 23.86, 19.97, 17.5, 19.2, 21.07, 22.86
2013, 9, 18.39, 14.45, 12.01, 10.59, 10.15, 12.37
2013, 10, 12.35, 8.219, 5.593, 23.26, 26.84, 27.15
2013, 11, 7.391, 4.138, 1.759, 470.1, 617.4, 664.3
2013, 12, 4.072, 0.3716, -2.1, 397.6, 504.6, 538.4
2014, 1, 1.448, -1.971, -4.288, 45.36, 37.46, 33.31
2014, 2, 4.23, 0.2079, -2.262, 374.7, 454.9, 449.4
2014, 3, 10.24, 6.324, 3.847, 291.5, 370.1, 363.8
2014, 4, 13.33, 9.585, 7.111, 80.19, 87.43, 79.83
2014, 5, 12.26, 8.658, 6.224, 63.28, 85.94, 93.38
2014, 6, 20.85, 16.58, 14.05, 87.99, 89.4, 83.15
2014, 7, 21.8, 17.95, 15.48, 1.181, 2.401, 1.661
2014, 8, 22.39, 18.59, 16.18, 0.0498, 0.2761, 0.3835
2014, 9, 19.64, 15.75, 13.31, 6.392, 13.42, 7.392
2014, 10, 15.09, 11.2, 8.671, 86.37, 116.3, 130.1
2014, 11, 6.126, 2.337, -0.1158, 311.8, 368.5, 396.8
2014, 12, 4.271, 1.265, -1.011, 55.22, 63.94, 72.9
2015, 1, 4.326, 0.4895, -2.163, 342.6, 386.4, 384
2015, 2, 5.763, 2.083, -0.2207, 319.2, 381, 396
2015, 3, 6.689, 2.893, 0.553, 16.93, 23.2, 24.76
2015, 4, 12.35, 8.698, 6.128, 45.7, 46.55, 47.23
2015, 5, 15.33, 11.65, 9.252, 62.7, 79.18, 91.26
2015, 6, 18.51, 14.76, 12.38, 0.1677, 0.5385, 0.6556
2015, 7, 23.87, 19.87, 17.43, 0.5296, 2.556, 4.517
2015, 8, 24.06, 20.18, 17.8, 9.889, 14.86, 18.97
2015, 9, 18.69, 14.57, 12.05, 13.08, 22.73, 30.07
2015, 10, 13.1, 9.06, 6.523, 29.92, 54.79, 58
2015, 11, 5.52, 1.756, -0.6145, 209.9, 259.4, 301.8
2015, 12, 3.866, -0.02759, -2.677, 200.5, 256.3, 260.9
2016, 1, 3.319, -0.3627, -2.77, 540.9, 671.5, 694.4
2016, 2, 4.459, 1.033, -1.327, 259.1, 282, 293.2
2016, 3, 7.488, 3.739, 1.307, 237.9, 265.6, 278.3
2016, 4, 11.16, 7.505, 5.125, 7.733, 12.33, 11.87
2016, 5, 13.56, 9.592, 7.235, 8.873, 12.33, 14.61
2016, 6, 23.97, 19.56, 16.99, 32.99, 33.47, 30.48
2016, 7, 25.19, 21.31, 18.91, 0.06187, 0.1376, 0.05751
2016, 8, 22.61, 18.83, 16.4, 0.7253, 1.27, 1.625
2016, 9, 19.45, 15.35, 12.99, 16.29, 16.93, 19.51
2016, 10, 10.83, 6.979, 4.363, 84.29, 125.5, 145.3
2016, 11, 5.639, 1.79, -0.6203, 355.3, 452.4, 487
2016, 12, 3.569, -0.3145, -2.845, 358.6, 411.1, 415.9
2017, 1, 0.4135, -3.124, -5.381, 444, 495.8, 512.3
2017, 2, 5.753, 1.916, -0.4696, 306, 395.2, 428.3
2017, 3, 5.698, 2.151, -0.1922, 222.6, 265.3, 268.2
2017, 4, 13.67, 9.99, 7.634, 149.4, 171.1, 169.6
2017, 5, 18.35, 14.59, 12.15, 59.09, 75.08, 78.87
2017, 6, 21.63, 17.38, 14.8, 0.8801, 2.929, 2.826
2017, 7, 25.38, 21.6, 19.18, 3.48, 8.7, 12.79
2017, 8, 23.1, 19.27, 16.86, 0.003019, 0.01861, 0.04631
2017, 9, 20.72, 16.55, 14.13, 3.105, 4.047, 4.658
2017, 10, 13.13, 9.304, 6.8, 2.742, 3.72, 4.238
2017, 11, 3.488, -0.3005, -2.698, 331.8, 382.8, 409.4
2017, 12, 4.879, 1.031, -1.433, 416.9, 522.2, 558.1
2018, 1, 4.495, 1.136, -1.156, 301.7, 397.3, 402.7
2018, 2, 7.619, 3.982, 1.739, 524.9, 647.4, 678.5
2018, 3, 7.92, 4.125, 1.801, 158.6, 205.6, 232.4
2018, 4, 9.077, 5.446, 3.08, 24.74, 31.48, 25.76
2018, 5, 14.13, 10.41, 8.007, 45.47, 56.81, 65.38
2018, 6, 21.66, 17.4, 14.88, 9.915, 17.06, 19.6
2018, 7, 22.66, 18.99, 16.48, 0.9353, 1.904, 1.779
2018, 8, 23.41, 19.25, 16.86, 0.9881, 1.343, 1.457
