"Year","Month","date","Generation_GWh","EIA_Plant_ID","latlon"
2003,1,2003-01-01,1.452,217,"36.909137,-119.087712"
2003,2,2003-02-01,13.281,217,"36.909137,-119.087712"
2003,3,2003-03-01,5.359,217,"36.909137,-119.087712"
2003,4,2003-04-01,3.043,217,"36.909137,-119.087712"
2003,5,2003-05-01,8.76,217,"36.909137,-119.087712"
2003,6,2003-06-01,9.041,217,"36.909137,-119.087712"
2003,7,2003-07-01,11.405,217,"36.909137,-119.087712"
2003,8,2003-08-01,10.272,217,"36.909137,-119.087712"
2003,9,2003-09-01,10.573,217,"36.909137,-119.087712"
2003,10,2003-10-01,5.551,217,"36.909137,-119.087712"
2003,11,2003-11-01,5.556,217,"36.909137,-119.087712"
2003,12,2003-12-01,12.044,217,"36.909137,-119.087712"
2004,1,2004-01-01,10.783,217,"36.909137,-119.087712"
2004,2,2004-02-01,0.914,217,"36.909137,-119.087712"
2004,3,2004-03-01,12.39,217,"36.909137,-119.087712"
2004,4,2004-04-01,13.797,217,"36.909137,-119.087712"
2004,5,2004-05-01,9.505,217,"36.909137,-119.087712"
2004,6,2004-06-01,8.581,217,"36.909137,-119.087712"
2004,7,2004-07-01,10.549,217,"36.909137,-119.087712"
2004,8,2004-08-01,10.236,217,"36.909137,-119.087712"
2004,9,2004-09-01,3.679,217,"36.909137,-119.087712"
2004,10,2004-10-01,0.858,217,"36.909137,-119.087712"
2004,11,2004-11-01,3.575,217,"36.909137,-119.087712"
2004,12,2004-12-01,5.405,217,"36.909137,-119.087712"
2005,1,2005-01-01,10.383,217,"36.909137,-119.087712"
2005,2,2005-02-01,14.937,217,"36.909137,-119.087712"
2005,3,2005-03-01,15.384,217,"36.909137,-119.087712"
2005,4,2005-04-01,0.73,217,"36.909137,-119.087712"
2005,5,2005-05-01,0,217,"36.909137,-119.087712"
2005,6,2005-06-01,22.008,217,"36.909137,-119.087712"
2005,7,2005-07-01,21.411,217,"36.909137,-119.087712"
2005,8,2005-08-01,14.622,217,"36.909137,-119.087712"
2005,9,2005-09-01,16.898,217,"36.909137,-119.087712"
2005,10,2005-10-01,11.28,217,"36.909137,-119.087712"
2005,11,2005-11-01,4.956,217,"36.909137,-119.087712"
2005,12,2005-12-01,8.247,217,"36.909137,-119.087712"
2006,1,2006-01-01,16.445,217,"36.909137,-119.087712"
2006,2,2006-02-01,16.608,217,"36.909137,-119.087712"
2006,3,2006-03-01,5.968,217,"36.909137,-119.087712"
2006,4,2006-04-01,19.369,217,"36.909137,-119.087712"
2006,5,2006-05-01,22.861,217,"36.909137,-119.087712"
2006,6,2006-06-01,23.072,217,"36.909137,-119.087712"
2006,7,2006-07-01,21.877,217,"36.909137,-119.087712"
2006,8,2006-08-01,11.972,217,"36.909137,-119.087712"
2006,9,2006-09-01,8.476,217,"36.909137,-119.087712"
2006,10,2006-10-01,6.803,217,"36.909137,-119.087712"
2006,11,2006-11-01,12.966,217,"36.909137,-119.087712"
2006,12,2006-12-01,20.466,217,"36.909137,-119.087712"
2007,1,2007-01-01,5.994,217,"36.909137,-119.087712"
2007,2,2007-02-01,2.819,217,"36.909137,-119.087712"
2007,3,2007-03-01,0.118,217,"36.909137,-119.087712"
2007,4,2007-04-01,-0.134,217,"36.909137,-119.087712"
2007,5,2007-05-01,2.697,217,"36.909137,-119.087712"
2007,6,2007-06-01,0.531,217,"36.909137,-119.087712"
2007,7,2007-07-01,9.188,217,"36.909137,-119.087712"
2007,8,2007-08-01,8.093,217,"36.909137,-119.087712"
2007,9,2007-09-01,2.32,217,"36.909137,-119.087712"
2007,10,2007-10-01,1.333,217,"36.909137,-119.087712"
2007,11,2007-11-01,2.792,217,"36.909137,-119.087712"
2007,12,2007-12-01,3.904,217,"36.909137,-119.087712"
2008,1,2008-01-01,7.132801,217,"36.909137,-119.087712"
2008,2,2008-02-01,5.590983,217,"36.909137,-119.087712"
2008,3,2008-03-01,6.562554,217,"36.909137,-119.087712"
2008,4,2008-04-01,12.35652,217,"36.909137,-119.087712"
2008,5,2008-05-01,14.70146,217,"36.909137,-119.087712"
2008,6,2008-06-01,12.474704,217,"36.909137,-119.087712"
2008,7,2008-07-01,15.155744,217,"36.909137,-119.087712"
2008,8,2008-08-01,15.552788,217,"36.909137,-119.087712"
2008,9,2008-09-01,7.786754,217,"36.909137,-119.087712"
2008,10,2008-10-01,4.994098,217,"36.909137,-119.087712"
2008,11,2008-11-01,3.58307,217,"36.909137,-119.087712"
2008,12,2008-12-01,3.891524,217,"36.909137,-119.087712"
2009,1,2009-01-01,4.493464,217,"36.909137,-119.087712"
2009,2,2009-02-01,5.948402,217,"36.909137,-119.087712"
2009,3,2009-03-01,9.395224,217,"36.909137,-119.087712"
2009,4,2009-04-01,11.13658,217,"36.909137,-119.087712"
2009,5,2009-05-01,15.223906,217,"36.909137,-119.087712"
2009,6,2009-06-01,13.777869,217,"36.909137,-119.087712"
2009,7,2009-07-01,15.190034,217,"36.909137,-119.087712"
2009,8,2009-08-01,12.395672,217,"36.909137,-119.087712"
2009,9,2009-09-01,9.2385,217,"36.909137,-119.087712"
2009,10,2009-10-01,7.33569,217,"36.909137,-119.087712"
2009,11,2009-11-01,5.11852,217,"36.909137,-119.087712"
2009,12,2009-12-01,5.369139,217,"36.909137,-119.087712"
2010,1,2010-01-01,5.797264,217,"36.909137,-119.087712"
2010,2,2010-02-01,6.306648,217,"36.909137,-119.087712"
2010,3,2010-03-01,8.844196,217,"36.909137,-119.087712"
2010,4,2010-04-01,11.192012,217,"36.909137,-119.087712"
2010,5,2010-05-01,17.096401,217,"36.909137,-119.087712"
2010,6,2010-06-01,19.235742,217,"36.909137,-119.087712"
2010,7,2010-07-01,18.103465,217,"36.909137,-119.087712"
2010,8,2010-08-01,15.279046,217,"36.909137,-119.087712"
2010,9,2010-09-01,11.472721,217,"36.909137,-119.087712"
2010,10,2010-10-01,8.576539,217,"36.909137,-119.087712"
2010,11,2010-11-01,8.984651,217,"36.909137,-119.087712"
2010,12,2010-12-01,14.162315,217,"36.909137,-119.087712"
2011,1,2011-01-01,13.469888,217,"36.909137,-119.087712"
2011,2,2011-02-01,9.828149,217,"36.909137,-119.087712"
2011,3,2011-03-01,16.043003,217,"36.909137,-119.087712"
2011,4,2011-04-01,18.945503,217,"36.909137,-119.087712"
2011,5,2011-05-01,21.044339,217,"36.909137,-119.087712"
2011,6,2011-06-01,20.471243,217,"36.909137,-119.087712"
2011,7,2011-07-01,20.551709,217,"36.909137,-119.087712"
2011,8,2011-08-01,16.637372,217,"36.909137,-119.087712"
2011,9,2011-09-01,13.351106,217,"36.909137,-119.087712"
2011,10,2011-10-01,9.392621,217,"36.909137,-119.087712"
2011,11,2011-11-01,8.183603,217,"36.909137,-119.087712"
2011,12,2011-12-01,7.327464,217,"36.909137,-119.087712"
2012,1,2012-01-01,5.219789,217,"36.909137,-119.087712"
2012,2,2012-02-01,4.333136,217,"36.909137,-119.087712"
2012,3,2012-03-01,5.83771,217,"36.909137,-119.087712"
2012,4,2012-04-01,9.003066,217,"36.909137,-119.087712"
2012,5,2012-05-01,13.547379,217,"36.909137,-119.087712"
2012,6,2012-06-01,11.911698,217,"36.909137,-119.087712"
2012,7,2012-07-01,12.814055,217,"36.909137,-119.087712"
2012,8,2012-08-01,11.617573,217,"36.909137,-119.087712"
2012,9,2012-09-01,9.519267,217,"36.909137,-119.087712"
2012,10,2012-10-01,7.382601,217,"36.909137,-119.087712"
2012,11,2012-11-01,5.94146,217,"36.909137,-119.087712"
2012,12,2012-12-01,7.676266,217,"36.909137,-119.087712"
2013,1,2013-01-01,3.849846,217,"36.909137,-119.087712"
2013,2,2013-02-01,3.415594,217,"36.909137,-119.087712"
2013,3,2013-03-01,4.058904,217,"36.909137,-119.087712"
2013,4,2013-04-01,5.116941,217,"36.909137,-119.087712"
2013,5,2013-05-01,6.148721,217,"36.909137,-119.087712"
2013,6,2013-06-01,6.492686,217,"36.909137,-119.087712"
2013,7,2013-07-01,7.2524,217,"36.909137,-119.087712"
2013,8,2013-08-01,5.966544,217,"36.909137,-119.087712"
2013,9,2013-09-01,4.013996,217,"36.909137,-119.087712"
2013,10,2013-10-01,3.207147,217,"36.909137,-119.087712"
2013,11,2013-11-01,2.353919,217,"36.909137,-119.087712"
2013,12,2013-12-01,2.103302,217,"36.909137,-119.087712"
2014,1,2014-01-01,2.191401,217,"36.909137,-119.087712"
2014,2,2014-02-01,1.959828,217,"36.909137,-119.087712"
2014,3,2014-03-01,2.565843,217,"36.909137,-119.087712"
2014,4,2014-04-01,3.81971,217,"36.909137,-119.087712"
2014,5,2014-05-01,5.567826,217,"36.909137,-119.087712"
2014,6,2014-06-01,5.959739,217,"36.909137,-119.087712"
2014,7,2014-07-01,6.226307,217,"36.909137,-119.087712"
2014,8,2014-08-01,5.095139,217,"36.909137,-119.087712"
2014,9,2014-09-01,3.359339,217,"36.909137,-119.087712"
2014,10,2014-10-01,2.702236,217,"36.909137,-119.087712"
2014,11,2014-11-01,2.2342,217,"36.909137,-119.087712"
2014,12,2014-12-01,2.643432,217,"36.909137,-119.087712"
2015,1,2015-01-01,1.195726,217,"36.909137,-119.087712"
2015,2,2015-02-01,1.253123,217,"36.909137,-119.087712"
2015,3,2015-03-01,1.259248,217,"36.909137,-119.087712"
2015,4,2015-04-01,1.375115,217,"36.909137,-119.087712"
2015,5,2015-05-01,1.755466,217,"36.909137,-119.087712"
2015,6,2015-06-01,2.157307,217,"36.909137,-119.087712"
2015,7,2015-07-01,2.662626,217,"36.909137,-119.087712"
2015,8,2015-08-01,2.357181,217,"36.909137,-119.087712"
2015,9,2015-09-01,1.918657,217,"36.909137,-119.087712"
2015,10,2015-10-01,1.265753,217,"36.909137,-119.087712"
2015,11,2015-11-01,0.89821,217,"36.909137,-119.087712"
2015,12,2015-12-01,1.207588,217,"36.909137,-119.087712"
2016,1,2016-01-01,4.953157,217,"36.909137,-119.087712"
2016,2,2016-02-01,7.037898,217,"36.909137,-119.087712"
2016,3,2016-03-01,12.690461,217,"36.909137,-119.087712"
2016,4,2016-04-01,12.640969,217,"36.909137,-119.087712"
2016,5,2016-05-01,14.656896,217,"36.909137,-119.087712"
2016,6,2016-06-01,15.192987,217,"36.909137,-119.087712"
2016,7,2016-07-01,15.788723,217,"36.909137,-119.087712"
2016,8,2016-08-01,13.134756,217,"36.909137,-119.087712"
2016,9,2016-09-01,10.525097,217,"36.909137,-119.087712"
2016,10,2016-10-01,7.871883,217,"36.909137,-119.087712"
2016,11,2016-11-01,7.626796,217,"36.909137,-119.087712"
2016,12,2016-12-01,10.524377,217,"36.909137,-119.087712"
2017,1,2017-01-01,15.45104,217,"36.909137,-119.087712"
2017,2,2017-02-01,14.454299,217,"36.909137,-119.087712"
2017,3,2017-03-01,18.525656,217,"36.909137,-119.087712"
2017,4,2017-04-01,18.371822,217,"36.909137,-119.087712"
2017,5,2017-05-01,21.022362,217,"36.909137,-119.087712"
2017,6,2017-06-01,18.271167,217,"36.909137,-119.087712"
2017,7,2017-07-01,17.77175,217,"36.909137,-119.087712"
2017,8,2017-08-01,15.906974,217,"36.909137,-119.087712"
2017,9,2017-09-01,12.408295,217,"36.909137,-119.087712"
2017,10,2017-10-01,8.745795,217,"36.909137,-119.087712"
2017,11,2017-11-01,8.044314,217,"36.909137,-119.087712"
2017,12,2017-12-01,8.259526,217,"36.909137,-119.087712"
2018,1,2018-01-01,5.135167,217,"36.909137,-119.087712"
2018,2,2018-02-01,3.863528,217,"36.909137,-119.087712"
2018,3,2018-03-01,5.945541,217,"36.909137,-119.087712"
2018,4,2018-04-01,10.24305,217,"36.909137,-119.087712"
2018,5,2018-05-01,9.5147,217,"36.909137,-119.087712"
2018,6,2018-06-01,8.864221,217,"36.909137,-119.087712"
2018,7,2018-07-01,9.746714,217,"36.909137,-119.087712"
2018,8,2018-08-01,8.84543,217,"36.909137,-119.087712"
2018,9,2018-09-01,7.178653,217,"36.909137,-119.087712"
2018,10,2018-10-01,4.773246,217,"36.909137,-119.087712"
2018,11,2018-11-01,3.803771,217,"36.909137,-119.087712"
2018,12,2018-12-01,4.525979,217,"36.909137,-119.087712"
