"Year","Month","date","Generation_GWh","EIA_Plant_ID","latlon"
2003,1,2003-01-01,3.583,222,"40.085476,-121.148241"
2003,2,2003-02-01,21.026,222,"40.085476,-121.148241"
2003,3,2003-03-01,1.234,222,"40.085476,-121.148241"
2003,4,2003-04-01,0.784,222,"40.085476,-121.148241"
2003,5,2003-05-01,1.88,222,"40.085476,-121.148241"
2003,6,2003-06-01,0.756,222,"40.085476,-121.148241"
2003,7,2003-07-01,18.402,222,"40.085476,-121.148241"
2003,8,2003-08-01,25.538,222,"40.085476,-121.148241"
2003,9,2003-09-01,14.796,222,"40.085476,-121.148241"
2003,10,2003-10-01,12.872,222,"40.085476,-121.148241"
2003,11,2003-11-01,16.97,222,"40.085476,-121.148241"
2003,12,2003-12-01,23.767,222,"40.085476,-121.148241"
2004,1,2004-01-01,34.068,222,"40.085476,-121.148241"
2004,2,2004-02-01,8.771,222,"40.085476,-121.148241"
2004,3,2004-03-01,0.295,222,"40.085476,-121.148241"
2004,4,2004-04-01,1.088,222,"40.085476,-121.148241"
2004,5,2004-05-01,1.816,222,"40.085476,-121.148241"
2004,6,2004-06-01,7.622,222,"40.085476,-121.148241"
2004,7,2004-07-01,29.375,222,"40.085476,-121.148241"
2004,8,2004-08-01,29.719,222,"40.085476,-121.148241"
2004,9,2004-09-01,9.092,222,"40.085476,-121.148241"
2004,10,2004-10-01,3.741,222,"40.085476,-121.148241"
2004,11,2004-11-01,8.831,222,"40.085476,-121.148241"
2004,12,2004-12-01,11.44,222,"40.085476,-121.148241"
2005,1,2005-01-01,16.485,222,"40.085476,-121.148241"
2005,2,2005-02-01,3.736,222,"40.085476,-121.148241"
2005,3,2005-03-01,2.016,222,"40.085476,-121.148241"
2005,4,2005-04-01,0.261,222,"40.085476,-121.148241"
2005,5,2005-05-01,5.116,222,"40.085476,-121.148241"
2005,6,2005-06-01,3.51,222,"40.085476,-121.148241"
2005,7,2005-07-01,20.477,222,"40.085476,-121.148241"
2005,8,2005-08-01,33.264,222,"40.085476,-121.148241"
2005,9,2005-09-01,24.109,222,"40.085476,-121.148241"
2005,10,2005-10-01,9.673,222,"40.085476,-121.148241"
2005,11,2005-11-01,6.291,222,"40.085476,-121.148241"
2005,12,2005-12-01,4.496,222,"40.085476,-121.148241"
2006,1,2006-01-01,21.013,222,"40.085476,-121.148241"
2006,2,2006-02-01,27.886,222,"40.085476,-121.148241"
2006,3,2006-03-01,28.075,222,"40.085476,-121.148241"
2006,4,2006-04-01,26.314,222,"40.085476,-121.148241"
2006,5,2006-05-01,49.212,222,"40.085476,-121.148241"
2006,6,2006-06-01,0.054,222,"40.085476,-121.148241"
2006,7,2006-07-01,16.704,222,"40.085476,-121.148241"
2006,8,2006-08-01,26.052,222,"40.085476,-121.148241"
2006,9,2006-09-01,13.187,222,"40.085476,-121.148241"
2006,10,2006-10-01,5.326,222,"40.085476,-121.148241"
2006,11,2006-11-01,22.7,222,"40.085476,-121.148241"
2006,12,2006-12-01,38.81,222,"40.085476,-121.148241"
2007,1,2007-01-01,6.523,222,"40.085476,-121.148241"
2007,2,2007-02-01,3.934,222,"40.085476,-121.148241"
2007,3,2007-03-01,0.259,222,"40.085476,-121.148241"
2007,4,2007-04-01,0.336,222,"40.085476,-121.148241"
2007,5,2007-05-01,0.416,222,"40.085476,-121.148241"
2007,6,2007-06-01,0.391,222,"40.085476,-121.148241"
2007,7,2007-07-01,16.598,222,"40.085476,-121.148241"
2007,8,2007-08-01,16.116,222,"40.085476,-121.148241"
2007,9,2007-09-01,6.836,222,"40.085476,-121.148241"
2007,10,2007-10-01,14.886,222,"40.085476,-121.148241"
2007,11,2007-11-01,16.762,222,"40.085476,-121.148241"
2007,12,2007-12-01,12.296,222,"40.085476,-121.148241"
2008,1,2008-01-01,4.875747,222,"40.085476,-121.148241"
2008,2,2008-02-01,3.821809,222,"40.085476,-121.148241"
2008,3,2008-03-01,4.485943,222,"40.085476,-121.148241"
