"Year","Month","date","Generation_GWh","EIA_Plant_ID","latlon"
2003,1,2003-01-01,88.461,454,"39.330833,-121.191666"
2003,2,2003-02-01,110.989,454,"39.330833,-121.191666"
2003,3,2003-03-01,113.874,454,"39.330833,-121.191666"
2003,4,2003-04-01,86.202,454,"39.330833,-121.191666"
2003,5,2003-05-01,225.365,454,"39.330833,-121.191666"
2003,6,2003-06-01,193.121,454,"39.330833,-121.191666"
2003,7,2003-07-01,180.297,454,"39.330833,-121.191666"
2003,8,2003-08-01,168.978,454,"39.330833,-121.191666"
2003,9,2003-09-01,50.187,454,"39.330833,-121.191666"
2003,10,2003-10-01,50.361,454,"39.330833,-121.191666"
2003,11,2003-11-01,48.496,454,"39.330833,-121.191666"
2003,12,2003-12-01,64.83,454,"39.330833,-121.191666"
2004,1,2004-01-01,115.736,454,"39.330833,-121.191666"
2004,2,2004-02-01,99.768,454,"39.330833,-121.191666"
2004,3,2004-03-01,125.026,454,"39.330833,-121.191666"
2004,4,2004-04-01,127.277,454,"39.330833,-121.191666"
2004,5,2004-05-01,147.368,454,"39.330833,-121.191666"
2004,6,2004-06-01,120.281,454,"39.330833,-121.191666"
2004,7,2004-07-01,134.128,454,"39.330833,-121.191666"
2004,8,2004-08-01,101.773,454,"39.330833,-121.191666"
2004,9,2004-09-01,43.078,454,"39.330833,-121.191666"
2004,10,2004-10-01,57.308,454,"39.330833,-121.191666"
2004,11,2004-11-01,40.21,454,"39.330833,-121.191666"
2004,12,2004-12-01,40.056,454,"39.330833,-121.191666"
2005,1,2005-01-01,35.571,454,"39.330833,-121.191666"
2005,2,2005-02-01,26.752,454,"39.330833,-121.191666"
2005,3,2005-03-01,36.524,454,"39.330833,-121.191666"
2005,4,2005-04-01,91.707,454,"39.330833,-121.191666"
2005,5,2005-05-01,202.593,454,"39.330833,-121.191666"
2005,6,2005-06-01,181.794,454,"39.330833,-121.191666"
2005,7,2005-07-01,175.721,454,"39.330833,-121.191666"
2005,8,2005-08-01,110.75,454,"39.330833,-121.191666"
2005,9,2005-09-01,46.207,454,"39.330833,-121.191666"
2005,10,2005-10-01,56.677,454,"39.330833,-121.191666"
