"Year","Month","date","Generation_GWh","EIA_Plant_ID","latlon"
2003,1,2003-01-01,22.42,3915,"47.3698,-123.1603"
2003,2,2003-02-01,16.926,3915,"47.3698,-123.1603"
2003,3,2003-03-01,35.61426,3915,"47.3698,-123.1603"
2003,4,2003-04-01,14.422,3915,"47.3698,-123.1603"
2003,5,2003-05-01,1.515,3915,"47.3698,-123.1603"
2003,6,2003-06-01,1.312,3915,"47.3698,-123.1603"
2003,7,2003-07-01,2.759,3915,"47.3698,-123.1603"
2003,8,2003-08-01,0.298,3915,"47.3698,-123.1603"
2003,9,2003-09-01,18.973,3915,"47.3698,-123.1603"
2003,10,2003-10-01,42.746,3915,"47.3698,-123.1603"
2003,11,2003-11-01,53.806,3915,"47.3698,-123.1603"
2003,12,2003-12-01,50.628,3915,"47.3698,-123.1603"
2004,1,2004-01-01,39.441,3915,"47.3698,-123.1603"
2004,2,2004-02-01,13.788,3915,"47.3698,-123.1603"
2004,3,2004-03-01,1.854,3915,"47.3698,-123.1603"
2004,4,2004-04-01,0.242,3915,"47.3698,-123.1603"
2004,5,2004-05-01,1.039,3915,"47.3698,-123.1603"
2004,6,2004-06-01,1.082,3915,"47.3698,-123.1603"
2004,7,2004-07-01,1.957,3915,"47.3698,-123.1603"
2004,8,2004-08-01,9.172,3915,"47.3698,-123.1603"
2004,9,2004-09-01,14.602,3915,"47.3698,-123.1603"
2004,10,2004-10-01,13.998,3915,"47.3698,-123.1603"
2004,11,2004-11-01,9.501,3915,"47.3698,-123.1603"
2004,12,2004-12-01,13.271,3915,"47.3698,-123.1603"
2005,1,2005-01-01,15.73,3915,"47.3698,-123.1603"
2005,2,2005-02-01,4.504,3915,"47.3698,-123.1603"
2005,3,2005-03-01,17.986,3915,"47.3698,-123.1603"
2005,4,2005-04-01,10.123,3915,"47.3698,-123.1603"
2005,5,2005-05-01,10.491,3915,"47.3698,-123.1603"
2005,6,2005-06-01,4.706,3915,"47.3698,-123.1603"
2005,7,2005-07-01,2.702,3915,"47.3698,-123.1603"
2005,8,2005-08-01,30.362,3915,"47.3698,-123.1603"
2005,9,2005-09-01,11.052,3915,"47.3698,-123.1603"
2005,10,2005-10-01,11.728,3915,"47.3698,-123.1603"
2005,11,2005-11-01,13.863,3915,"47.3698,-123.1603"
2005,12,2005-12-01,17.04,3915,"47.3698,-123.1603"
2006,1,2006-01-01,55.474,3915,"47.3698,-123.1603"
2006,2,2006-02-01,31.304,3915,"47.3698,-123.1603"
2006,3,2006-03-01,26.305,3915,"47.3698,-123.1603"
2006,4,2006-04-01,10.565,3915,"47.3698,-123.1603"
2006,5,2006-05-01,1.779,3915,"47.3698,-123.1603"
2006,6,2006-06-01,10.462,3915,"47.3698,-123.1603"
2006,7,2006-07-01,6.764,3915,"47.3698,-123.1603"
2006,8,2006-08-01,2.706,3915,"47.3698,-123.1603"
2006,9,2006-09-01,15.579,3915,"47.3698,-123.1603"
2006,10,2006-10-01,24.279,3915,"47.3698,-123.1603"
2006,11,2006-11-01,45.851,3915,"47.3698,-123.1603"
2006,12,2006-12-01,40.147,3915,"47.3698,-123.1603"
2007,1,2007-01-01,35.319,3915,"47.3698,-123.1603"
2007,2,2007-02-01,23.329,3915,"47.3698,-123.1603"
2007,3,2007-03-01,23.367,3915,"47.3698,-123.1603"
2007,4,2007-04-01,13.958,3915,"47.3698,-123.1603"
2007,5,2007-05-01,2.387,3915,"47.3698,-123.1603"
2007,6,2007-06-01,0.465,3915,"47.3698,-123.1603"
2007,7,2007-07-01,12.463,3915,"47.3698,-123.1603"
2007,8,2007-08-01,5.803,3915,"47.3698,-123.1603"
2007,9,2007-09-01,18.579,3915,"47.3698,-123.1603"
2007,10,2007-10-01,36.175,3915,"47.3698,-123.1603"
2007,11,2007-11-01,18.859,3915,"47.3698,-123.1603"
2007,12,2007-12-01,51.076,3915,"47.3698,-123.1603"
2008,1,2008-01-01,10.133939,3915,"47.3698,-123.1603"
2008,2,2008-02-01,8.284127,3915,"47.3698,-123.1603"
2008,3,2008-03-01,8.829289,3915,"47.3698,-123.1603"
2008,4,2008-04-01,8.47404,3915,"47.3698,-123.1603"
2008,5,2008-05-01,13.962993,3915,"47.3698,-123.1603"
2008,6,2008-06-01,17.108005,3915,"47.3698,-123.1603"
2008,7,2008-07-01,12.88365,3915,"47.3698,-123.1603"
2008,8,2008-08-01,8.268678,3915,"47.3698,-123.1603"
2008,9,2008-09-01,6.453631,3915,"47.3698,-123.1603"
2008,10,2008-10-01,7.002921,3915,"47.3698,-123.1603"
2008,11,2008-11-01,7.781626,3915,"47.3698,-123.1603"
2008,12,2008-12-01,9.686101,3915,"47.3698,-123.1603"
2009,1,2009-01-01,3.328667,3915,"47.3698,-123.1603"
2009,2,2009-02-01,2.261599,3915,"47.3698,-123.1603"
2009,3,2009-03-01,2.390197,3915,"47.3698,-123.1603"
2009,4,2009-04-01,3.271778,3915,"47.3698,-123.1603"
2009,5,2009-05-01,3.860496,3915,"47.3698,-123.1603"
2009,6,2009-06-01,4.281933,3915,"47.3698,-123.1603"
2009,7,2009-07-01,2.912591,3915,"47.3698,-123.1603"
2009,8,2009-08-01,2.056367,3915,"47.3698,-123.1603"
2009,9,2009-09-01,1.650276,3915,"47.3698,-123.1603"
2009,10,2009-10-01,1.955711,3915,"47.3698,-123.1603"
2009,11,2009-11-01,2.368659,3915,"47.3698,-123.1603"
2009,12,2009-12-01,2.795726,3915,"47.3698,-123.1603"
2010,1,2010-01-01,18.579889,3915,"47.3698,-123.1603"
2010,2,2010-02-01,16.270042,3915,"47.3698,-123.1603"
2010,3,2010-03-01,16.449428,3915,"47.3698,-123.1603"
2010,4,2010-04-01,15.91907,3915,"47.3698,-123.1603"
2010,5,2010-05-01,24.656411,3915,"47.3698,-123.1603"
2010,6,2010-06-01,32.811646,3915,"47.3698,-123.1603"
2010,7,2010-07-01,24.914087,3915,"47.3698,-123.1603"
2010,8,2010-08-01,17.247394,3915,"47.3698,-123.1603"
2010,9,2010-09-01,13.250716,3915,"47.3698,-123.1603"
2010,10,2010-10-01,16.699818,3915,"47.3698,-123.1603"
2010,11,2010-11-01,19.332851,3915,"47.3698,-123.1603"
2010,12,2010-12-01,20.790648,3915,"47.3698,-123.1603"
2011,1,2011-01-01,21.985991,3915,"47.3698,-123.1603"
2011,2,2011-02-01,22.007405,3915,"47.3698,-123.1603"
2011,3,2011-03-01,23.385287,3915,"47.3698,-123.1603"
2011,4,2011-04-01,24.174297,3915,"47.3698,-123.1603"
2011,5,2011-05-01,25.667882,3915,"47.3698,-123.1603"
2011,6,2011-06-01,26.193025,3915,"47.3698,-123.1603"
2011,7,2011-07-01,27.097691,3915,"47.3698,-123.1603"
2011,8,2011-08-01,21.467509,3915,"47.3698,-123.1603"
2011,9,2011-09-01,13.732759,3915,"47.3698,-123.1603"
2011,10,2011-10-01,14.546664,3915,"47.3698,-123.1603"
2011,11,2011-11-01,15.815826,3915,"47.3698,-123.1603"
2011,12,2011-12-01,17.157664,3915,"47.3698,-123.1603"
2012,1,2012-01-01,10.901102,3915,"47.3698,-123.1603"
2012,2,2012-02-01,9.518365,3915,"47.3698,-123.1603"
2012,3,2012-03-01,13.563282,3915,"47.3698,-123.1603"
2012,4,2012-04-01,15.220626,3915,"47.3698,-123.1603"
2012,5,2012-05-01,16.963952,3915,"47.3698,-123.1603"
2012,6,2012-06-01,16.405463,3915,"47.3698,-123.1603"
2012,7,2012-07-01,16.616376,3915,"47.3698,-123.1603"
2012,8,2012-08-01,14.053663,3915,"47.3698,-123.1603"
2012,9,2012-09-01,8.409855,3915,"47.3698,-123.1603"
2012,10,2012-10-01,7.525321,3915,"47.3698,-123.1603"
2012,11,2012-11-01,9.91889,3915,"47.3698,-123.1603"
2012,12,2012-12-01,13.854105,3915,"47.3698,-123.1603"
2013,1,2013-01-01,14.285485,3915,"47.3698,-123.1603"
2013,2,2013-02-01,9.825659,3915,"47.3698,-123.1603"
2013,3,2013-03-01,9.250938,3915,"47.3698,-123.1603"
2013,4,2013-04-01,14.116511,3915,"47.3698,-123.1603"
2013,5,2013-05-01,16.1743,3915,"47.3698,-123.1603"
2013,6,2013-06-01,15.517176,3915,"47.3698,-123.1603"
2013,7,2013-07-01,14.220775,3915,"47.3698,-123.1603"
2013,8,2013-08-01,10.964842,3915,"47.3698,-123.1603"
2013,9,2013-09-01,7.61262,3915,"47.3698,-123.1603"
2013,10,2013-10-01,8.931737,3915,"47.3698,-123.1603"
2013,11,2013-11-01,9.564129,3915,"47.3698,-123.1603"
2013,12,2013-12-01,10.735828,3915,"47.3698,-123.1603"
2014,1,2014-01-01,16.80822,3915,"47.3698,-123.1603"
2014,2,2014-02-01,12.667496,3915,"47.3698,-123.1603"
2014,3,2014-03-01,21.847138,3915,"47.3698,-123.1603"
2014,4,2014-04-01,21.932735,3915,"47.3698,-123.1603"
2014,5,2014-05-01,25.719149,3915,"47.3698,-123.1603"
2014,6,2014-06-01,25.770876,3915,"47.3698,-123.1603"
2014,7,2014-07-01,23.478035,3915,"47.3698,-123.1603"
2014,8,2014-08-01,17.12468,3915,"47.3698,-123.1603"
2014,9,2014-09-01,11.083472,3915,"47.3698,-123.1603"
2014,10,2014-10-01,12.654264,3915,"47.3698,-123.1603"
2014,11,2014-11-01,15.865909,3915,"47.3698,-123.1603"
2014,12,2014-12-01,20.240026,3915,"47.3698,-123.1603"
2015,1,2015-01-01,18.176455,3915,"47.3698,-123.1603"
2015,2,2015-02-01,18.163968,3915,"47.3698,-123.1603"
2015,3,2015-03-01,17.813578,3915,"47.3698,-123.1603"
2015,4,2015-04-01,13.884647,3915,"47.3698,-123.1603"
2015,5,2015-05-01,13.873837,3915,"47.3698,-123.1603"
2015,6,2015-06-01,12.693515,3915,"47.3698,-123.1603"
2015,7,2015-07-01,12.025964,3915,"47.3698,-123.1603"
2015,8,2015-08-01,12.701642,3915,"47.3698,-123.1603"
2015,9,2015-09-01,9.463554,3915,"47.3698,-123.1603"
2015,10,2015-10-01,9.871945,3915,"47.3698,-123.1603"
2015,11,2015-11-01,11.994506,3915,"47.3698,-123.1603"
2015,12,2015-12-01,13.149389,3915,"47.3698,-123.1603"
2016,1,2016-01-01,25.969551,3915,"47.3698,-123.1603"
2016,2,2016-02-01,26.067717,3915,"47.3698,-123.1603"
2016,3,2016-03-01,31.99141,3915,"47.3698,-123.1603"
2016,4,2016-04-01,33.216344,3915,"47.3698,-123.1603"
2016,5,2016-05-01,32.425816,3915,"47.3698,-123.1603"
2016,6,2016-06-01,29.714402,3915,"47.3698,-123.1603"
2016,7,2016-07-01,25.018714,3915,"47.3698,-123.1603"
2016,8,2016-08-01,21.825928,3915,"47.3698,-123.1603"
2016,9,2016-09-01,16.918363,3915,"47.3698,-123.1603"
2016,10,2016-10-01,21.249146,3915,"47.3698,-123.1603"
2016,11,2016-11-01,25.866033,3915,"47.3698,-123.1603"
2016,12,2016-12-01,30.610576,3915,"47.3698,-123.1603"
2017,1,2017-01-01,21.270862,3915,"47.3698,-123.1603"
2017,2,2017-02-01,18.381761,3915,"47.3698,-123.1603"
2017,3,2017-03-01,24.092523,3915,"47.3698,-123.1603"
2017,4,2017-04-01,23.906642,3915,"47.3698,-123.1603"
2017,5,2017-05-01,25.636954,3915,"47.3698,-123.1603"
2017,6,2017-06-01,25.661265,3915,"47.3698,-123.1603"
2017,7,2017-07-01,19.622534,3915,"47.3698,-123.1603"
2017,8,2017-08-01,14.529273,3915,"47.3698,-123.1603"
2017,9,2017-09-01,12.958101,3915,"47.3698,-123.1603"
2017,10,2017-10-01,11.656909,3915,"47.3698,-123.1603"
2017,11,2017-11-01,13.76148,3915,"47.3698,-123.1603"
2017,12,2017-12-01,18.240696,3915,"47.3698,-123.1603"
2018,1,2018-01-01,17.319418,3915,"47.3698,-123.1603"
2018,2,2018-02-01,17.867729,3915,"47.3698,-123.1603"
2018,3,2018-03-01,16.318944,3915,"47.3698,-123.1603"
2018,4,2018-04-01,16.755704,3915,"47.3698,-123.1603"
2018,5,2018-05-01,20.533979,3915,"47.3698,-123.1603"
2018,6,2018-06-01,18.698205,3915,"47.3698,-123.1603"
2018,7,2018-07-01,14.805334,3915,"47.3698,-123.1603"
2018,8,2018-08-01,11.737712,3915,"47.3698,-123.1603"
2018,9,2018-09-01,8.779587,3915,"47.3698,-123.1603"
2018,10,2018-10-01,9.355861,3915,"47.3698,-123.1603"
2018,11,2018-11-01,11.794586,3915,"47.3698,-123.1603"
2018,12,2018-12-01,11.693941,3915,"47.3698,-123.1603"
