"Year","Month","date","Generation_GWh","EIA_Plant_ID","latlon"
2003,1,2003-01-01,24.775,417,"39.551012,-121.278784"
2003,2,2003-02-01,24.319,417,"39.551012,-121.278784"
2003,3,2003-03-01,22.959,417,"39.551012,-121.278784"
2003,4,2003-04-01,20.65,417,"39.551012,-121.278784"
2003,5,2003-05-01,28.014,417,"39.551012,-121.278784"
2003,6,2003-06-01,20.286,417,"39.551012,-121.278784"
2003,7,2003-07-01,16.906,417,"39.551012,-121.278784"
2003,8,2003-08-01,11.866,417,"39.551012,-121.278784"
2003,9,2003-09-01,12.448,417,"39.551012,-121.278784"
2003,10,2003-10-01,6.474,417,"39.551012,-121.278784"
2003,11,2003-11-01,4.267,417,"39.551012,-121.278784"
2003,12,2003-12-01,16.462,417,"39.551012,-121.278784"
2004,1,2004-01-01,14.127381,417,"39.551012,-121.278784"
2004,2,2004-02-01,12.933894,417,"39.551012,-121.278784"
2004,3,2004-03-01,18.362665,417,"39.551012,-121.278784"
2004,4,2004-04-01,17.734274,417,"39.551012,-121.278784"
2004,5,2004-05-01,16.398096,417,"39.551012,-121.278784"
2004,6,2004-06-01,17.774338,417,"39.551012,-121.278784"
2004,7,2004-07-01,18.646009,417,"39.551012,-121.278784"
2004,8,2004-08-01,16.192661,417,"39.551012,-121.278784"
2004,9,2004-09-01,12.206608,417,"39.551012,-121.278784"
2004,10,2004-10-01,10.475065,417,"39.551012,-121.278784"
2004,11,2004-11-01,9.378966,417,"39.551012,-121.278784"
2004,12,2004-12-01,11.722042,417,"39.551012,-121.278784"
2005,1,2005-01-01,14.574884,417,"39.551012,-121.278784"
2005,2,2005-02-01,13.354441,417,"39.551012,-121.278784"
2005,3,2005-03-01,13.915663,417,"39.551012,-121.278784"
2005,4,2005-04-01,13.905621,417,"39.551012,-121.278784"
2005,5,2005-05-01,19.612677,417,"39.551012,-121.278784"
2005,6,2005-06-01,18.286442,417,"39.551012,-121.278784"
2005,7,2005-07-01,16.998548,417,"39.551012,-121.278784"
2005,8,2005-08-01,14.106427,417,"39.551012,-121.278784"
2005,9,2005-09-01,11.180317,417,"39.551012,-121.278784"
2005,10,2005-10-01,12.065769,417,"39.551012,-121.278784"
2005,11,2005-11-01,13.002314,417,"39.551012,-121.278784"
2005,12,2005-12-01,14.555895,417,"39.551012,-121.278784"
2006,1,2006-01-01,15.204588,417,"39.551012,-121.278784"
2006,2,2006-02-01,13.339587,417,"39.551012,-121.278784"
2006,3,2006-03-01,14.337235,417,"39.551012,-121.278784"
2006,4,2006-04-01,17.308675,417,"39.551012,-121.278784"
2006,5,2006-05-01,18.678369,417,"39.551012,-121.278784"
2006,6,2006-06-01,19.292098,417,"39.551012,-121.278784"
2006,7,2006-07-01,15.764069,417,"39.551012,-121.278784"
2006,8,2006-08-01,12.925828,417,"39.551012,-121.278784"
2006,9,2006-09-01,9.475908,417,"39.551012,-121.278784"
2006,10,2006-10-01,8.961786,417,"39.551012,-121.278784"
2006,11,2006-11-01,10.398608,417,"39.551012,-121.278784"
2006,12,2006-12-01,11.280249,417,"39.551012,-121.278784"
2007,1,2007-01-01,6.688931,417,"39.551012,-121.278784"
2007,2,2007-02-01,5.797936,417,"39.551012,-121.278784"
2007,3,2007-03-01,7.759863,417,"39.551012,-121.278784"
2007,4,2007-04-01,7.570295,417,"39.551012,-121.278784"
2007,5,2007-05-01,10.039373,417,"39.551012,-121.278784"
2007,6,2007-06-01,9.218782,417,"39.551012,-121.278784"
2007,7,2007-07-01,11.369849,417,"39.551012,-121.278784"
2007,8,2007-08-01,9.627057,417,"39.551012,-121.278784"
2007,9,2007-09-01,7.199919,417,"39.551012,-121.278784"
2007,10,2007-10-01,6.002855,417,"39.551012,-121.278784"
2007,11,2007-11-01,5.788134,417,"39.551012,-121.278784"
2007,12,2007-12-01,4.908004,417,"39.551012,-121.278784"
2008,1,2008-01-01,6.576057,417,"39.551012,-121.278784"
2008,2,2008-02-01,5.154584,417,"39.551012,-121.278784"
2008,3,2008-03-01,6.050321,417,"39.551012,-121.278784"
2008,4,2008-04-01,11.392044,417,"39.551012,-121.278784"
2008,5,2008-05-01,13.553953,417,"39.551012,-121.278784"
2008,6,2008-06-01,11.501004,417,"39.551012,-121.278784"
2008,7,2008-07-01,13.972778,417,"39.551012,-121.278784"
2008,8,2008-08-01,14.338831,417,"39.551012,-121.278784"
2008,9,2008-09-01,7.178967,417,"39.551012,-121.278784"
2008,10,2008-10-01,4.604289,417,"39.551012,-121.278784"
2008,11,2008-11-01,3.303397,417,"39.551012,-121.278784"
2008,12,2008-12-01,3.587775,417,"39.551012,-121.278784"
2009,1,2009-01-01,5.264765,417,"39.551012,-121.278784"
2009,2,2009-02-01,6.969443,417,"39.551012,-121.278784"
2009,3,2009-03-01,11.007911,417,"39.551012,-121.278784"
2009,4,2009-04-01,13.048171,417,"39.551012,-121.278784"
2009,5,2009-05-01,17.837084,417,"39.551012,-121.278784"
2009,6,2009-06-01,16.142836,417,"39.551012,-121.278784"
2009,7,2009-07-01,17.797398,417,"39.551012,-121.278784"
2009,8,2009-08-01,14.523385,417,"39.551012,-121.278784"
2009,9,2009-09-01,10.824286,417,"39.551012,-121.278784"
2009,10,2009-10-01,8.594859,417,"39.551012,-121.278784"
2009,11,2009-11-01,5.997112,417,"39.551012,-121.278784"
2009,12,2009-12-01,6.29075,417,"39.551012,-121.278784"
2010,1,2010-01-01,6.981567,417,"39.551012,-121.278784"
2010,2,2010-02-01,7.595013,417,"39.551012,-121.278784"
2010,3,2010-03-01,10.650949,417,"39.551012,-121.278784"
2010,4,2010-04-01,13.478392,417,"39.551012,-121.278784"
2010,5,2010-05-01,20.58897,417,"39.551012,-121.278784"
2010,6,2010-06-01,23.16535,417,"39.551012,-121.278784"
2010,7,2010-07-01,21.801763,417,"39.551012,-121.278784"
2010,8,2010-08-01,18.400353,417,"39.551012,-121.278784"
2010,9,2010-09-01,13.816446,417,"39.551012,-121.278784"
2010,10,2010-10-01,10.328613,417,"39.551012,-121.278784"
2010,11,2010-11-01,10.820096,417,"39.551012,-121.278784"
2010,12,2010-12-01,17.055488,417,"39.551012,-121.278784"
2011,1,2011-01-01,11.750469,417,"39.551012,-121.278784"
2011,2,2011-02-01,8.573594,417,"39.551012,-121.278784"
2011,3,2011-03-01,13.995128,417,"39.551012,-121.278784"
2011,4,2011-04-01,16.527126,417,"39.551012,-121.278784"
2011,5,2011-05-01,18.358047,417,"39.551012,-121.278784"
2011,6,2011-06-01,17.858107,417,"39.551012,-121.278784"
2011,7,2011-07-01,17.928302,417,"39.551012,-121.278784"
2011,8,2011-08-01,14.513625,417,"39.551012,-121.278784"
2011,9,2011-09-01,11.646849,417,"39.551012,-121.278784"
2011,10,2011-10-01,8.193661,417,"39.551012,-121.278784"
2011,11,2011-11-01,7.138973,417,"39.551012,-121.278784"
2011,12,2011-12-01,6.392119,417,"39.551012,-121.278784"
2012,1,2012-01-01,6.451472,417,"39.551012,-121.278784"
2012,2,2012-02-01,5.355601,417,"39.551012,-121.278784"
2012,3,2012-03-01,7.215201,417,"39.551012,-121.278784"
2012,4,2012-04-01,11.127467,417,"39.551012,-121.278784"
2012,5,2012-05-01,16.744076,417,"39.551012,-121.278784"
2012,6,2012-06-01,14.722434,417,"39.551012,-121.278784"
2012,7,2012-07-01,15.837715,417,"39.551012,-121.278784"
2012,8,2012-08-01,14.358905,417,"39.551012,-121.278784"
2012,9,2012-09-01,11.765474,417,"39.551012,-121.278784"
2012,10,2012-10-01,9.124632,417,"39.551012,-121.278784"
2012,11,2012-11-01,7.343433,417,"39.551012,-121.278784"
2012,12,2012-12-01,9.48759,417,"39.551012,-121.278784"
2013,1,2013-01-01,6.153405,417,"39.551012,-121.278784"
2013,2,2013-02-01,5.459318,417,"39.551012,-121.278784"
2013,3,2013-03-01,6.487555,417,"39.551012,-121.278784"
2013,4,2013-04-01,8.178669,417,"39.551012,-121.278784"
2013,5,2013-05-01,9.827815,417,"39.551012,-121.278784"
2013,6,2013-06-01,10.377593,417,"39.551012,-121.278784"
2013,7,2013-07-01,11.591883,417,"39.551012,-121.278784"
2013,8,2013-08-01,9.536633,417,"39.551012,-121.278784"
2013,9,2013-09-01,6.415775,417,"39.551012,-121.278784"
2013,10,2013-10-01,5.126148,417,"39.551012,-121.278784"
2013,11,2013-11-01,3.76239,417,"39.551012,-121.278784"
2013,12,2013-12-01,3.361816,417,"39.551012,-121.278784"
2014,1,2014-01-01,2.87485,417,"39.551012,-121.278784"
2014,2,2014-02-01,2.571056,417,"39.551012,-121.278784"
2014,3,2014-03-01,3.366073,417,"39.551012,-121.278784"
2014,4,2014-04-01,5.010995,417,"39.551012,-121.278784"
2014,5,2014-05-01,7.304309,417,"39.551012,-121.278784"
2014,6,2014-06-01,7.818451,417,"39.551012,-121.278784"
2014,7,2014-07-01,8.168156,417,"39.551012,-121.278784"
2014,8,2014-08-01,6.684202,417,"39.551012,-121.278784"
2014,9,2014-09-01,4.407043,417,"39.551012,-121.278784"
2014,10,2014-10-01,3.545005,417,"39.551012,-121.278784"
2014,11,2014-11-01,2.930999,417,"39.551012,-121.278784"
