"Year","Month","date","Generation_GWh","EIA_Plant_ID","latlon"
2003,1,2003-01-01,13.435,3028,"42.093611,-122.0703"
2003,2,2003-02-01,9.344,3028,"42.093611,-122.0703"
2003,3,2003-03-01,22.521,3028,"42.093611,-122.0703"
2003,4,2003-04-01,46.512,3028,"42.093611,-122.0703"
2003,5,2003-05-01,40.93,3028,"42.093611,-122.0703"
2003,6,2003-06-01,16.782,3028,"42.093611,-122.0703"
2003,7,2003-07-01,12.059,3028,"42.093611,-122.0703"
2003,8,2003-08-01,13.298,3028,"42.093611,-122.0703"
2003,9,2003-09-01,17.953,3028,"42.093611,-122.0703"
2003,10,2003-10-01,19.786,3028,"42.093611,-122.0703"
2003,11,2003-11-01,21.21,3028,"42.093611,-122.0703"
2003,12,2003-12-01,25.307,3028,"42.093611,-122.0703"
2004,1,2004-01-01,17.310851,3028,"42.093611,-122.0703"
2004,2,2004-02-01,15.673134,3028,"42.093611,-122.0703"
2004,3,2004-03-01,17.622534,3028,"42.093611,-122.0703"
2004,4,2004-04-01,14.71493,3028,"42.093611,-122.0703"
2004,5,2004-05-01,16.8884,3028,"42.093611,-122.0703"
2004,6,2004-06-01,16.930295,3028,"42.093611,-122.0703"
2004,7,2004-07-01,12.659194,3028,"42.093611,-122.0703"
2004,8,2004-08-01,10.711377,3028,"42.093611,-122.0703"
2004,9,2004-09-01,13.020518,3028,"42.093611,-122.0703"
2004,10,2004-10-01,13.223206,3028,"42.093611,-122.0703"
2004,11,2004-11-01,14.316372,3028,"42.093611,-122.0703"
2004,12,2004-12-01,18.181188,3028,"42.093611,-122.0703"
2005,1,2005-01-01,18.535679,3028,"42.093611,-122.0703"
2005,2,2005-02-01,16.983575,3028,"42.093611,-122.0703"
2005,3,2005-03-01,17.697311,3028,"42.093611,-122.0703"
2005,4,2005-04-01,17.68454,3028,"42.093611,-122.0703"
2005,5,2005-05-01,24.942516,3028,"42.093611,-122.0703"
2005,6,2005-06-01,23.255871,3028,"42.093611,-122.0703"
2005,7,2005-07-01,21.617985,3028,"42.093611,-122.0703"
2005,8,2005-08-01,17.939916,3028,"42.093611,-122.0703"
2005,9,2005-09-01,14.218622,3028,"42.093611,-122.0703"
2005,10,2005-10-01,15.3447,3028,"42.093611,-122.0703"
2005,11,2005-11-01,16.535756,3028,"42.093611,-122.0703"
2005,12,2005-12-01,18.51153,3028,"42.093611,-122.0703"
2006,1,2006-01-01,39.69291,3028,"42.093611,-122.0703"
2006,2,2006-02-01,34.824162,3028,"42.093611,-122.0703"
2006,3,2006-03-01,37.42861,3028,"42.093611,-122.0703"
2006,4,2006-04-01,45.185815,3028,"42.093611,-122.0703"
