"Year","Month","date","Generation_GWh","EIA_Plant_ID","latlon"
2003,1,2003-01-01,60.087,2199,"47.96048,-115.73361"
2003,2,2003-02-01,83.997,2199,"47.96048,-115.73361"
2003,3,2003-03-01,101.219,2199,"47.96048,-115.73361"
2003,4,2003-04-01,200.521,2199,"47.96048,-115.73361"
2003,5,2003-05-01,284.996,2199,"47.96048,-115.73361"
2003,6,2003-06-01,308.022,2199,"47.96048,-115.73361"
2003,7,2003-07-01,130.578,2199,"47.96048,-115.73361"
2003,8,2003-08-01,70.532,2199,"47.96048,-115.73361"
2003,9,2003-09-01,48.963,2199,"47.96048,-115.73361"
2003,10,2003-10-01,51.817,2199,"47.96048,-115.73361"
2003,11,2003-11-01,98.019,2199,"47.96048,-115.73361"
2003,12,2003-12-01,103.954,2199,"47.96048,-115.73361"
2004,1,2004-01-01,75.818,2199,"47.96048,-115.73361"
2004,2,2004-02-01,81.14,2199,"47.96048,-115.73361"
2004,3,2004-03-01,109.613,2199,"47.96048,-115.73361"
2004,4,2004-04-01,129.917,2199,"47.96048,-115.73361"
2004,5,2004-05-01,255.326,2199,"47.96048,-115.73361"
2004,6,2004-06-01,257.643,2199,"47.96048,-115.73361"
2004,7,2004-07-01,162.658,2199,"47.96048,-115.73361"
2004,8,2004-08-01,100.102,2199,"47.96048,-115.73361"
2004,9,2004-09-01,112.83,2199,"47.96048,-115.73361"
2004,10,2004-10-01,99.866,2199,"47.96048,-115.73361"
2004,11,2004-11-01,86.931,2199,"47.96048,-115.73361"
2004,12,2004-12-01,123.579,2199,"47.96048,-115.73361"
2005,1,2005-01-01,104.191,2199,"47.96048,-115.73361"
2005,2,2005-02-01,88.857,2199,"47.96048,-115.73361"
2005,3,2005-03-01,65.676,2199,"47.96048,-115.73361"
2005,4,2005-04-01,120.167,2199,"47.96048,-115.73361"
2005,5,2005-05-01,297.122,2199,"47.96048,-115.73361"
2005,6,2005-06-01,320.651,2199,"47.96048,-115.73361"
2005,7,2005-07-01,154.86,2199,"47.96048,-115.73361"
2005,8,2005-08-01,87.1,2199,"47.96048,-115.73361"
2005,9,2005-09-01,53.767,2199,"47.96048,-115.73361"
2005,10,2005-10-01,92.742,2199,"47.96048,-115.73361"
2005,11,2005-11-01,101.882,2199,"47.96048,-115.73361"
2005,12,2005-12-01,101.561,2199,"47.96048,-115.73361"
2006,1,2006-01-01,110.094,2199,"47.96048,-115.73361"
2006,2,2006-02-01,119.26,2199,"47.96048,-115.73361"
2006,3,2006-03-01,110.454,2199,"47.96048,-115.73361"
2006,4,2006-04-01,232.971,2199,"47.96048,-115.73361"
2006,5,2006-05-01,370.563,2199,"47.96048,-115.73361"
2006,6,2006-06-01,288.195,2199,"47.96048,-115.73361"
2006,7,2006-07-01,147.107,2199,"47.96048,-115.73361"
2006,8,2006-08-01,63.468,2199,"47.96048,-115.73361"
2006,9,2006-09-01,61.069,2199,"47.96048,-115.73361"
2006,10,2006-10-01,73.126,2199,"47.96048,-115.73361"
2006,11,2006-11-01,134.494,2199,"47.96048,-115.73361"
2006,12,2006-12-01,113.144,2199,"47.96048,-115.73361"
2007,1,2007-01-01,110.062,2199,"47.96048,-115.73361"
2007,2,2007-02-01,92.898,2199,"47.96048,-115.73361"
2007,3,2007-03-01,164.753,2199,"47.96048,-115.73361"
2007,4,2007-04-01,206.574,2199,"47.96048,-115.73361"
2007,5,2007-05-01,273.596,2199,"47.96048,-115.73361"
2007,6,2007-06-01,245.387,2199,"47.96048,-115.73361"
2007,7,2007-07-01,118.683,2199,"47.96048,-115.73361"
2007,8,2007-08-01,66.152,2199,"47.96048,-115.73361"
2007,9,2007-09-01,66.212,2199,"47.96048,-115.73361"
2007,10,2007-10-01,69.002,2199,"47.96048,-115.73361"
2007,11,2007-11-01,60.882,2199,"47.96048,-115.73361"
2007,12,2007-12-01,116.25,2199,"47.96048,-115.73361"
2008,1,2008-01-01,93.197,2199,"47.96048,-115.73361"
2008,2,2008-02-01,84.382,2199,"47.96048,-115.73361"
2008,3,2008-03-01,87.015,2199,"47.96048,-115.73361"
2008,4,2008-04-01,86.061,2199,"47.96048,-115.73361"
2008,5,2008-05-01,284.052,2199,"47.96048,-115.73361"
2008,6,2008-06-01,316.098,2199,"47.96048,-115.73361"
2008,7,2008-07-01,241.876,2199,"47.96048,-115.73361"
2008,8,2008-08-01,113.779,2199,"47.96048,-115.73361"
2008,9,2008-09-01,96.521,2199,"47.96048,-115.73361"
2008,10,2008-10-01,92.283,2199,"47.96048,-115.73361"
2008,11,2008-11-01,86.583,2199,"47.96048,-115.73361"
2008,12,2008-12-01,114.612,2199,"47.96048,-115.73361"
2009,1,2009-01-01,117.146,2199,"47.96048,-115.73361"
2009,2,2009-02-01,93.206,2199,"47.96048,-115.73361"
2009,3,2009-03-01,100.321,2199,"47.96048,-115.73361"
2009,4,2009-04-01,164.254,2199,"47.96048,-115.73361"
2009,5,2009-05-01,307.104,2199,"47.96048,-115.73361"
2009,6,2009-06-01,325.843,2199,"47.96048,-115.73361"
2009,7,2009-07-01,158.091,2199,"47.96048,-115.73361"
2009,8,2009-08-01,89.389,2199,"47.96048,-115.73361"
2009,9,2009-09-01,65.543,2199,"47.96048,-115.73361"
2009,10,2009-10-01,81.272,2199,"47.96048,-115.73361"
2009,11,2009-11-01,88.767,2199,"47.96048,-115.73361"
2009,12,2009-12-01,82.315,2199,"47.96048,-115.73361"
2010,1,2010-01-01,90.785,2199,"47.96048,-115.73361"
2010,2,2010-02-01,81.259,2199,"47.96048,-115.73361"
2010,3,2010-03-01,64.989,2199,"47.96048,-115.73361"
2010,4,2010-04-01,83.764,2199,"47.96048,-115.73361"
2010,5,2010-05-01,174.349,2199,"47.96048,-115.73361"
2010,6,2010-06-01,304.267,2199,"47.96048,-115.73361"
2010,7,2010-07-01,208.724,2199,"47.96048,-115.73361"
2010,8,2010-08-01,99.485,2199,"47.96048,-115.73361"
2010,9,2010-09-01,103.701,2199,"47.96048,-115.73361"
2010,10,2010-10-01,87.716,2199,"47.96048,-115.73361"
2010,11,2010-11-01,91.729,2199,"47.96048,-115.73361"
2010,12,2010-12-01,112.359,2199,"47.96048,-115.73361"
2011,1,2011-01-01,133.667,2199,"47.96048,-115.73361"
2011,2,2011-02-01,148,2199,"47.96048,-115.73361"
2011,3,2011-03-01,145.492,2199,"47.96048,-115.73361"
2011,4,2011-04-01,222.279,2199,"47.96048,-115.73361"
2011,5,2011-05-01,288.305,2199,"47.96048,-115.73361"
2011,6,2011-06-01,309.815,2199,"47.96048,-115.73361"
2011,7,2011-07-01,317.405,2199,"47.96048,-115.73361"
2011,8,2011-08-01,150.453,2199,"47.96048,-115.73361"
2011,9,2011-09-01,86.086,2199,"47.96048,-115.73361"
2011,10,2011-10-01,111.674,2199,"47.96048,-115.73361"
2011,11,2011-11-01,98.425,2199,"47.96048,-115.73361"
2011,12,2011-12-01,98.082,2199,"47.96048,-115.73361"
2012,1,2012-01-01,107.193,2199,"47.96048,-115.73361"
2012,2,2012-02-01,83.48,2199,"47.96048,-115.73361"
2012,3,2012-03-01,125.099,2199,"47.96048,-115.73361"
2012,4,2012-04-01,210.538,2199,"47.96048,-115.73361"
2012,5,2012-05-01,292.196,2199,"47.96048,-115.73361"
2012,6,2012-06-01,267.451,2199,"47.96048,-115.73361"
2012,7,2012-07-01,234.501,2199,"47.96048,-115.73361"
2012,8,2012-08-01,92.999,2199,"47.96048,-115.73361"
2012,9,2012-09-01,53.644,2199,"47.96048,-115.73361"
2012,10,2012-10-01,86.931,2199,"47.96048,-115.73361"
2012,11,2012-11-01,125.528,2199,"47.96048,-115.73361"
2012,12,2012-12-01,143.439,2199,"47.96048,-115.73361"
2013,1,2013-01-01,111.875,2199,"47.96048,-115.73361"
2013,2,2013-02-01,98.965,2199,"47.96048,-115.73361"
2013,3,2013-03-01,99.05,2199,"47.96048,-115.73361"
2013,4,2013-04-01,186.479,2199,"47.96048,-115.73361"
2013,5,2013-05-01,257.482,2199,"47.96048,-115.73361"
2013,6,2013-06-01,295.357,2199,"47.96048,-115.73361"
2013,7,2013-07-01,145.793,2199,"47.96048,-115.73361"
2013,8,2013-08-01,68.066,2199,"47.96048,-115.73361"
2013,9,2013-09-01,54.84,2199,"47.96048,-115.73361"
2013,10,2013-10-01,90.848,2199,"47.96048,-115.73361"
2013,11,2013-11-01,85.398,2199,"47.96048,-115.73361"
2013,12,2013-12-01,87.07,2199,"47.96048,-115.73361"
2014,1,2014-01-01,102.736,2199,"47.96048,-115.73361"
2014,2,2014-02-01,92.534,2199,"47.96048,-115.73361"
2014,3,2014-03-01,136.956,2199,"47.96048,-115.73361"
2014,4,2014-04-01,241.828,2199,"47.96048,-115.73361"
2014,5,2014-05-01,317.089,2199,"47.96048,-115.73361"
2014,6,2014-06-01,320.491,2199,"47.96048,-115.73361"
2014,7,2014-07-01,253.417,2199,"47.96048,-115.73361"
2014,8,2014-08-01,98.779,2199,"47.96048,-115.73361"
2014,9,2014-09-01,72.356,2199,"47.96048,-115.73361"
2014,10,2014-10-01,96.381,2199,"47.96048,-115.73361"
2014,11,2014-11-01,98.339,2199,"47.96048,-115.73361"
2014,12,2014-12-01,137.164,2199,"47.96048,-115.73361"
2015,1,2015-01-01,146.804,2199,"47.96048,-115.73361"
2015,2,2015-02-01,188.852,2199,"47.96048,-115.73361"
2015,3,2015-03-01,211.213,2199,"47.96048,-115.73361"
2015,4,2015-04-01,233.195,2199,"47.96048,-115.73361"
2015,5,2015-05-01,221.339,2199,"47.96048,-115.73361"
2015,6,2015-06-01,201.867,2199,"47.96048,-115.73361"
2015,7,2015-07-01,83.316,2199,"47.96048,-115.73361"
2015,8,2015-08-01,44.377,2199,"47.96048,-115.73361"
2015,9,2015-09-01,56.841,2199,"47.96048,-115.73361"
2015,10,2015-10-01,63.779,2199,"47.96048,-115.73361"
2015,11,2015-11-01,87.526,2199,"47.96048,-115.73361"
2015,12,2015-12-01,96.002,2199,"47.96048,-115.73361"
2016,1,2016-01-01,94.051,2199,"47.96048,-115.73361"
2016,2,2016-02-01,103.85,2199,"47.96048,-115.73361"
2016,3,2016-03-01,137.651,2199,"47.96048,-115.73361"
2016,4,2016-04-01,194.737,2199,"47.96048,-115.73361"
2016,5,2016-05-01,298.984,2199,"47.96048,-115.73361"
2016,6,2016-06-01,227.165,2199,"47.96048,-115.73361"
2016,7,2016-07-01,114.678,2199,"47.96048,-115.73361"
2016,8,2016-08-01,56.497,2199,"47.96048,-115.73361"
2016,9,2016-09-01,61.742,2199,"47.96048,-115.73361"
2016,10,2016-10-01,112.487,2199,"47.96048,-115.73361"
2016,11,2016-11-01,155.83,2199,"47.96048,-115.73361"
2016,12,2016-12-01,137.97,2199,"47.96048,-115.73361"
2017,1,2017-01-01,144.794392,2199,"47.96048,-115.73361"
2017,2,2017-02-01,125.084917,2199,"47.96048,-115.73361"
2017,3,2017-03-01,169.402581,2199,"47.96048,-115.73361"
2017,4,2017-04-01,164.293162,2199,"47.96048,-115.73361"
2017,5,2017-05-01,165.823885,2199,"47.96048,-115.73361"
2017,6,2017-06-01,173.846358,2199,"47.96048,-115.73361"
2017,7,2017-07-01,188.808512,2199,"47.96048,-115.73361"
2017,8,2017-08-01,174.012518,2199,"47.96048,-115.73361"
2017,9,2017-09-01,137.745605,2199,"47.96048,-115.73361"
2017,10,2017-10-01,132.763058,2199,"47.96048,-115.73361"
2017,11,2017-11-01,144.937278,2199,"47.96048,-115.73361"
2017,12,2017-12-01,144.631734,2199,"47.96048,-115.73361"
2018,1,2018-01-01,138.886275,2199,"47.96048,-115.73361"
2018,2,2018-02-01,149.974437,2199,"47.96048,-115.73361"
2018,3,2018-03-01,171.958466,2199,"47.96048,-115.73361"
2018,4,2018-04-01,178.055634,2199,"47.96048,-115.73361"
2018,5,2018-05-01,181.007497,2199,"47.96048,-115.73361"
2018,6,2018-06-01,177.973705,2199,"47.96048,-115.73361"
2018,7,2018-07-01,170.588105,2199,"47.96048,-115.73361"
2018,8,2018-08-01,167.574102,2199,"47.96048,-115.73361"
2018,9,2018-09-01,137.284778,2199,"47.96048,-115.73361"
2018,10,2018-10-01,126.682558,2199,"47.96048,-115.73361"
2018,11,2018-11-01,121.578576,2199,"47.96048,-115.73361"
2018,12,2018-12-01,119.057867,2199,"47.96048,-115.73361"
