"Year","Month","date","Generation_GWh","EIA_Plant_ID","latlon"
2003,1,2003-01-01,65.85,270,"40.847462,-121.990798"
2003,2,2003-02-01,41.5,270,"40.847462,-121.990798"
2003,3,2003-03-01,45.794,270,"40.847462,-121.990798"
2003,4,2003-04-01,63.207,270,"40.847462,-121.990798"
2003,5,2003-05-01,70.449,270,"40.847462,-121.990798"
2003,6,2003-06-01,37.116,270,"40.847462,-121.990798"
2003,7,2003-07-01,32.851,270,"40.847462,-121.990798"
2003,8,2003-08-01,27.437,270,"40.847462,-121.990798"
2003,9,2003-09-01,31.154,270,"40.847462,-121.990798"
2003,10,2003-10-01,30.412,270,"40.847462,-121.990798"
2003,11,2003-11-01,30.004,270,"40.847462,-121.990798"
2003,12,2003-12-01,53.814,270,"40.847462,-121.990798"
2004,1,2004-01-01,45.209,270,"40.847462,-121.990798"
2004,2,2004-02-01,58.907,270,"40.847462,-121.990798"
2004,3,2004-03-01,72.902,270,"40.847462,-121.990798"
2004,4,2004-04-01,54.015,270,"40.847462,-121.990798"
2004,5,2004-05-01,45.398,270,"40.847462,-121.990798"
2004,6,2004-06-01,36.546,270,"40.847462,-121.990798"
2004,7,2004-07-01,34.092,270,"40.847462,-121.990798"
2004,8,2004-08-01,30.267,270,"40.847462,-121.990798"
2004,9,2004-09-01,28.437,270,"40.847462,-121.990798"
2004,10,2004-10-01,29.689,270,"40.847462,-121.990798"
2004,11,2004-11-01,29.252,270,"40.847462,-121.990798"
2004,12,2004-12-01,40.02,270,"40.847462,-121.990798"
2005,1,2005-01-01,40.337,270,"40.847462,-121.990798"
2005,2,2005-02-01,42.283,270,"40.847462,-121.990798"
2005,3,2005-03-01,60.795,270,"40.847462,-121.990798"
2005,4,2005-04-01,54.735,270,"40.847462,-121.990798"
2005,5,2005-05-01,74.491,270,"40.847462,-121.990798"
2005,6,2005-06-01,44.699,270,"40.847462,-121.990798"
2005,7,2005-07-01,32.189,270,"40.847462,-121.990798"
2005,8,2005-08-01,30.29,270,"40.847462,-121.990798"
2005,9,2005-09-01,27.722,270,"40.847462,-121.990798"
2005,10,2005-10-01,29.779,270,"40.847462,-121.990798"
2005,11,2005-11-01,34.865,270,"40.847462,-121.990798"
2005,12,2005-12-01,52.889,270,"40.847462,-121.990798"
2006,1,2006-01-01,68.439,270,"40.847462,-121.990798"
2006,2,2006-02-01,65.889,270,"40.847462,-121.990798"
2006,3,2006-03-01,81.547,270,"40.847462,-121.990798"
2006,4,2006-04-01,77.773,270,"40.847462,-121.990798"
2006,5,2006-05-01,72.759,270,"40.847462,-121.990798"
2006,6,2006-06-01,44.489,270,"40.847462,-121.990798"
