"DATE / TIME (PDT)","STORAGE AF",""
"01/01/1950","--",""
"02/01/1950","--",""
"03/01/1950","--",""
"04/01/1950","--",""
"05/01/1950","--",""
"06/01/1950","--",""
"07/01/1950","--",""
"08/01/1950","--",""
"09/01/1950","--",""
"10/01/1950","--",""
"11/01/1950","--",""
"12/01/1950","--",""
"01/01/1951","--",""
"02/01/1951","--",""
"03/01/1951","--",""
"04/01/1951","--",""
"05/01/1951","--",""
"06/01/1951","--",""
"07/01/1951","--",""
"08/01/1951","--",""
"09/01/1951","--",""
"10/01/1951","--",""
"11/01/1951","2,700",""
"12/01/1951","2,700",""
"01/01/1952","2,950",""
"02/01/1952","2,840",""
"03/01/1952","2,800",""
"04/01/1952","2,860",""
"05/01/1952","92,800",""
"06/01/1952","98,300",""
"07/01/1952","280",""
"08/01/1952","20",""
"09/01/1952","--",""
"10/01/1952","--",""
"11/01/1952","--",""
"12/01/1952","--",""
"01/01/1953","--",""
"02/01/1953","--",""
"03/01/1953","--",""
"04/01/1953","208",""
"05/01/1953","31",""
"06/01/1953","33",""
"07/01/1953","16",""
"08/01/1953","--",""
"09/01/1953","--",""
"10/01/1953","0",""
"11/01/1953","0",""
"12/01/1953","0",""
"01/01/1954","0",""
"02/01/1954","30,866",""
"03/01/1954","58,698",""
"04/01/1954","153,831",""
"05/01/1954","422,688",""
"06/01/1954","358,663",""
"07/01/1954","172,195",""
"08/01/1954","74,867",""
"09/01/1954","63,095",""
"10/01/1954","66,344",""
"11/01/1954","81,249",""
"12/01/1954","103,801",""
"01/01/1955","139,253",""
"02/01/1955","174,352",""
"03/01/1955","157,649",""
"04/01/1955","187,902",""
"05/01/1955","361,186",""
"06/01/1955","379,061",""
"07/01/1955","233,610",""
"08/01/1955","119,426",""
"09/01/1955","69,608",""
"10/01/1955","72,229",""
"11/01/1955","83,928",""
"12/01/1955","477,300",""
"01/01/1956","674,257",""
"02/01/1956","552,048",""
"03/01/1956","429,581",""
"04/01/1956","538,076",""
"05/01/1956","828,041",""
"06/01/1956","937,432",""
"07/01/1956","730,789",""
"08/01/1956","476,544",""
"09/01/1956","405,789",""
"10/01/1956","424,490",""
"11/01/1956","439,704",""
"12/01/1956","448,988",""
"01/01/1957","447,223",""
"02/01/1957","483,930",""
"03/01/1957","468,917",""
"04/01/1957","518,650",""
"05/01/1957","736,999",""
"06/01/1957","868,085",""
"07/01/1957","565,912",""
"08/01/1957","363,926",""
"09/01/1957","291,755",""
"10/01/1957","294,773",""
"11/01/1957","316,310",""
"12/01/1957","348,765",""
"01/01/1958","375,490",""
"02/01/1958","453,416",""
"03/01/1958","588,118",""
"04/01/1958","750,876",""
"05/01/1958","921,209",""
"06/01/1958","996,820",""
"07/01/1958","835,848",""
"08/01/1958","621,450",""
"09/01/1958","585,553",""
"10/01/1958","596,871",""
"11/01/1958","606,639",""
"12/01/1958","614,180",""
"01/01/1959","625,333",""
"02/01/1959","663,463",""
"03/01/1959","637,839",""
"04/01/1959","687,726",""
"05/01/1959","655,474",""
"06/01/1959","490,018",""
"07/01/1959","420,879",""
"08/01/1959","354,076",""
"09/01/1959","310,418",""
"10/01/1959","316,632",""
"11/01/1959","321,036",""
"12/01/1959","321,552",""
"01/01/1960","328,369",""
"02/01/1960","362,410",""
"03/01/1960","384,792",""
"04/01/1960","417,616",""
"05/01/1960","486,850",""
"06/01/1960","371,405",""
"07/01/1960","288,783",""
"08/01/1960","239,425",""
"09/01/1960","231,835",""
"10/01/1960","237,156",""
"11/01/1960","255,738",""
"12/01/1960","271,901",""
"01/01/1961","278,998",""
"02/01/1961","290,558",""
"03/01/1961","294,928",""
"04/01/1961","342,862",""
"05/01/1961","398,352",""
"06/01/1961","360,661",""
"07/01/1961","202,697",""
"08/01/1961","142,547",""
"09/01/1961","110,185",""
"10/01/1961","113,936",""
"11/01/1961","126,847",""
"12/01/1961","151,902",""
"01/01/1962","166,249",""
"02/01/1962","307,698",""
"03/01/1962","354,619",""
"04/01/1962","526,459",""
"05/01/1962","591,174",""
"06/01/1962","646,883",""
"07/01/1962","467,505",""
"08/01/1962","321,552",""
"09/01/1962","247,397",""
"10/01/1962","265,217",""
"11/01/1962","285,797",""
"12/01/1962","287,866",""
"01/01/1963","346,311",""
"02/01/1963","513,202",""
"03/01/1963","523,254",""
"04/01/1963","657,538",""
"05/01/1963","859,460",""
"06/01/1963","923,190",""
"07/01/1963","770,775",""
"08/01/1963","526,877",""
"09/01/1963","467,191",""
"10/01/1963","511,886",""
"11/01/1963","589,845",""
"12/01/1963","630,559",""
"01/01/1964","616,447",""
"02/01/1964","604,480",""
"03/01/1964","544,423",""
"04/01/1964","621,633",""
"05/01/1964","692,874",""
"06/01/1964","537,276",""
"07/01/1964","336,351",""
"08/01/1964","261,194",""
"09/01/1964","191,863",""
"10/01/1964","210,790",""
"11/01/1964","253,790",""
"12/01/1964","388,525",""
"01/01/1965","509,421",""
"02/01/1965","536,812",""
"03/01/1965","503,007",""
"04/01/1965","623,596",""
"05/01/1965","694,226",""
"06/01/1965","705,948",""
"07/01/1965","557,580",""
"08/01/1965","455,195",""
"09/01/1965","419,319",""
"10/01/1965","457,711",""
"11/01/1965","523,462",""
"12/01/1965","577,503",""
"01/01/1966","609,341",""
"02/01/1966","620,903",""
"03/01/1966","528,504",""
"04/01/1966","608,304",""
"05/01/1966","686,240",""
"06/01/1966","504,351",""
"07/01/1966","321,647",""
"08/01/1966","270,242",""
"09/01/1966","211,228",""
"10/01/1966","229,955",""
"11/01/1966","273,234",""
"12/01/1966","559,429",""
"01/01/1967","646,787",""
"02/01/1967","705,851",""
"03/01/1967","780,375",""
"04/01/1967","845,798",""
"05/01/1967","844,935",""
"06/01/1967","957,641",""
"07/01/1967","963,098",""
"08/01/1967","742,792",""
"09/01/1967","666,012",""
"10/01/1967","650,002",""
"11/01/1967","692,778",""
"12/01/1967","699,589",""
"01/01/1968","680,450",""
"02/01/1968","707,019",""
"03/01/1968","655,708",""
"04/01/1968","670,033",""
"05/01/1968","739,143",""
"06/01/1968","558,137",""
"07/01/1968","378,470",""
"08/01/1968","349,236",""
"09/01/1968","306,592",""
"10/01/1968","342,094",""
"11/01/1968","380,336",""
"12/01/1968","420,877",""
"01/01/1969","783,212",""
"02/01/1969","818,947",""
"03/01/1969","664,595",""
"04/01/1969","581,190",""
"05/01/1969","926,143",""
"06/01/1969","951,799",""
"07/01/1969","968,689",""
"08/01/1969","819,477",""
"09/01/1969","712,531",""
"10/01/1969","666,862",""
"11/01/1969","668,849",""
"12/01/1969","690,179",""
"01/01/1970","722,637",""
"02/01/1970","769,496",""
"03/01/1970","803,555",""
"04/01/1970","814,185",""
"05/01/1970","923,135",""
"06/01/1970","829,320",""
"07/01/1970","616,309",""
"08/01/1970","522,131",""
"09/01/1970","498,940",""
"10/01/1970","514,148",""
"11/01/1970","541,031",""
"12/01/1970","603,716",""
"01/01/1971","653,927",""
"02/01/1971","700,704",""
"03/01/1971","670,507",""
"04/01/1971","720,669",""
"05/01/1971","812,496",""
"06/01/1971","748,259",""
"07/01/1971","550,380",""
"08/01/1971","403,095",""
"09/01/1971","368,797",""
"10/01/1971","385,216",""
"11/01/1971","400,774",""
"12/01/1971","426,992",""
"01/01/1972","453,917",""
"02/01/1972","452,450",""
"03/01/1972","430,180",""
"04/01/1972","488,812",""
"05/01/1972","573,872",""
"06/01/1972","487,168",""
"07/01/1972","250,709",""
"08/01/1972","199,149",""
"09/01/1972","209,828",""
"10/01/1972","243,378",""
"11/01/1972","285,613",""
"12/01/1972","325,729",""
"01/01/1973","393,027",""
"02/01/1973","484,487",""
"03/01/1973","583,700",""
"04/01/1973","558,008",""
"05/01/1973","839,820",""
"06/01/1973","947,130",""
"07/01/1973","688,497",""
"08/01/1973","489,776",""
"09/01/1973","425,683",""
"10/01/1973","452,566",""
"11/01/1973","509,094",""
"12/01/1973","543,149",""
"01/01/1974","654,302",""
"02/01/1974","690,805",""
"03/01/1974","782,128",""
"04/01/1974","816,299",""
"05/01/1974","970,266",""
"06/01/1974","974,168",""
"07/01/1974","721,603",""
"08/01/1974","527,919",""
"09/01/1974","465,779",""
"10/01/1974","464,253",""
"11/01/1974","480,102",""
"12/01/1974","490,580",""
"01/01/1975","503,372",""
"02/01/1975","558,051",""
"03/01/1975","586,524",""
"04/01/1975","571,778",""
"05/01/1975","772,566",""
"06/01/1975","824,523",""
"07/01/1975","606,682",""
"08/01/1975","426,281",""
"09/01/1975","354,380",""
"10/01/1975","406,849",""
"11/01/1975","456,433",""
"12/01/1975","475,725",""
"01/01/1976","480,732",""
"02/01/1976","503,147",""
"03/01/1976","516,576",""
"04/01/1976","546,956",""
"05/01/1976","577,358",""
"06/01/1976","423,138",""
"07/01/1976","259,975",""
"08/01/1976","195,398",""
"09/01/1976","207,654",""
"10/01/1976","230,276",""
"11/01/1976","246,150",""
"12/01/1976","253,369",""
"01/01/1977","266,291",""
"02/01/1977","275,660",""
"03/01/1977","291,954",""
"04/01/1977","338,592",""
"05/01/1977","390,068",""
"06/01/1977","341,790",""
"07/01/1977","126,459",""
"08/01/1977","67,176",""
"09/01/1977","67,889",""
"10/01/1977","79,589",""
"11/01/1977","93,509",""
"12/01/1977","152,664",""
"01/01/1978","309,692",""
"02/01/1978","507,767",""
"03/01/1978","545,467",""
"04/01/1978","488,132",""
"05/01/1978","606,007",""
"06/01/1978","884,480",""
"07/01/1978","876,809",""
"08/01/1978","652,163",""
