$DateFormat=mm/dd/yyyy,
$Columns=Meas Date,Streamflow Value
4/7/1900,225
4/8/1900,267
4/9/1900,267
4/10/1900,291
4/11/1900,245
4/12/1900,267
4/13/1900,317
4/14/1900,345
4/15/1900,505
4/16/1900,505
4/17/1900,436
4/18/1900,505
4/19/1900,622
4/20/1900,954
4/21/1900,1360
4/22/1900,1600
4/23/1900,1660
4/24/1900,1660
4/25/1900,1720
4/26/1900,1660
4/27/1900,1660
4/28/1900,1900
4/29/1900,2440
4/30/1900,2260
5/1/1900,2210
5/2/1900,2150
5/3/1900,2450
5/4/1900,2560
5/5/1900,2560
5/6/1900,2600
5/7/1900,2600
5/8/1900,2500
5/9/1900,2800
5/10/1900,2900
5/11/1900,3000
5/12/1900,3100
5/13/1900,2800
5/14/1900,2700
5/15/1900,2600
5/16/1900,2570
5/17/1900,2570
5/18/1900,2630
5/19/1900,2630
5/20/1900,2090
5/21/1900,2090
5/22/1900,2270
5/23/1900,2270
5/24/1900,2150
5/25/1900,2150
5/26/1900,2270
5/27/1900,2330
5/28/1900,2510
5/29/1900,2570
5/30/1900,2630
5/31/1900,2690
6/1/1900,
6/2/1900,
6/3/1900,
6/4/1900,
6/5/1900,
6/6/1900,
6/7/1900,
6/8/1900,
6/9/1900,
6/10/1900,
6/11/1900,
6/12/1900,
6/13/1900,
6/14/1900,
6/15/1900,
6/16/1900,
6/17/1900,
6/18/1900,
6/19/1900,
6/20/1900,
6/21/1900,
6/22/1900,
6/23/1900,
6/24/1900,
6/25/1900,
6/26/1900,
6/27/1900,
6/28/1900,
6/29/1900,
6/30/1900,
7/1/1900,
7/2/1900,
7/3/1900,
7/4/1900,
7/5/1900,
7/6/1900,
7/7/1900,
7/8/1900,
7/9/1900,
7/10/1900,
7/11/1900,
7/12/1900,
7/13/1900,
7/14/1900,
7/15/1900,
7/16/1900,
7/17/1900,
7/18/1900,
7/19/1900,
7/20/1900,
7/21/1900,
7/22/1900,
7/23/1900,
7/24/1900,
7/25/1900,
7/26/1900,
7/27/1900,
7/28/1900,
7/29/1900,
7/30/1900,
7/31/1900,
8/1/1900,
8/2/1900,
8/3/1900,
8/4/1900,
8/5/1900,
8/6/1900,
8/7/1900,
8/8/1900,
8/9/1900,
8/10/1900,
8/11/1900,
8/12/1900,
8/13/1900,
8/14/1900,
8/15/1900,
8/16/1900,
8/17/1900,
8/18/1900,
8/19/1900,
8/20/1900,
8/21/1900,
8/22/1900,
8/23/1900,
8/24/1900,
8/25/1900,
8/26/1900,
8/27/1900,
8/28/1900,
8/29/1900,
8/30/1900,
8/31/1900,
9/1/1900,
9/2/1900,
9/3/1900,
9/4/1900,
9/5/1900,
9/6/1900,
9/7/1900,
9/8/1900,
9/9/1900,
9/10/1900,
9/11/1900,
9/12/1900,
9/13/1900,
9/14/1900,
9/15/1900,
9/16/1900,
9/17/1900,
9/18/1900,
9/19/1900,
9/20/1900,
9/21/1900,
9/22/1900,
9/23/1900,
9/24/1900,
9/25/1900,
9/26/1900,
9/27/1900,
9/28/1900,
9/29/1900,
9/30/1900,
10/1/1900,
10/2/1900,
10/3/1900,
10/4/1900,
10/5/1900,
10/6/1900,
10/7/1900,
10/8/1900,
10/9/1900,
10/10/1900,
10/11/1900,
10/12/1900,
10/13/1900,
10/14/1900,
10/15/1900,
10/16/1900,
10/17/1900,
10/18/1900,
10/19/1900,
10/20/1900,
10/21/1900,
10/22/1900,
10/23/1900,
10/24/1900,
10/25/1900,
10/26/1900,
10/27/1900,
10/28/1900,
10/29/1900,
10/30/1900,
10/31/1900,
11/1/1900,
11/2/1900,
11/3/1900,
11/4/1900,
11/5/1900,
11/6/1900,
11/7/1900,
11/8/1900,
11/9/1900,
11/10/1900,
11/11/1900,
11/12/1900,
11/13/1900,
11/14/1900,
11/15/1900,
11/16/1900,
11/17/1900,
11/18/1900,
11/19/1900,
11/20/1900,
11/21/1900,
11/22/1900,
11/23/1900,
11/24/1900,
11/25/1900,
11/26/1900,
11/27/1900,
11/28/1900,
11/29/1900,
11/30/1900,
12/1/1900,
12/2/1900,
12/3/1900,
12/4/1900,
12/5/1900,
12/6/1900,
12/7/1900,
12/8/1900,
12/9/1900,
12/10/1900,
12/11/1900,
12/12/1900,
12/13/1900,
12/14/1900,
12/15/1900,
12/16/1900,
12/17/1900,
12/18/1900,
12/19/1900,
12/20/1900,
12/21/1900,
12/22/1900,
12/23/1900,
12/24/1900,
12/25/1900,
12/26/1900,
12/27/1900,
12/28/1900,
12/29/1900,
12/30/1900,
12/31/1900,
1/1/1901,
1/2/1901,
1/3/1901,
1/4/1901,
1/5/1901,
1/6/1901,
1/7/1901,
1/8/1901,
1/9/1901,
1/10/1901,
1/11/1901,
1/12/1901,
1/13/1901,
1/14/1901,
1/15/1901,
1/16/1901,
1/17/1901,
1/18/1901,
1/19/1901,
1/20/1901,
1/21/1901,
1/22/1901,
1/23/1901,
1/24/1901,
1/25/1901,
1/26/1901,
1/27/1901,
1/28/1901,
1/29/1901,
1/30/1901,
1/31/1901,
2/1/1901,
2/2/1901,
2/3/1901,
2/4/1901,
2/5/1901,
2/6/1901,
2/7/1901,
2/8/1901,
2/9/1901,
2/10/1901,
2/11/1901,
2/12/1901,
2/13/1901,
2/14/1901,
2/15/1901,
2/16/1901,
2/17/1901,
2/18/1901,
2/19/1901,
2/20/1901,
2/21/1901,
2/22/1901,
2/23/1901,
2/24/1901,
2/25/1901,
2/26/1901,
2/27/1901,
2/28/1901,
3/1/1901,
3/2/1901,
3/3/1901,
3/4/1901,
3/5/1901,
3/6/1901,
3/7/1901,
3/8/1901,
3/9/1901,
3/10/1901,
3/11/1901,
3/12/1901,
3/13/1901,
3/14/1901,
3/15/1901,
3/16/1901,
3/17/1901,
3/18/1901,
3/19/1901,
3/20/1901,
3/21/1901,
3/22/1901,
3/23/1901,
3/24/1901,
3/25/1901,
3/26/1901,
3/27/1901,
3/28/1901,
3/29/1901,
3/30/1901,
3/31/1901,
4/1/1901,
4/2/1901,
4/3/1901,
4/4/1901,
4/5/1901,
4/6/1901,
4/7/1901,
4/8/1901,
4/9/1901,
4/10/1901,
4/11/1901,
4/12/1901,
4/13/1901,
4/14/1901,
4/15/1901,
4/16/1901,
4/17/1901,
4/18/1901,
4/19/1901,
4/20/1901,
4/21/1901,
4/22/1901,
4/23/1901,
4/24/1901,
4/25/1901,
4/26/1901,
4/27/1901,
4/28/1901,
4/29/1901,
4/30/1901,
5/1/1901,
5/2/1901,
5/3/1901,
5/4/1901,
5/5/1901,
5/6/1901,
5/7/1901,
5/8/1901,
5/9/1901,
5/10/1901,
5/11/1901,
5/12/1901,
5/13/1901,
5/14/1901,
5/15/1901,
5/16/1901,
5/17/1901,
5/18/1901,
5/19/1901,
5/20/1901,
5/21/1901,
5/22/1901,
5/23/1901,
5/24/1901,
5/25/1901,
5/26/1901,
5/27/1901,
5/28/1901,
5/29/1901,
5/30/1901,
5/31/1901,
6/1/1901,1040
6/2/1901,1100
6/3/1901,1100
6/4/1901,1070
6/5/1901,1010
6/6/1901,628
6/7/1901,393
6/8/1901,407
6/9/1901,547
6/10/1901,521
6/11/1901,470
6/12/1901,444
6/13/1901,523
6/14/1901,550
6/15/1901,812
6/16/1901,866
6/17/1901,826
6/18/1901,586
6/19/1901,505
6/20/1901,525
6/21/1901,453
6/22/1901,469
6/23/1901,525
6/24/1901,505
6/25/1901,487
6/26/1901,505
6/27/1901,437
6/28/1901,446
6/29/1901,428
6/30/1901,390
7/1/1901,376
7/2/1901,444
7/3/1901,394
7/4/1901,346
7/5/1901,300
7/6/1901,278
7/7/1901,300
7/8/1901,300
7/9/1901,300
7/10/1901,278
7/11/1901,256
7/12/1901,256
7/13/1901,235
7/14/1901,214
7/15/1901,214
7/16/1901,195
7/17/1901,174
7/18/1901,174
7/19/1901,175
7/20/1901,175
7/21/1901,139
7/22/1901,139
7/23/1901,157
7/24/1901,157
7/25/1901,175
7/26/1901,175
7/27/1901,235
7/28/1901,232
7/29/1901,228
7/30/1901,223
7/31/1901,217
8/1/1901,211
8/2/1901,205
8/3/1901,199
8/4/1901,276
8/5/1901,337
8/6/1901,840
8/7/1901,634
8/8/1901,676
8/9/1901,697
8/10/1901,994
8/11/1901,760
8/12/1901,550
8/13/1901,370
8/14/1901,323
8/15/1901,300
8/16/1901,256
8/17/1901,235
8/18/1901,370
8/19/1901,346
8/20/1901,394
8/21/1901,370
8/22/1901,346
8/23/1901,323
8/24/1901,278
8/25/1901,278
8/26/1901,256
8/27/1901,256
8/28/1901,235
8/29/1901,256
8/30/1901,323
8/31/1901,370
9/1/1901,346
9/2/1901,346
9/3/1901,323
9/4/1901,300
9/5/1901,256
9/6/1901,235
9/7/1901,214
9/8/1901,214
9/9/1901,195
9/10/1901,175
9/11/1901,195
9/12/1901,195
9/13/1901,175
9/14/1901,157
9/15/1901,175
9/16/1901,175
9/17/1901,157
9/18/1901,157
9/19/1901,139
9/20/1901,139
9/21/1901,157
9/22/1901,139
9/23/1901,157
9/24/1901,157
9/25/1901,139
9/26/1901,123
9/27/1901,139
9/28/1901,157
9/29/1901,139
9/30/1901,139
10/1/1901,123
10/2/1901,123
10/3/1901,117
10/4/1901,100
10/5/1901,100
10/6/1901,114
10/7/1901,143
10/8/1901,128
10/9/1901,128
10/10/1901,143
10/11/1901,158
10/12/1901,158
10/13/1901,178
10/14/1901,178
10/15/1901,158
10/16/1901,127
10/17/1901,108
10/18/1901,108
10/19/1901,100
10/20/1901,100
10/21/1901,96
10/22/1901,81
10/23/1901,85
10/24/1901,89
10/25/1901,89
10/26/1901,93
10/27/1901,93
10/28/1901,93
10/29/1901,93
