$DateFormat=yyyy-mm-dd,#Daily_mean_discharge_cfs
1966-10-01,1720
1966-10-02,1770
1966-10-03,1810
1966-10-04,1790
1966-10-05,1720
1966-10-06,1750
1966-10-07,1720
1966-10-08,1660
1966-10-09,1610
1966-10-10,1610
1966-10-11,1700
1966-10-12,1720
1966-10-13,1810
1966-10-14,1750
1966-10-15,1430
1966-10-16,1100
1966-10-17,1060
1966-10-18,1110
1966-10-19,1090
1966-10-20,1190
1966-10-21,1400
1966-10-22,1310
1966-10-23,1420
1966-10-24,1480
1966-10-25,1540
1966-10-26,1360
1966-10-27,1350
1966-10-28,1350
1966-10-29,1260
1966-10-30,1180
1966-10-31,1140
1966-11-01,1100
1966-11-02,1060
1966-11-03,1050
1966-11-04,1000
1966-11-05,1000
1966-11-06,1020
1966-11-07,984
1966-11-08,984
1966-11-09,984
1966-11-10,936
1966-11-11,920
1966-11-12,920
1966-11-13,1030
1966-11-14,1140
1966-11-15,1160
1966-11-16,1280
1966-11-17,1300
1966-11-18,1210
1966-11-19,1210
1966-11-20,1260
1966-11-21,1430
1966-11-22,1420
1966-11-23,1280
1966-11-24,1240
1966-11-25,1230
1966-11-26,1420
1966-11-27,1730
1966-11-28,1700
1966-11-29,1570
1966-11-30,1540
1966-12-01,2240
1966-12-02,3110
1966-12-03,2910
1966-12-04,2570
1966-12-05,2390
1966-12-06,2180
1966-12-07,2050
1966-12-08,1880
1966-12-09,1720
1966-12-10,1680
1966-12-11,1640
1966-12-12,1610
1966-12-13,1940
1966-12-14,3490
1966-12-15,3650
1966-12-16,3350
1966-12-17,3250
1966-12-18,3450
1966-12-19,3880
1966-12-20,4210
1966-12-21,4450
1966-12-22,3990
1966-12-23,3530
1966-12-24,3190
1966-12-25,2990
1966-12-26,2710
1966-12-27,2510
1966-12-28,2320
1966-12-29,2240
1966-12-30,2240
1966-12-31,2160
1967-01-01,2110
1967-01-02,2160
1967-01-03,2140
1967-01-04,2240
1967-01-05,2260
1967-01-06,2050
1967-01-07,1960
1967-01-08,1820
1967-01-09,1820
1967-01-10,1860
1967-01-11,1820
1967-01-12,1960
1967-01-13,2070
1967-01-14,2220
1967-01-15,2610
1967-01-16,3310
1967-01-17,3410
1967-01-18,2990
1967-01-19,2750
1967-01-20,2730
1967-01-21,2570
1967-01-22,2340
1967-01-23,2140
1967-01-24,2050
1967-01-25,1900
1967-01-26,1860
1967-01-27,1820
1967-01-28,1970
1967-01-29,2910
1967-01-30,3820
1967-01-31,3780
1967-02-01,3450
1967-02-02,3190
1967-02-03,3010
1967-02-04,3110
1967-02-05,4220
1967-02-06,4340
1967-02-07,3970
1967-02-08,3900
1967-02-09,3710
1967-02-10,3490
1967-02-11,3470
1967-02-12,3350
1967-02-13,3350
1967-02-14,3330
1967-02-15,3110
1967-02-16,2990
1967-02-17,2970
1967-02-18,3070
1967-02-19,3110
1967-02-20,2870
1967-02-21,2810
1967-02-22,2750
1967-02-23,2690
1967-02-24,2650
1967-02-25,2630
1967-02-26,2580
1967-02-27,2520
1967-02-28,2520
1967-03-01,2500
1967-03-02,2470
1967-03-03,2260
1967-03-04,2140
1967-03-05,2090
1967-03-06,2070
1967-03-07,2040
1967-03-08,2070
1967-03-09,2240
1967-03-10,2010
1967-03-11,2090
1967-03-12,2060
1967-03-13,1990
1967-03-14,1930
1967-03-15,1770
1967-03-16,1700
1967-03-17,1800
1967-03-18,1700
1967-03-19,1700
1967-03-20,1600
1967-03-21,1600
1967-03-22,1700
1967-03-23,1800
1967-03-24,1900
1967-03-25,2000
1967-03-26,1800
1967-03-27,1700
1967-03-28,1560
1967-03-29,1480
1967-03-30,1520
1967-03-31,1880
1967-04-01,1900
1967-04-02,1850
1967-04-03,1860
1967-04-04,2200
1967-04-05,2420
1967-04-06,2260
1967-04-07,2120
1967-04-08,2550
1967-04-09,3100
1967-04-10,3010
1967-04-11,2610
1967-04-12,2520
1967-04-13,2680
1967-04-14,2720
1967-04-15,2680
1967-04-16,2760
1967-04-17,2860
1967-04-18,3000
1967-04-19,3230
1967-04-20,3160
1967-04-21,3260
1967-04-22,3150
1967-04-23,2920
1967-04-24,2830
1967-04-25,2830
1967-04-26,2800
1967-04-27,2830
1967-04-28,3100
1967-04-29,3010
1967-04-30,3060
1967-05-01,2960
1967-05-02,2900
1967-05-03,3080
1967-05-04,3320
1967-05-05,3310
1967-05-06,3660
1967-05-07,4370
1967-05-08,5680
1967-05-09,6230
1967-05-10,5660
1967-05-11,4660
1967-05-12,3810
1967-05-13,3450
1967-05-14,3620
1967-05-15,3870
1967-05-16,4290
1967-05-17,5840
1967-05-18,7340
1967-05-19,6960
1967-05-20,7020
1967-05-21,8490
1967-05-22,10100
1967-05-23,8950
1967-05-24,7580
1967-05-25,6630
1967-05-26,6630
1967-05-27,6430
1967-05-28,6470
1967-05-29,7000
1967-05-30,7120
1967-05-31,6670
1967-06-01,6250
1967-06-02,7140
1967-06-03,8280
1967-06-04,8850
1967-06-05,8200
1967-06-06,8150
1967-06-07,8250
1967-06-08,8080
1967-06-09,7790
1967-06-10,7500
1967-06-11,7220
1967-06-12,7050
1967-06-13,6710
1967-06-14,6670
1967-06-15,6850
1967-06-16,8060
1967-06-17,9340
1967-06-18,9710
1967-06-19,10000
1967-06-20,9560
1967-06-21,11200
1967-06-22,12300
1967-06-23,11000
1967-06-24,8750
1967-06-25,7700
1967-06-26,7550
1967-06-27,7530
1967-06-28,7220
1967-06-29,6210
1967-06-30,5940
1967-07-01,4980
1967-07-02,4500
1967-07-03,4370
1967-07-04,4230
1967-07-05,3900
1967-07-06,3500
1967-07-07,3390
1967-07-08,3760
1967-07-09,3900
1967-07-10,3740
1967-07-11,3570
1967-07-12,3570
1967-07-13,3520
1967-07-14,3240
1967-07-15,3360
1967-07-16,3370
1967-07-17,3320
1967-07-18,3780
1967-07-19,3810
1967-07-20,3710
1967-07-21,3680
1967-07-22,3710
1967-07-23,3680
1967-07-24,3620
1967-07-25,3520
1967-07-26,3470
1967-07-27,3490
1967-07-28,3590
1967-07-29,3560
1967-07-30,3540
1967-07-31,3520
1967-08-01,3370
1967-08-02,3310
1967-08-03,3390
1967-08-04,3320
1967-08-05,3310
1967-08-06,3490
1967-08-07,3660
1967-08-08,3570
1967-08-09,3400
1967-08-10,3290
1967-08-11,3280
1967-08-12,3370
1967-08-13,3360
1967-08-14,3340
1967-08-15,3260
1967-08-16,3260
1967-08-17,3280
1967-08-18,3320
1967-08-19,3310
1967-08-20,3360
1967-08-21,3440
1967-08-22,3400
1967-08-23,3400
1967-08-24,3400
1967-08-25,3420
1967-08-26,3440
1967-08-27,3490
1967-08-28,3540
1967-08-29,3440
1967-08-30,3360
1967-08-31,3200
1967-09-01,3020
1967-09-02,2880
1967-09-03,2820
1967-09-04,2900
1967-09-05,3000
1967-09-06,3010
1967-09-07,2820
1967-09-08,2740
1967-09-09,2680
1967-09-10,2800
1967-09-11,2980
1967-09-12,2890
1967-09-13,2700
1967-09-14,2720
1967-09-15,2700
1967-09-16,2640
1967-09-17,2540
1967-09-18,2540
1967-09-19,2510
1967-09-20,2550
1967-09-21,2540
1967-09-22,2480
1967-09-23,2480
1967-09-24,2590
1967-09-25,2620
1967-09-26,2610
1967-09-27,2570
1967-09-28,2540
1967-09-29,2480
1967-09-30,2610
1967-10-01,2680
1967-10-02,2470
1967-10-03,2200
1967-10-04,2060
1967-10-05,1900
1967-10-06,1770
1967-10-07,1670
1967-10-08,1760
1967-10-09,1760
1967-10-10,1820
1967-10-11,1840
1967-10-12,1840
1967-10-13,1680
1967-10-14,1610
1967-10-15,1550
1967-10-16,1520
1967-10-17,1510
